ALXN,Alexion Pharmaceuticals Inc,20150702,BRIEF-Lonza announces additional long-term agreement with Alexion ,* New manufacturing line to be constructed at Lonza's existing Portsmouth  NH (USA) plant,topStory
BIIB,Biogen Inc,20150702,Biogen enters eye-treatment arena with AGTC deal ,Biogen said on Thursday it had forged a deal with AGTC to develop gene-based therapies for a range of eye diseases  marking the company's entry into opthalmology.,topStory
BIIB,Biogen Inc,20150702,Biogen enters eye-treatment arena with AGTC deal ,July 2 Biogen said on Thursday it had forged a deal with AGTC to develop gene-based therapies for a range of eye diseases  marking the company's entry into opthalmology.,normal
CZR,Caesars Entertainment Corporation,20150702,Caesars pitches court on bonuses for its restructuring staff ,The bankrupt operating unit of Caesars Entertainment Corp is seeking court approval to set aside about $550 000 for bonuses for staff it says are vital to supporting its Chapter 11 case and to keep them from taking other jobs in Las Vegas.,topStory
CZR,Caesars Entertainment Corporation,20150702,Caesars invites bankruptcy examiner to probe leveraged buyout ,The examiner investigating the bankrupt operating unit of Caesars Entertainment Corp should delve into the $30.7 billion buyout of its parent company to see if the 2008 deal gave rise to any claims  the casino operator said in a court filing.,normal
DLTR,Dollar Tree Inc,20150702,FTC approves Dollar Tree's takeover of Family Dollar ,Dollar Tree Inc was given the go-ahead to buy Family Dollar Stores Inc by the U.S. Federal Trade Commission on condition that they sell 330 Family Dollar stores  putting to rest a year-long merger saga.,topStory
DLTR,Dollar Tree Inc,20150702,FTC approves Dollar Tree's takeover of Family Dollar ,Dollar Tree Inc  was given the go-ahead to buy Family Dollar Stores Inc  by the U.S. Federal Trade Commission on condition that they sell 330 Family Dollar stores  putting to rest a year-long merger saga.,normal
DLTR,Dollar Tree Inc,20150702,UPDATE 1-FTC approves Dollar Tree's takeover of Family Dollar ,July 2 Dollar Tree Inc was given the go-ahead to buy Family Dollar Stores Inc by the U.S. Federal Trade Commission on condition that they sell 330 Family Dollar stores  putting to rest a year-long merger saga.,normal
DLTR,Dollar Tree Inc,20150702,Dollar Tree  Family Dollar to sell stores to settle U.S. FTC claims ,WASHINGTON  July 2 The U.S. Federal Trade Commission said on Thursday discount retailers Dollar Tree Inc and Family Dollar Stores Inc have agreed to sell 330 Family Dollar stores to settle the regulator's charges that Dollar Tree's proposed $9.2 billion acquisition of Family Dollar would likely be anticompetitive.,normal
ESLT,Elbit Systems Ltd,20150702,Israel's Elbit Systems wins $150 mln Benelux contract ,TEL AVIV  July 2 Israeli defence electronics firm Elbit Systems Ltd said on Thursday a subsidiary won a contract worth $150 million from the Dutch Ministry of Defence to supply advanced systems for infantry soldiers in the Benelux countries.,topStory
INTC,Intel Corporation,20150702,Intel President Renée James to step down in January ,Intel Corp  President Renée James will step down in January to pursue an external chief executive role  Intel Chief Executive Brian Krzanich said in a statement.,topStory
INTC,Intel Corporation,20150702,Intel President Renée James to step down in January ,July 2 Intel Corp President Renée James will step down in January to pursue an external chief executive role  Intel Chief Executive Brian Krzanich said in a statement.,normal
INTC,Intel Corporation,20150702,Wall St Week Ahead-Low earnings forecasts may mean profit beats  market boost ,NEW YORK  July 2 With analysts' expectations for second-quarter U.S. earnings at rock-bottom levels  many companies may well beat forecasts  possibly setting up the stock market for gains in the coming weeks.,normal
LGCY,Legacy Reserves LP,20150702,BRIEF-K+S says will not open books to suitor Potash Corp ,* Doesn't make sense to talk about due diligence  will not open books to a competitor,topStory
LGCYO,Legacy Reserves LP,20150702,BRIEF-K+S says will not open books to suitor Potash Corp ,* Doesn't make sense to talk about due diligence  will not open books to a competitor,topStory
LGCYP,Legacy Reserves LP,20150702,BRIEF-K+S says will not open books to suitor Potash Corp ,* Doesn't make sense to talk about due diligence  will not open books to a competitor,topStory
MDLZ,Mondelez International Inc,20150702,Deals of the day- Mergers and acquisitions ,July 2 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
MDLZ,Mondelez International Inc,20150702,Mondelez in talks with multiple parties to sell Carte Noire ,Mondelez International Inc  said it was in talks with multiple parties for the sale of French coffee brand Carte Noire to address European antitrust concerns as it closed a deal with D.E Master Blenders  to create the world's biggest standalone coffee company.,normal
MDLZ,Mondelez International Inc,20150702,Mondelez in talks with multiple parties to sell Carte Noire ,July 2 Mondelez International Inc said it was in talks with multiple parties for the sale of French coffee brand Carte Noire to address European antitrust concerns as it closed a deal with D.E Master Blenders to create the world's biggest standalone coffee company.,normal
RYAAY,Ryanair Holdings plc,20150702,UPDATE 2-Ryanair says to take legal action after Hertz ends partnership ,* Hertz says will pursue case vigorously through the courts   (Adds Hertz statement),topStory
