BIDU,Baidu Inc,20150703,Fitch Rates Baidu's Notes Final 'A' ,(The following statement was released by the rating agency) HONG KONG/SYDNEY/SINGAPORE  July 02 (Fitch) Fitch Ratings has assigned Baidu  Inc.'s (Baidu; A/Stable) USD750m 3.000% senior unsecured notes due 2020 and  USD500m 4.125% senior unsecured notes due 2025 final ratings of 'A'. The assignment of the final ratings follows the receipt of documents conforming  to information already received. The final ratings are in line with the expected  rating assigned on 23 June 2015. The notes are rated ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150703,Barclays eyes narrow new UK bank as rivals take different path ,* UK banks must "ring-fence" units to protect savers  taxpayers,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150703,Barclays picks KPMG as first new auditor in 120 years ,LONDON  July 3 Barclays has picked KPMG  as its first new auditor in 120 years after new rules encouraged a shake-up in Britain's auditing landscape.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150703,BRIEF-Barclays says to appoint KPMG as its auditor for year ending Dec 31  2017 ,* Announces its intention to appoint KPMG as its auditor for year ending 31 December 2017.,normal
JBLU,JetBlue Airways Corporation,20150703,JetBlue launches New York-to-Havana charter flights ,JetBlue Airways Corp said it began direct charter flights between New York and Havana on Friday  the first major U.S. carrier to fly the route following U.S. President Barack Obama's decision in December to normalize relations with the Communist-ruled island.,topStory
JBLU,JetBlue Airways Corporation,20150703,JetBlue launches New York-to-Havana charter flights ,July 3 JetBlue Airways Corp said it began direct charter flights between New York and Havana on Friday  the first major U.S. carrier to fly the route following U.S. President Barack Obama's decision in December to normalize relations with the Communist-ruled island.,normal
NFLX,Netflix Inc,20150703,Rapper Sean Combs avoids assault charges in UCLA kettlebell incident ,LOS ANGELES Rapper Sean "P. Diddy" Combs will not face assault charges stemming from an incident involving a kettlebell weight at the University of California  Los Angeles  Los Angeles city officials said on Thursday. | Video ,topStory
NTRS,Northern Trust Corporation,20150703,Molder grabs share of Greenbrier lead  Watson three back ,American Bryce Molder used a red-hot finish to move into a four-way share of the second round clubhouse lead at the Greenbrier Classic on Friday while world number three Bubba Watson was three shots back.,topStory
NTRSP,Northern Trust Corporation,20150703,Molder grabs share of Greenbrier lead  Watson three back ,American Bryce Molder used a red-hot finish to move into a four-way share of the second round clubhouse lead at the Greenbrier Classic on Friday while world number three Bubba Watson was three shots back.,topStory
AET,Aetna Inc,20150703,UPDATE 1-Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,topStory
AET,Aetna Inc,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
AET,Aetna Inc,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
