ACTA,Actua Corporation,20150721,Capital Group opens up equity strategy to European  Asian investors ,LONDON U.S. fund manager Capital Group plans to launch a fund later this year to give European and Asian investors access to one of its equity strategies  which has $60 billion under management  it said on Tuesday.,topStory
AMGN,Amgen Inc,20150721,Novartis blocked from selling Neupogen copycat until Sept. 2 ,NEW YORK  Novartis AG must wait until Sept. 2 to sell the first biosimilar drug to be approved in the United States  a copycat version of Amgen Inc's $1.2 billion-a-year Neupogen  a U.S. appeals court said on Tuesday.,topStory
AMGN,Amgen Inc,20150721,Drugmaker Novartis blocked from selling Neupogen copycat until Sept 2 ,NEW YORK Novartis AG must wait until Sept. 2 to sell the first biosimilar drug to be approved in the United States  a copycat version of Amgen Inc's $1.2 billion-a-year Neupogen  a U.S. appeals court said on Tuesday.,normal
AMGN,Amgen Inc,20150721,UPDATE 2-Drugmaker Novartis blocked from selling Neupogen copycat until Sept. 2 ,NEW YORK  July 21 Novartis AG must wait until Sept. 2 to sell the first biosimilar drug to be approved in the United States  a copycat version of Amgen Inc's  $1.2 billion-a-year Neupogen  a U.S. appeals court said on Tuesday.,normal
AMGN,Amgen Inc,20150721,Amgen wins first approval for new class of cholesterol drugs ,Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,normal
AMGN,Amgen Inc,20150721,UPDATE 1-Amgen wins first approval for new class of cholesterol drugs ,July 21 Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,normal
AMGN,Amgen Inc,20150721,European regulator approves Amgen's anti-cholesterol drug Repatha ,July 21 Amgen Inc said the European commission approved its keenly anticipated cholesterol fighting drug  Repatha.,normal
AAPL,Apple Inc,20150721,Apple gives weak forecast  shares fall nearly 7 percent ,BENGALURU/SAN FRANCISCO Apple Inc  shares slumped nearly 7 percent in after-hours trading as its fourth-quarter revenue forecast fell short of estimates and it missed some targets for iPhone sales. | Video ,topStory
AAPL,Apple Inc,20150721,UPDATE 4-Apple gives weak forecast  shares fall nearly 7 pct ,BENGALURU/SAN FRANCISCO  July 21 Apple Inc  shares slumped nearly 7 percent in after-hours trading as its fourth-quarter revenue forecast fell short of estimates and it missed some targets for iPhone sales.,normal
AAPL,Apple Inc,20150721,GLOBAL MARKETS-Apple adds to stocks' slump; dollar slips ,NEW YORK  July 21 Weak earnings dragged stocks lower on Tuesday and Apple's results weighed U.S. futures further  while a slip in the dollar helped oil and gold cap a string of losing sessions.,normal
AAPL,Apple Inc,20150721,UPDATE 2-Apple gives weak forecast  shares fall more than 6 pct ,BENGALURU/SAN FRANCISCO July 21 Apple Inc  forecast fourth-quarter revenue below estimates and missed some targets for iPhone sales  sending its shares down more than 6 percent in after-hours trading.,normal
AAPL,Apple Inc,20150721,IBM  United Tech drag Dow; Apple results weigh on futures ,U.S. stocks closed lower on Tuesday as results from IBM and United Technologies dampened early optimism over earnings season and after-the-bell declines in major tech shares suggested losses would continue on Wednesday.,normal
AAPL,Apple Inc,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Adds Nasdaq e-mini volume),normal
AAPL,Apple Inc,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
AAPL,Apple Inc,20150721,Apple's smartwatch beat internal expectations: CFO ,SAN FRANCISCO Sales of Apple Inc's  smartwatch have exceeded internal expectations since the device's April launch  Chief Financial Officer Luca Maestri told Reuters in an interview on Tuesday.,normal
AAPL,Apple Inc,20150721,Apple's smartwatch beat internal expectations - CFO ,SAN FRANCISCO  July 21 Sales of Apple Inc's  smartwatch have exceeded internal expectations since the device's April launch  Chief Financial Officer Luca Maestri told Reuters in an interview on Tuesday.,normal
AAPL,Apple Inc,20150721,Apple revenue rises 32.5 pct due to strong iPhone sales ,July 21 Apple Inc reported a 32.5 percent rise in quarterly revenue  helped by 35 percent jump in sales of its flagship iPhones.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,UPDATE 2-Barclays denies deferred prosecution offer from Britain's SFO ,* Criminal prosecution would be deferred for set period   (Recasts with Barclays statement),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,Barclays names Italy chief Colizzi as head of EMEA mergers and acquisitions ,LONDON Barclays Plc has appointed Pier Luigi Colizzi  its head of banking in Italy  as head of mergers and acquisitions (M&A) across Europe  Middle East and Africa (EMEA).,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,UK consolidates Bank of England's bank supervision role ,LONDON Britain's government unveiled plans on Tuesday to centralize financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
