AMD,Advanced Micro Devices Inc,20150729,Bounce in AMD's stock may put pressure on short sellers ,SAN FRANCISCO A two-day rally in the lowly shares of Advanced Micro Devices Inc may be squeezing short sellers  who recently increased their bets against the chipmaker.,topStory
GOOG,Alphabet Inc,20150729,Yelp needs help  and buyout may be the answer ,Selling itself could be one of the few options left for Yelp Inc   which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc   TripAdvisor Inc  and GrubHub Inc .,topStory
GOOG,Alphabet Inc,20150729,Yelp needs help  and buyout may be the answer ,July 29 Selling itself could be one of the few options left for Yelp Inc  which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc  TripAdvisor Inc  and GrubHub Inc.,normal
GOOGL,Alphabet Inc,20150729,Yelp needs help  and buyout may be the answer ,Selling itself could be one of the few options left for Yelp Inc   which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc   TripAdvisor Inc  and GrubHub Inc .,topStory
GOOGL,Alphabet Inc,20150729,Yelp needs help  and buyout may be the answer ,July 29 Selling itself could be one of the few options left for Yelp Inc  which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc  TripAdvisor Inc  and GrubHub Inc.,normal
AMZN,Amazoncom Inc,20150729,Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING China's Alibaba Group Holding Ltd  said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,topStory
AMZN,Amazoncom Inc,20150729,CORRECTED-Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING  July 29 China's Alibaba Group Holding Ltd said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,normal
AMCX,AMC Networks Inc,20150729,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Aug 3 please click on       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     03 Aug    AMC    Q2 2015 American Capital Senior Floating   03 Aug    AMC    Q2 2015 Addus Homecare                     03 Aug    AMC    Q2 2015 Alon USA Partners LP               03 Aug    AMC    Q2 2015 Alon USA Energy                    03 Aug    AMC    Q2 2015 Preferred Apartment Communities    03 Aug    AMC ,topStory
AMGN,Amgen Inc,20150729,UPDATE 2-Express Scripts says costly new cholesterol drugs could 'wreak havoc' ,July 29 Express Scripts Holding Co  the largest pharmacy benefit manager in the United States  on Wednesday said the cost of potent  newly approved cholesterol drugs could "wreak financial havoc" among its clients.,topStory
AMGN,Amgen Inc,20150729,What to Watch in the Day Ahead - Thursday  July 30 ,(The Day Ahead is an email and PDF publication that includes the day's major stories and events  analyses and other features. To receive The Day Ahead  Eikon users can register at . Thomson One users can register at RT/DAY/US. All times in ET/GMT)       The two U.S. personal care products companies  Procter & Gamble Co and Colgate-Palmolive Co  report results for the fourth-quarter and second quarter  respectively. Both companies  with big operations outside the United States  have been worki,normal
BIDU,Baidu Inc,20150729,ASIA CREDIT CLOSE: Chinese tech credits take hit from equity sell-off ,HONG KONG  July 29 (IFR) - Chinese tech giants continued to underperform after a sell-off in onshore equities and Baidu's disappointing results dampened sentiment.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays makes cuts in Europe ABS team: source ,LONDON  July 29 (IFR) - Barclays has made significant cuts to its European ABS team due to disappointing activity in that market  a source familiar with the matter told IFR on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays to speed up cost-cuts and asset sales ,LONDON Barclays'  new chairman sought to stamp his mark on the bank on Wednesday by accelerating the sale of assets and cost cutting after the group produced a 12 percent increase in second-quarter profits. | Video ,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,ON THE MOVE-Merrill Lynch hires two more advisers from Barclays ,July 29 Bank of America Corp's Merrill Lynch said it had hired two private wealth advisers from the recently sold U.S. wealth management unit of Barclays Plc .,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays applies for new licence to meet UK ring-fence rules ,LONDON  July 29 Barclays has applied for a new UK banking licence to comply with new rules requiring it to separate its domestic retail banking arm  highlighting the bigger task it faces in restructuring than its rivals.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays must cut bureaucracy  exit some countries  new boss says ,LONDON Barclays  needs to cut back in countries where it lacks scale or strength and must cut bureaucracy to deliver on plans to turn the British bank around  its new chairman said on Wednesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays says doesn't expect to raise capital externally ,LONDON Barclays  Finance Director Tushar Morzaria said he doesn't expect the bank to have to raise capital from shareholders after it reported second-quarter results that were ahead of expectations.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,UPDATE 3-Barclays to speed up cost-cuts and asset sales ,* Shares hit 18-month high  up 2 pct   (Writes through with comments from chairman  updates shares),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,REFILE-Hikma and Barclays help Britain's FTSE to climb higher ,LONDON  July 29 Britain's top share index rose for a second straight session on Wednesday after recent sharp falls  with Hikma Pharmaceuticals leading the market higher on positive broker comments and Barclays gaining after saying it will speed up cost cuts.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,Barclays must cut bureaucracy  exit some countries  new boss says ,LONDON  July 29 Barclays needs to cut back in countries where it lacks scale or strength and must cut bureaucracy to deliver on plans to turn the British bank around  its new chairman said on Wednesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150729,MOVES-Barclays lays off heads of European ABS sales  trading and research - Bloomberg ,July 29 Barclays Plc is laying off the heads of its European asset-backed securities sales (ABS)  trading  and research units as the bank scales back its European ABS business in London  Bloomberg reported.,normal
