AERI,Aerie Pharmaceuticals Inc,20150916,Aerie Pharmaceuticals' eye drop succeeds in late-stage study ,Drugmaker Aerie Pharmaceuticals Inc said on Wednesday its experimental eye drop met the main goal of a late-stage study  sending its shares up as much as 65 percent in extended trading.,topStory
AMZN,Amazoncom Inc,20150916,UPDATE 3-Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,normal
AMZN,Amazoncom Inc,20150916,Top-performing U.S. large cap fund bets on interest rate hike ,NEW YORK The top-performing U.S. large cap growth fund for the year has prospered by betting on companies positioned to benefit should the Federal Reserve raise interest rates for the first time since the 2008 financial crisis.,normal
AMZN,Amazoncom Inc,20150916,Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,normal
AMGN,Amgen Inc,20150916,SEC drops Onyx insider trading lawsuit against Dubai men ,NEW YORK A federal judge on Wednesday dismissed the U.S. Securities and Exchange Commission's lawsuit accusing two Dubai men of insider trading in Onyx Pharmaceuticals Inc while the cancer drugmaker was mulling a takeover bid by Amgen Inc.,topStory
AMGN,Amgen Inc,20150916,UPDATE 1-U.S. SEC drops Onyx insider trading lawsuit against Dubai men ,NEW YORK  Sept 16 A federal judge on Wednesday dismissed the U.S. Securities and Exchange Commission's lawsuit accusing two Dubai men of insider trading in Onyx Pharmaceuticals Inc while the cancer drugmaker was mulling a takeover bid by Amgen Inc.,normal
AMGN,Amgen Inc,20150916,SEC drops Onyx insider trading lawsuit against Dubai men ,NEW YORK The U.S. Securities and Exchange Commission has decided to drop a lawsuit accusing two Dubai men of insider trading in Onyx Pharmaceuticals Inc while the cancer drugmaker was mulling a takeover bid by Amgen Inc.,normal
AMGN,Amgen Inc,20150916,SEC drops Onyx insider trading lawsuit against Dubai men ,NEW YORK  Sept 16 The U.S. Securities and Exchange Commission has decided to drop a lawsuit accusing two Dubai men of insider trading in Onyx Pharmaceuticals Inc while the cancer drugmaker was mulling a takeover bid by Amgen Inc .,normal
AMGN,Amgen Inc,20150916,Amgen to buy Dezima Pharma for $300 million in cash ,Amgen Inc  said it will buy biotechnology company Dezima Pharma B.V.  adding another cholesterol drug to its expanding portfolio of treatments for cardiovascular diseases.,normal
AMGN,Amgen Inc,20150916,UPDATE 1-Amgen to buy Dezima Pharma for $300 mln in cash ,Sept 16 Amgen Inc said it will buy biotechnology company Dezima Pharma B.V.  adding another cholesterol drug to its expanding portfolio of treatments for cardiovascular diseases.,normal
AMGN,Amgen Inc,20150916,Amgen to buy Dezima Pharma for $300 mln in cash ,Sept 16 Amgen Inc said it will buy Netherlands-based Dezima Pharma B.V. for $300 million in cash and up to $1.25 billion in additional payments.,normal
AAPL,Apple Inc,20150916,Apple users face issues upgrading to iOS 9: 9to5Mac ,Apple Inc customers were facing issues while upgrading to iOS 9  which was released on Wednesday  technology blog 9to5Mac reported.,topStory
AAPL,Apple Inc,20150916,Apple users face issues upgrading to iOS 9: 9to5Mac ,Apple Inc customers were facing issues while upgrading to iOS 9  which was released on Wednesday  technology blog 9to5Mac reported.,normal
AAPL,Apple Inc,20150916,Apple users face issues upgrading to iOS 9 - 9to5Mac ,Sept 16 Apple Inc customers were facing issues while upgrading to iOS 9  which was released on Wednesday  technology blog 9to5Mac reported.,normal
AAPL,Apple Inc,20150916,Apple says won't release watchOS 2 on Wednesday ,Apple Inc  said it won't release watchOS 2  an updated operating system for the Apple Watch  on Wednesday as planned after it discovered a bug in development.,normal
AAPL,Apple Inc,20150916,Apple says won't release watchOS 2 on Wednesday ,Apple Inc said it won't release watchOS 2  an updated operating system for the Apple Watch  on Wednesday as planned after it discovered a bug in development.,normal
AAPL,Apple Inc,20150916,UPDATE 1-Apple says won't release watchOS 2 on Wednesday ,Sept 16 Apple Inc said it won't release watchOS 2  an updated operating system for the Apple Watch  on Wednesday as planned after it discovered a bug in development.,normal
AAPL,Apple Inc,20150916,Apple says will not release watchOS 2 on Wednesday ,Sept 16 Apple Inc said it will not release watchOS 2  an updated operating system for the Apple Watch  on Wednesday as planned after it discovered a bug in development.,normal
AAPL,Apple Inc,20150916,Apple faces hurdles as it positions iPad Pro for business use ,SAN FRANCISCO Apple Inc. faces significant challenges selling its larger and more powerful iPad Pro to businesses because companies are reluctant to switch software vendors and use an expensive device that lacks specialized business apps  analysts said.,normal
AMAT,Applied Materials Inc,20150916,BRIEF-Taiwan's Innolux to acquire machinery assets from VN Systems  Applied Materials ,* Says to acquire machinery assets worth T$3.6 billion  ($110.92 million),topStory
ARRS,ARRIS International plc,20150916,BRIEF-Arris continues to expect Pace deal to close in late 2015 ,* Continue to expect Pace acquisition to close in late 2015  Source text for Eikon:  Further company coverage: [PIC.L ARRS.O],topStory
