VNET,21Vianet Group Inc,20150924,BRIEF-Unisplendour signs MOU with 21Vianet and Microsoft (China) on cloud computing in China ,* Says signs strategic MOU with 21Vianet Group Inc  and Microsoft (China) Co Ltd on cloud computing in China,topStory
AMZN,Amazoncom Inc,20150924,UPDATE 1-Oculus and Samsung unveil new Gear VR for $99 ,Sept 24 Facebook Inc's Oculus and Samsung Electronics Co Ltd unveiled a new version of Gear VR virtual reality headset for $99  half the price of the previous "Innovator Edition"  and said the product would be available in the United States in time for Black Friday and globally shortly after.,normal
AAPL,Apple Inc,20150924,New iPhone 6s to hit stores Friday in test for Apple ,SAN FRANCISCO The new iPhone 6s and 6s Plus arrive in stores and at consumers' doorsteps on Friday  kicking off a sales cycle that will be scrutinized for signs of how much juice Apple's marquee product has left.,topStory
AAPL,Apple Inc,20150924,Apple lists top 25 apps hit by malware in first major attack ,Apple Inc  said the WeChat messaging app and car-hailing app DiDi Taxi were among the 25 most popular apps that were found to be infected with malicious software  the first-ever large-scale attack on its App Store.,normal
AAPL,Apple Inc,20150924,Sprint unveils $1 plan ahead of new iPhone launch ,Sprint Corp announced a $1 per month plan for Apple Inc's new iPhone  upping the ante in a battle among top U.S. carriers to sign up customers ahead of the phone's launch on Friday.,normal
AAPL,Apple Inc,20150924,Apple lists top 25 apps hit by malware in first major attack ,Apple Inc  said the WeChat messaging app and car-hailing app DiDi Taxi were among the 25 most popular apps that were found to be infected with malicious software  the first-ever large-scale attack on its App Store.,normal
AAPL,Apple Inc,20150924,UPDATE 2-Apple lists top 25 apps hit by malware in first major attack ,Sept 24 Apple Inc said the WeChat messaging app and car-hailing app DiDi Taxi were among the 25 most popular apps that were found to be infected with malicious software  the first-ever large-scale attack on its App Store.,normal
AAPL,Apple Inc,20150924,Sprint unveils $1 plan for new iPhones ,Sept 24 Sprint Corp announced a $1 per month plan for Apple Inc's new iPhone  upping the ante in a battle among top U.S. carriers to sign up customers ahead of the phone's launch on Friday.,normal
AAPL,Apple Inc,20150924,Apple lists top 25 apps hit by malware ,Sept 24 Apple Inc said the WeChat messaging app and car-hailing app DiDi Taxi were among the 25 most popular apps found to be infected with malicious software.,normal
AAPL,Apple Inc,20150924,China's 'fake' Apple stores thrive ahead of new iPhone launch ,HONG KONG On a bustling street in China's southern boomtown of Shenzhen  more than 30 stores carrying Apple Inc's iconic white logos peddle pre-orders for the new iPhone  a gadget that has become a status symbol among many better-off Chinese. | Video ,normal
AAPL,Apple Inc,20150924,China's 'fake' Apple stores thrive ahead of new iPhone launch ,HONG KONG On a bustling street in China's southern boomtown of Shenzhen  more than 30 stores carrying Apple Inc's iconic white logos peddle pre-orders for the new iPhone  a gadget that has become a status symbol among many better-off Chinese. | Video ,normal
AAPL,Apple Inc,20150924,UPDATE 1-China's 'fake' Apple stores thrive ahead of new iPhone launch ,HONG KONG  Sept 24 On a bustling street in China's southern boomtown of Shenzhen  more than 30 stores carrying Apple Inc's iconic white logos peddle pre-orders for the new iPhone  a gadget that has become a status symbol among many better-off Chinese.,normal
