SHLM,A Schulman Inc,20150925,BRIEF-Pharmacy Chain 36.6 completes merger with A.v.e through additional share issue ,* Says completed merger with A.v.e. under additional share issue placed in open subscription,topStory
GOOG,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,topStory
GOOG,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
GOOG,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
GOOG,Alphabet Inc,20150925,UPDATE 3-Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON  Sept 25 The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
GOOG,Alphabet Inc,20150925,UPDATE 1-Google mobile Android operating system under U.S. antitrust scanner ,Sept 25 The U.S. Federal Trade Commission is investigating whether Google Inc is using its Android mobile operating system to stifle competition  a source familiar with the matter said on Friday.,normal
GOOG,Alphabet Inc,20150925,Google  Samsung defeat anti-piracy infringement claims ,A Texas federal jury on Wednesday rejected an investment firm's patent infringement claims over the anti-piracy features of Android smartphones and the Google Play app and content service.,normal
GOOGL,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,topStory
GOOGL,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
GOOGL,Alphabet Inc,20150925,Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc  uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
GOOGL,Alphabet Inc,20150925,UPDATE 3-Google faces renewed U.S. antitrust scrutiny  this time over Android ,WASHINGTON  Sept 25 The U.S. Federal Trade Commission has opened a preliminary investigation into whether Google Inc uses its Android operating system to dominate competitors as more consumers go mobile  two sources familiar with the matter said on Friday.,normal
