ALRM,Alarmcom Holdings Inc,20151105,BRIEF-Securitas and Alarm.com in strategic partnership ,* Securitas and Alarm.com have entered into a strategic partnership to launch Alarm.com's cloud-based security and automation services in Europe,topStory
AAPL,Apple Inc,20151105,Apple opens subsidiary in Vietnam  tapping smartphone growth ,HANOI Apple Inc has opened a subsidiary company in Vietnam  allowing the maker of iPhones to import and distribute cellphones directly in one of the fastest growing smartphone markets in the Asia-Pacific.,topStory
AAPL,Apple Inc,20151105,Apple opens subsidiary in Vietnam  tapping smartphone growth ,HANOI  Nov 5 Apple Inc has opened a subsidiary company in Vietnam  allowing the maker of iPhones to import and distribute cellphones directly in one of the fastest growing smartphone markets in the Asia-Pacific.,normal
BKEP,Blueknight Energy Partners LP LLC,20151105,Blueknight delays Knight Warrior oil pipeline in Texas ,HOUSTON Blueknight Energy Partners LP has delayed its Knight Warrior crude oil pipeline project in East Texas because of lower oil prices and reduced production  Chief Executive Officer Mark Hurley told analysts on Thursday.,topStory
BKEPP,Blueknight Energy Partners LP LLC,20151105,Blueknight delays Knight Warrior oil pipeline in Texas ,HOUSTON Blueknight Energy Partners LP has delayed its Knight Warrior crude oil pipeline project in East Texas because of lower oil prices and reduced production  Chief Executive Officer Mark Hurley told analysts on Thursday.,topStory
CELG,Celgene Corporation,20151105,Celgene's revenue misses as key cancer drug sales slow ,Celgene Corp  posted its smallest revenue growth in five quarters due to slower sales of its two key cancer drugs.,topStory
CELG,Celgene Corporation,20151105,UPDATE 3-Celgene's revenue misses as key cancer drug sales slow ,* Company says Abraxane faces competition from rival treatments,normal
CELG,Celgene Corporation,20151105,Celgene revenue rises on demand for cancer  psoriasis drugs ,Nov 5 Drugmaker Celgene Corp posted an 18 percent jump in quarterly revenue as demand for its cancer and psoriasis drugs increased.,normal
CYAD,Celyad SA,20151105,BRIEF-Celyad initiates EMA certification of non-clinical C-Cure data ,* Celyad initiates the certification by the EMA of the non-clinical data of C-Cure,topStory
CHTR,Charter Communications Inc,20151105,Fitch Rates Charter's New Sr. Notes 'BB' on Positive Watch ,(The following statement was released by the rating agency) NEW YORK  November 05 (Fitch) Fitch Ratings has assigned a 'BB' rating on  Positive Watch to CCOH Safari  LLC's (CCOH Safari) multi-tranche issuance of  benchmark sized senior unsecured notes. CCO Holdings  LLC (CCOH) will assume the  notes upon the completion of Charter Communications  Inc.'s (Charter) merger  with Time Warner Cable  Inc. (TWC) and acquisition of Bright House Networks  (Bright House).  CCOH and Charter Communications O,topStory
EXPE,Expedia Inc,20151105,Fitch: Expedia's Rating Unaffected by Acquisition of HomeAway ,(The following statement was released by the rating agency) NEW YORK  November 05 (Fitch) Expedia  Inc.'s (EXPE) 'BBB-' Issuer Default  Rating (IDR) is not affected by the $3.9 billion acquisition of vacation  rental/alternative accommodation website HomeAway  Inc.  according to Fitch  Ratings. We expect the company's leverage to moderately exceed our 2.0x target  for the company at the 'BBB-' rating level. However  organic growth and Orbitz  and HomeAway acquisition-related synergies should all,topStory
EXPE,Expedia Inc,20151105,Expedia to buy HomeAway for $3.9 billion in cash  stock ,Expedia Inc on Wednesday said it agreed to buy vacation rental site HomeAway Inc for about $3.9 billion in cash and stock  in a move that could ramp up competition with apartment-sharing startup Airbnb.,normal
EXPE,Expedia Inc,20151105,UPDATE 2-Expedia to buy HomeAway for $3.9 bln in cash  stock ,Nov 4 Expedia Inc on Wednesday said it agreed to buy vacation rental site HomeAway Inc for about $3.9 billion in cash and stock  in a move that could ramp up competition with apartment-sharing startup Airbnb.,normal
EXPE,Expedia Inc,20151105,UPDATE 1-Airbnb to create 100 clubs to advocate for home-sharing ,SAN FRANCISCO  Nov 4 Airbnb said on Wednesday it plans to form 100 home-sharing clubs in cities across the United States during 2016  seeking to organize advocates of home-and room-sharing companies to head off regulatory crackdowns.,normal
