AAPL,Apple Inc,20151123,Rothschild  Petrie Partners form energy restructuring partnership ,NEW YORK  Nov 23 Oil and gas investment bank Petrie Partners and financial advisory firm Rothschild have joined forces to win business in the wave of corporate debt restructurings rippling across the energy sector  Petrie co-founder Andrew Rapp told Reuters.,normal
AVGO,Broadcom Limited,20151123,EU mergers and takeovers (Nov 23) ,BRUSSELS  Nov 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AVGO,Broadcom Limited,20151123,Avago secures unconditional EU approval for $37 billion Broadcom buy ,BRUSSELS European antitrust regulators cleared on Monday Avago Technologies Ltd's  planned $37 billion takeover of  rival chipmaker Broadcom Corp  without conditions.,normal
AVGO,Broadcom Limited,20151123,Avago secures unconditional EU approval for $37 bln Broadcom buy ,BRUSSELS  Nov 23 European antitrust regulators cleared on Monday Avago Technologies Ltd's planned $37 billion takeover of  rival chipmaker Broadcom Corp  without conditions.,normal
FB,Facebook Inc,20151123,Hedge funds' favorite stocks lag broader market -Goldman data ,BOSTON  Nov 23 Hedge fund managers' favorite stocks stumbled hard this year to post their worst returns since the financial crisis with health-care companies  such as Valeant Pharmaceuticals  leading the way lower  according to new data from Goldman Sachs.,normal
HAFC,Hanmi Financial Corporation,20151123,Hanmi Financial offers to merge with BBCN in $1.6 billion deal ,Hanmi Financial Corp  said it proposed to merge with BBCN Bancorp Inc  in an all-stock deal valued at about $1.6 billion to create the largest Korean-American banking franchise in the United States.,topStory
HAFC,Hanmi Financial Corporation,20151123,UPDATE 1-Hanmi Financial offers to merge with BBCN in $1.6 bln deal ,Nov 23 Hanmi Financial Corp said it proposed to merge with BBCN Bancorp Inc in an all-stock deal valued at about $1.6 billion to create the largest Korean-American banking franchise in the United States.,normal
HAFC,Hanmi Financial Corporation,20151123,Hanmi Financial offers to buy BBCN Bancorp for $1.6 bln ,Nov 23 Hanmi Financial Corp said it proposed to acquire BBCN Bancorp Inc in an all-stock deal valued at about $1.6 billion.,normal
INTC,Intel Corporation,20151123,Fitch Rates Intel's AUD4B Kangaroo Bonds Offering 'A+' ,(The following statement was released by the rating agency) CHICAGO  November 23 (Fitch) Fitch Ratings has assigned an 'A+' rating to Intel  Corp.'s (Intel) 4-year and 7-year senior notes issuance in Australia. Fitch  currently rates Intel's long- and short-term Issuer Default Ratings 'A+/F1'. The  Rating Outlook is Stable. Fitch rates $22.2 billion of debt  prior to the  issuance. A full list of current ratings follows at the end of this release.  With the AUD senior notes sale  Intel will comp,topStory
INTC,Intel Corporation,20151123,Intel markets debut Kangaroo bond offering ,SYDNEY  Nov 23 (IFR) - Intel Corporation  rated A1/A+ (Moody's/S&P)  has announced its debut offering of debut Kangaroo bonds through joint lead managers Deutsche Bank and Westpac. The bonds are expected to price tomorrow.,normal
TERP,TerraForm Power Inc,20151123,UPDATE 4-SunEdison shakes up top management at yieldcos; shares soar ,* SunEdison shares jump as much as 19 pct   (Adds investor comment  details),normal
