AMGN,Amgen Inc,20151221,BRIEF-Medigene says Amgen acquires medigene spin-off ,* Announced that Amgen Inc.  USA  will acquire 100 pct of Catherex  Inc.  USA  a spin-off of Medigene,topStory
AAPL,Apple Inc,20151221,US STOCKS SNAPSHOT-Wall St ends higher; Apple  Microsoft boost ,NEW YORK  Dec 21 U.S. stocks ended stronger on Monday  helped by a bounce in Apple and Microsoft as well as a rally in hospital shares after more Americans signed up for subsidized health insurance.,topStory
AAPL,Apple Inc,20151221,US STOCKS-Obamacare and Apple boost Wall Street ,* Indexes up: Dow 0.42 pct  S&P 0.51 pct  Nasdaq 0.69 pct   (Updates to afternoon),normal
AAPL,Apple Inc,20151221,REFILE-BUZZ-Apple's stock set for first down year since global credit crisis ,(Adds additional codes  fixes formatting) ** Shares of Apple on track for first negative year since the global credit crisis; would be only its third negative year since the dot-com bubble,normal
AAPL,Apple Inc,20151221,Ericsson signs patent deal with Apple  shares soar ,STOCKHOLM Swedish mobile telecom gear maker Ericsson said it had signed a patent license deal with Apple Inc over technology that helps smartphones and tablets connect to mobile networks  sending its shares up much as 8 percent. | Video ,normal
AAPL,Apple Inc,20151221,UPDATE 2-Ericsson signs patent deal with Apple  shares soar ,* Shares rise in Nokia  which is expecting ruling in January   (Adds analysts  background  Nokia shares),normal
AAPL,Apple Inc,20151221,Ericsson and Apple sign patent deal  settle litigation ,STOCKHOLM Swedish mobile telecom gear maker Ericsson announced it had signed a patent licence deal with Apple Inc  ending a year-long dispute and sending its shares up 7 percent on Monday.,normal
AAPL,Apple Inc,20151221,Ericsson and Apple sign patent license agreement  settle litigation ,STOCKHOLM  Dec 21 Swedish telecom equipment maker Ericsson on Monday said it has signed a patent license agreement with Apple Inc but did not specify how much it would earn from the deal.,normal
AAPL,Apple Inc,20151221,BRIEF-Ericsson and Apple sign global patent license agreement  settle litigation ,* Ericsson : Ericsson and Apple sign global patent license agreement  settle litigation,normal
CSCO,Cisco Systems Inc,20151221,Cisco reviews code after Juniper breach; more scrutiny expected ,BOSTON Networking equipment maker Cisco Systems Inc said on Monday it has launched a product review to look for tampering after rival Juniper Networks Inc's disclosure it found code in firewall software that made in vulnerable to cyber attacks.,topStory
CSCO,Cisco Systems Inc,20151221,UPDATE 1-Cisco reviews code after Juniper breach; more scrutiny expected ,BOSTON  Dec 21 Networking equipment maker Cisco Systems Inc said on Monday it has launched a product review to look for tampering after rival Juniper Networks Inc's  disclosure it found code in firewall software that made in vulnerable to cyber attacks.,normal
CSCO,Cisco Systems Inc,20151221,Cisco reviewing product code after Juniper software was altered ,BOSTON  Dec 21 Cisco Systems Inc said on Monday that it is reviewing its product code for "malicious modification" in the wake of rival Juniper Networks Inc's  disclosure last week that it had found unauthorized code in its firewall software.,normal
CMCSA,Comcast Corporation,20151221,Miss Universe host announces wrong winner before Miss Philippines crowned ,The host of the Miss Universe pageant mistakenly announced the wrong winner on Sunday  who then had to give up the crown and hand it over to a 26-year-old actress and model from the Philippines.,normal
CMCSA,Comcast Corporation,20151221,UPDATE 3-Miss Universe host announces wrong winner before Miss Philippines crowned ,Dec 20 The host of the Miss Universe pageant mistakenly announced the wrong winner on Sunday  who then had to give up the crown and hand it over to a 26-year-old actress and model from the Philippines.,normal
ERIC,Ericsson,20151221,Ericsson signs patent deal with Apple  shares soar ,STOCKHOLM Swedish mobile telecom gear maker Ericsson said it had signed a patent license deal with Apple Inc over technology that helps smartphones and tablets connect to mobile networks  sending its shares up much as 8 percent. | Video ,topStory
ERIC,Ericsson,20151221,UPDATE 2-Ericsson signs patent deal with Apple  shares soar ,* Shares rise in Nokia  which is expecting ruling in January   (Adds analysts  background  Nokia shares),normal
ERIC,Ericsson,20151221,European shares advance even as Spanish stocks take election hit ,LONDON Dec 21 European shares gained ground on Monday  buoyed by carmaker Volkswagen and telecoms equipment manufacturer Ericsson  although an inconclusive Spanish election result hit the Madrid market.,normal
ERIC,Ericsson,20151221,European shares advance even as Spanish stocks take election hit ,LONDON Dec 21 European shares edged higher on Monday  buoyed by gains in carmaker Volkswagen and telecoms equipment manufacturer Ericsson  although an inconclusive result in Spain's election hit the country's stocks.,normal
ERIC,Ericsson,20151221,Ericsson and Apple sign patent license agreement  settle litigation ,STOCKHOLM  Dec 21 Swedish telecom equipment maker Ericsson on Monday said it has signed a patent license agreement with Apple Inc but did not specify how much it would earn from the deal.,normal
ERIC,Ericsson,20151221,BRIEF-Ericsson and Apple sign global patent license agreement  settle litigation ,* Ericsson : Ericsson and Apple sign global patent license agreement  settle litigation,normal
