AAPL,Apple Inc,20151225,Apple asks court to make Samsung pay $180 million more in patent dispute ,NEW YORK Just over a week after Samsung paid Apple more than $548 million for infringing the patents and designs of the iPhone  Apple has asked a U.S. court to force its biggest smartphone rival to cough up even more.,topStory
BIDU,Baidu Inc,20151225,UPDATE 2-Alibaba agrees to invest $1.25 bln in Chinese online food delivery service - report ,SHANGHAI  Dec 25 Alibaba Group Holding Ltd  has agreed to invest $1.25 billion in Chinese online food delivery service Ele.me  leading business weekly Caixin reported on Friday.,normal
BABA,Alibaba Group Holding Limited,20151225,Alibaba agrees to invest $1.25 billion in Chinese online food delivery service: report ,SHANGHAI Alibaba Group Holding Ltd  has agreed to invest $1.25 billion in Chinese online food delivery service Ele.me  leading business weekly Caixin reported on Friday.,topStory
BABA,Alibaba Group Holding Limited,20151225,RPT-INSIGHT-In an M&A boom year  deals-driven hedge funds are burned by bad bets ,NEW YORK  Dec 24 This year  betting on corporate takeovers and restructurings should have been a sure thing for investors as the value of deals soared to record levels. It didn't work out that way.,normal
BABA,Alibaba Group Holding Limited,20151225,UPDATE 2-Alibaba agrees to invest $1.25 bln in Chinese online food delivery service - report ,SHANGHAI  Dec 25 Alibaba Group Holding Ltd  has agreed to invest $1.25 billion in Chinese online food delivery service Ele.me  leading business weekly Caixin reported on Friday.,normal
BABA,Alibaba Group Holding Limited,20151225,Alibaba agrees to invest $1.25 bln in Chinese online food delivery service - report ,SHANGHAI  Dec 25 Alibaba Group Holding Ltd  has agreed to invest $1.25 billion in Chinese online food delivery service Ele.me  leading business weekly Caixin reported on Friday.,normal
H,Hyatt Hotels Corporation,20151225,Hyatt Hotels attacked with payment-card stealing malware ,Hyatt Hotels Corp said on Wednesday that its payment processing system was infected with credit-card-stealing malware in an attack discovered three weeks ago  the latest in a series of breaches at hospitality firms. | Video ,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151225,Taiwan stocks edge up ahead of holidays ,TAIPEI  Dec 25 Taiwan stocks edged up on Friday amid pre-Christmas caution  with heavyweights such as Taiwan Semiconductor Manufacturing Co (TSMC) little changed.,topStory
TM,Toyota Motor Corp Ltd Ord,20151225,Toyota tops global car sales in November  outsells VW for fifth month ,TOKYO Toyota Motor Corp  sold more cars than Volkswagen AG  for the fifth consecutive month in November  putting the Japanese firm on track to remain the world's top-selling automaker in 2015 as sales at the German maker suffer following a diesel emissions scandal.,topStory
TM,Toyota Motor Corp Ltd Ord,20151225,Toyota tops global car sales in Nov  outsells VW for 5th month ,TOKYO  Dec 25 Toyota Motor Corp sold more cars than Volkswagen AG for the fifth consecutive month in November  putting the Japanese firm on track to remain the world's top-selling automaker in 2015 as sales at the German maker suffer following a diesel emissions scandal.,normal
VRX,Valeant Pharmaceuticals International Inc,20151225,Valeant says CEO J. Michael Pearson hospitalized with severe pneumonia ,NEW YORK Valeant Pharmaceuticals International Inc  Chief Executive J. Michael Pearson was hospitalized with a "severe case of pneumonia" on Friday and is receiving treatment  a company spokeswoman said.,topStory
VRX,Valeant Pharmaceuticals International Inc,20151225,UPDATE 1-Valeant says CEO J. Michael Pearson hospitalized with severe pneumonia ,NEW YORK  Dec 25 Valeant Pharmaceuticals International Inc Chief Executive J. Michael Pearson was hospitalized with a "severe case of pneumonia" on Friday and is receiving treatment  a company spokeswoman said.,normal
VRX,Valeant Pharmaceuticals International Inc,20151225,Valeant CEO J. Michael Pearson hospitalized with severe pneumonia - NYT ,NEW YORK Valeant Pharmaceuticals Chief Executive J. Michael Pearson was hospitalized with severe pneumonia on Friday  the New York Times reported  citing a company spokeswoman.,normal
VRX,Valeant Pharmaceuticals International Inc,20151225,Valeant CEO J. Michael Pearson hospitalized with severe pneumonia -NYT ,NEW YORK  Dec 25 Valeant Pharmaceuticals  Chief Executive J. Michael Pearson was hospitalized with severe pneumonia on Friday  the New York Times reported  citing a company spokeswoman.,normal
