ATVI,Activision Blizzard Inc,20160115,BRIEF-Vivendi unwounds hedge on remaining stake in Activision Blizzard ,* Announced that it unwound the hedge on its remaining 41.5 million Activision Blizzard Inc shares,topStory
AMZN,Amazoncom Inc,20160115,Amazon expands logistics reach with move into ocean shipping ,SAN FRANCISCO Amazon.com Inc's China arm has registered as an ocean freight forwarder  according to the U.S. Federal Maritime Commission  a move that will give it more control over shipping products from Chinese factories to U.S. shoppers.,topStory
AMZN,Amazoncom Inc,20160115,UPDATE 3-Wal-Mart pulls plug on smallest stores  shuts 269 locations ,Jan 15 Wal-Mart Stores Inc said on Friday that it would pull the plug on its smallest store format  Walmart Express  and close 269 locations as it contends with higher costs in its home market of the United States and disappointing results overseas.,normal
AMZN,Amazoncom Inc,20160115,Amazon expands logistics reach with move into ocean shipping ,SAN FRANCISCO Amazon.com Inc's China arm has registered as an ocean freight forwarder  according to the U.S. Federal Maritime Commission  a move that will give it more control over shipping products from Chinese factories to U.S. shoppers.,normal
AMZN,Amazoncom Inc,20160115,UPDATE 2-Amazon expands logistics reach with move into ocean shipping ,SAN FRANCISCO  Jan 14 Amazon.com Inc's  China arm has registered as an ocean freight forwarder  according to the U.S. Federal Maritime Commission  a move that will give it more control over shipping products from Chinese factories to U.S. shoppers.,normal
AAPL,Apple Inc,20160115,Growth funds dumping Apple stock as iPhone sales seen sagging; value-managers moving in ,NEW YORK Major U.S. growth mutual funds have been among the largest sellers of Apple Inc  shares over the past six months  fueling speculation that the company’s days of supercharged growth have come to an end.,topStory
AAPL,Apple Inc,20160115,China's Xiaomi misses 2015 handset shipment target as competition bites ,BEIJING/HONG KONG Smartphone maker Xiaomi Inc [XTC.UL] said on Friday it had shipped more than 70 million handsets in 2015  undershooting its own target and casting doubts about the growth prospects of China's most valuable tech startup in a cut-throat market.,normal
AAPL,Apple Inc,20160115,China's Xiaomi misses 2015 handset shipment target as competition bites ,BEIJING/HONG KONG  Jan 15 Smartphone maker Xiaomi Inc said on Friday it had shipped more than 70 million handsets in 2015  undershooting its own target and casting doubts about the growth prospects of China's most valuable tech startup in a cut-throat market.,normal
EBIO,Eleven Biotherapeutics Inc,20160115,Eleven Biotherapeutics' eye drug fails late-stage study ,Jan 15 Eleven Biotherapeutics Inc said its lead eye drug failed in a late-stage trial in treating patients with severe allergic conjunctivitis.,topStory
HRTX,Heron Therapeutics Inc  ,20160115,FDA delays decision on Heron's nausea drug ,Heron Therapeutics Inc said the U.S. Food and Drug Administration had postponed a decision on its injectable drug to treat chemotherapy-induced nausea.,topStory
HRTX,Heron Therapeutics Inc  ,20160115,UPDATE 1-FDA delays decision on Heron's nausea drug ,Jan 15 Heron Therapeutics Inc said the U.S. Food and Drug Administration had postponed a decision on its injectable drug to treat chemotherapy-induced nausea.,normal
INTC,Intel Corporation,20160115,US STOCKS-Wall St hemorrhages as oil falls and China fears deepen ,* Indexes down: Dow 2.39 pct  S&P 2.16 pct  Nasdaq 2.74 pct   (Updates with market close  adds comment),normal
INTC,Intel Corporation,20160115,US STOCKS-Wall St hammered; S&P 500 hits lowest since Oct 2014 ,* Indexes down: Dow 2.74 pct  S&P 2.72 pct  Nasdaq 3.45 pct   (Adds details  comments; updates prices),normal
INTC,Intel Corporation,20160115,US STOCKS-Wall Street slumps; S&P hits lowest since Aug. 24 ,* Indexes down: Dow 2.55 pct  S&P 2.57 pct  Nasdaq 3.34 pct   (Adds details  updates prices),normal
LBTYA,Liberty Global plc,20160115,EU mergers and takeovers (Jan 15) ,BRUSSELS  Jan 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
LBTYB,Liberty Global plc,20160115,EU mergers and takeovers (Jan 15) ,BRUSSELS  Jan 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
LBTYK,Liberty Global plc,20160115,EU mergers and takeovers (Jan 15) ,BRUSSELS  Jan 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
MSFT,Microsoft Corporation,20160115,U.S. Supreme Court agrees to hear Microsoft appeal in Xbox case ,WASHINGTON The U.S. Supreme Court on Friday agreed to consider Microsoft Corp's bid to fend off class action claims by Xbox 360 owners who contend that the videogame console has a design defect that causes game discs to be gouged.,topStory
MSFT,Microsoft Corporation,20160115,U.S. Supreme Court agrees to hear Microsoft appeal in Xbox case ,WASHINGTON The U.S. Supreme Court on Friday agreed to consider Microsoft Corp's  bid to fend off class action claims by Xbox 360 owners who contend that the videogame console has a design defect that causes game discs to be gouged.,normal
MSFT,Microsoft Corporation,20160115,UPDATE 1-U.S. Supreme Court agrees to hear Microsoft appeal in Xbox case ,WASHINGTON  Jan 15 The U.S. Supreme Court on Friday agreed to consider Microsoft Corp's bid to fend off class action claims by Xbox 360 owners who contend that the videogame console has a design defect that causes game discs to be gouged.,normal
MSFT,Microsoft Corporation,20160115,U.S. Supreme Court agrees to hear Microsoft appeal in Xbox case ,WASHINGTON  Jan 15 The U.S. Supreme Court on Friday agreed to consider Microsoft Corp's bid to fend off class action claims by Xbox 360 owners who contend that the videogame console has a design defect that causes game discs to be gouged.,normal
MDLZ,Mondelez International Inc,20160115,Cadbury maker Mondelez to switch to cage-free eggs by 2020 in U.S. ,Mondelez International Inc   the maker of Cadbury chocolates and Oreo cookies  said it would stop using eggs laid by caged hens for its products sold in the United States and Canada by 2020.,topStory
MDLZ,Mondelez International Inc,20160115,Cadbury maker Mondelez to switch to cage-free eggs by 2020 in US ,Jan 15 Mondelez International Inc  the maker of Cadbury chocolates and Oreo cookies  said it would stop using eggs laid by caged hens for its products sold in the United States and Canada by 2020.,normal
SRPT,Sarepta Therapeutics Inc,20160115,FDA staff unconvinced by Sarepta's muscle wasting drug ,U.S. Food and Drug Administration staff said they were unconvinced about the effectiveness of Sarepta Therapeutics Inc's drug for a rare muscle wasting disorder  dealing another blow to the quest for a drug to treat the fatal disease.,topStory
SRPT,Sarepta Therapeutics Inc,20160115,UPDATE 3-FDA staff unconvinced by Sarepta's muscle wasting drug ,* Sarepta loses over half its market value   (Adds analyst comment  details),normal
BUD,Anheuser-Busch Inbev SA,20160115,No allocation fuss over AB InBev US$46bn bond ,NEW YORK  Jan 15 (IFR) - Allocations have long been one of the touchier subjects in the bond business  but there was little complaining about this week's US$46bn deal  the second-largest ever  from AB InBev.,topStory
AHP,Ashford Hospitality Prime Inc,20160115,Sessa Capital to nominate 5 directors to Ashford Hospitality Prime's board ,Jan 15 Activist investor Sessa Capital LP said it would nominate five directors for election at real estate investment trust Ashford Hospitality Prime Inc's 2016 shareholder meeting to speed up a stalled strategic review process.,topStory
T,AT&T Inc,20160115,Exclusive: Telefonica eyes AT&T's $10 billion Latin American TV assets - sources ,Spanish telecommunications company Telefonica SA has expressed interest in buying AT&T Inc's pay TV assets in Latin America  which could be valued at around $10 billion  according to people familiar with the matter.,topStory
BLL,Ball Corporation,20160115,EU mergers and takeovers (Jan 15) ,BRUSSELS  Jan 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BLL,Ball Corporation,20160115,BRIEF-Ball Corp says EC approves Rexam deal ,* Ec is requiring ball to divest eight of its existing european metal beverage can manufacturing plants  Source text for Eikon:,normal
BLL,Ball Corporation,20160115,EU clears Ball  Rexam merger subject to 12 plant divestments ,BRUSSELS  Jan 15 The European Commission said on Friday that it had approved U.S. drinks can maker Ball Corp's  planned 4.43 billion pound  ($6.35 billion) purchase of Rexam Plc subject to the divestment of 12 plants.,normal
BAC,Bank of America Corporation,20160115,RBS settlement on U.S. mortgages could come within weeks: analysts ,LONDON Royal Bank of Scotland could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
BAC,Bank of America Corporation,20160115,RBS settlement on U.S. mortgages could come within weeks  -analysts ,LONDON  Jan 15 Royal Bank of Scotland  could reach a settlement within weeks on claims it misled investors in selling U.S. mortgage-backed securities  passing another milestone in its recovery from the financial crisis  analysts said on Friday.,normal
BBL,BHP Billiton plc,20160115,European shares plunge  roiled by BHP and oil; hopes turn to ECB ,MILAN/LONDON  Jan 15 European shares ended on Friday at their lowest since mid-December 2014  hit by losses in commodity-related stocks as BHP Billiton announced a major writedown and oil fell below $30 a barrel.,topStory
BBL,BHP Billiton plc,20160115,BHP Billiton dividend cut looms as it takes $7.2 billion shale charge ,MELBOURNE Global miner BHP Billiton said on Friday it will write down the value its U.S. shale assets by $7.2 billion on a bleak outlook for oil and gas prices  cementing expectations it will be forced to cut its dividend for the first time in over 25 years. | Video ,normal
BBL,BHP Billiton plc,20160115,Britain's FTSE stumbles  BHP Billiton writedown sparks sector fears ,LONDON  Jan 15 Britain's FTSE 100 share index was led lower on Friday by the mining sector on persistent fears over falling Chinese demand and on fears that BHP Billiton  might cut its dividend after writing down its U.S. shale assets by $7.2 billion.,normal
BBL,BHP Billiton plc,20160115,UPDATE 3-BHP Billiton dividend cut looms as it takes $7.2 bln shale charge ,* BHP cuts its oil and gas price assumptions   (Adds Moody's comment  shale background),normal
BLK,BlackRock Inc,20160115,BlackRock reels in billions but profits miss expectations ,Investors drove $54 billion into BlackRock Inc funds during a weak and turbulent fourth quarter for financial markets  driving profits higher  but the company nonetheless missed Wall Street analysts' forecasts.,topStory
