ALKS,Alkermes plc,20160128,Alkermes short bets built up ahead of depression drug setback ,NEW YORK  Jan 28 Investors who recently shorted Alkermes Plc shares may have had their timing exactly right: They stood to make a nice profit when a setback caused the stock to drop 44 percent.,topStory
GOOG,Alphabet Inc,20160128,Alphabet to report results in 2 segments: Google  Other Bets ,Jan 28 Alphabet Inc  the new holding company for Google  said it would report its quarterly results in two segments  Google and Other Bets.,topStory
GOOG,Alphabet Inc,20160128,YouTube wins German appeal over artists' fees ,MUNICH A German court has handed Google another legal victory over German performing rights organisation Gema  which had sought to make the company's video-sharing service YouTube pay each time users watch music videos by artists it represents.,normal
GOOG,Alphabet Inc,20160128,CORRECTED-YouTube wins German appeal over artists' fees ,MUNICH  Jan 28 A German court has handed Google another legal victory over German performing rights organisation Gema  which had sought to make the company's video-sharing service YouTube pay each time users watch music videos by artists it represents.,normal
GOOGL,Alphabet Inc,20160128,Alphabet to report results in 2 segments: Google  Other Bets ,Jan 28 Alphabet Inc  the new holding company for Google  said it would report its quarterly results in two segments  Google and Other Bets.,topStory
GOOGL,Alphabet Inc,20160128,YouTube wins German appeal over artists' fees ,MUNICH A German court has handed Google another legal victory over German performing rights organisation Gema  which had sought to make the company's video-sharing service YouTube pay each time users watch music videos by artists it represents.,normal
GOOGL,Alphabet Inc,20160128,CORRECTED-YouTube wins German appeal over artists' fees ,MUNICH  Jan 28 A German court has handed Google another legal victory over German performing rights organisation Gema  which had sought to make the company's video-sharing service YouTube pay each time users watch music videos by artists it represents.,normal
AMZN,Amazoncom Inc,20160128,Amazon revenue rises 22 pct in holiday quarter ,Jan 28 E-commerce giant Amazon.com Inc  reported a 21.8 percent rise in quarterly revenue  helped by strong holiday-period shopping and robust growth in its cloud services business.,topStory
AMZN,Amazoncom Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
AMZN,Amazoncom Inc,20160128,UPDATE 1-EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc's shares plunged 13 percent on Thursday  after a disappointing holiday-quarter performance and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
AMZN,Amazoncom Inc,20160128,EBay shares sink as strong dollar  competition hit forecast ,Jan 28 EBay Inc stock plunged 14 percent in premarket trading after a disappointing showing in the holiday quarter and a weak forecast suggested that overwhelming competition from Amazon.com Inc was gutting the one-time Wall Street favorite.,normal
AMZN,Amazoncom Inc,20160128,Amazon says Exclusives store sales top $50 million in first year ,SAN FRANCISCO Amazon.com Inc said that sales on Exclusives  its platform for products not available anywhere else  topped $50 million in less than a year since its launch and the site includes more than 120 brands  the first time it has disclosed the data.,normal
AMZN,Amazoncom Inc,20160128,Investor calls on Yahoo  Viacom to take on 'Buffett-like' partners ,A vocal investor in Yahoo Inc  and Viacom Inc  is calling for the boards of both companies to seek outside investments from strategic partners in the vein of legendary investor Warren Buffett to help boost the value of their stocks.,normal
AMZN,Amazoncom Inc,20160128,Investor calls on Yahoo  Viacom to take on 'Buffett-like' partners ,Jan 27 A vocal investor in Yahoo Inc  and Viacom Inc is calling for the boards of both companies to seek outside investments from strategic partners in the vein of legendary investor Warren Buffett to help boost the value of their stocks.,normal
AAL,American Airlines Group Inc,20160128,In U.S. oil capital Houston  no cheap fuel bonanza for airlines ,NEW YORK  Jan 28 While airlines are in no rush to pass on fuel savings to passengers brought by the collapse in oil prices  the Houston travel market has left them little choice.,normal
AMGN,Amgen Inc,20160128,Amgen fourth quarter profit tops street; raises 2016 forecast ,Amgen Inc's  fourth-quarter earnings soundly beat estimates on higher sales of its blockbuster rheumatoid arthritis drug Enbrel and lower costs  and the world's largest biotechnology company raised its 2016 profit forecast.,topStory
AMGN,Amgen Inc,20160128,UPDATE 2-Amgen 4th quarter profit tops Street; raises 2016 forecast ,Jan 28 Amgen Inc's fourth-quarter earnings soundly beat estimates on higher sales of its blockbuster rheumatoid arthritis drug Enbrel and lower costs  and the world's largest biotechnology company raised its 2016 profit forecast.,normal
AMGN,Amgen Inc,20160128,Amgen 4th quarter profit tops Street estimates as costs fall ,Jan 28 Amgen Inc on Thursday reported much higher-than-expected fourth-quarter earnings  helped by increased sales of its blockbuster rheumatoid arthritis drug Enbrel and lower costs  and the company raised its 2016 profit forecast.,normal
AAPL,Apple Inc,20160128,Apple to voluntarily recall some AC wall plug adaptors ,Apple Inc said on Thursday it was voluntarily recalling AC wall plug adapters designed for use in Argentina  Australia  Brazil  Continental Europe  New Zealand and South Korea.,topStory
AAPL,Apple Inc,20160128,Apple to voluntarily recall some AC wall plug adaptors ,Jan 28 Apple Inc said on Thursday it was voluntarily recalling AC wall plug adapters designed for use in Argentina  Australia  Brazil  Continental Europe  New Zealand and South Korea.,normal
AAPL,Apple Inc,20160128,Samsung Elec warns of difficult 2016 as smartphone troubles spread ,SEOUL Tech giant Samsung Electronics Co Ltd  warned on Thursday of possible weaker earnings this year due to softer sales of gadgets such as smartphones  a trend that is also hurting rival Apple Inc  and major chipmakers.,normal
AAPL,Apple Inc,20160128,UPDATE 4-Samsung Elec warns of difficult 2016 as smartphone troubles spread ,* Says selling stake in Samsung Card for $1.3 bln   (Updates with Samsung Electronics' planned $1.3 bln sale of stake in credit card affiliate),normal
AAPL,Apple Inc,20160128,Nikkei gains in choppy trade  weak yen brightens mood after Wall St falls ,TOKYO  Jan 28 Japan's Nikkei edged up on Thursday morning in choppy trade as a weaker yen boosted export-exposed stocks like automakers  cheering investors after the market opened lower under the influence of weak Wall Street performances overnight.,normal
AAPL,Apple Inc,20160128,Taiwan stocks rise; banks  techs up ,TAIPEI  Jan 28 Taiwan stocks outpaced other regional markets to climb on Thursday  led by banking and technology shares  but the gains could be short-lived as the global economic outlook remains shaky.,normal
AAPL,Apple Inc,20160128,Google asks court for OK to press for sanctions against Oracle ,SAN FRANCISCO Google is asking for sanctions against Oracle Corp after one of the software developer's lawyers discussed confidential details about the search giant's relationship with Apple Inc at a court hearing earlier this month.,normal
AAPL,Apple Inc,20160128,Google asks court for OK to press for sanctions against Oracle ,SAN FRANCISCO Google is asking for sanctions against Oracle Corp after one of the software developer's lawyers discussed confidential details about the search giant's relationship with Apple Inc at a court hearing earlier this month.,normal
