ATVI,Activision Blizzard Inc,20160215,EU mergers and takeovers (Feb 15) ,BRUSSELS  Feb 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AMGN,Amgen Inc,20160215,Amgen blood cell disorder drug meets primary goal in phase 3 trial ,Feb 15 Biopharmaceutical company Amgen Inc  said on Monday its Aranesp drug met its primary goal of reducing the incidence of red blood cell transfusions in anemic patients suffering from Myelodysplastic Syndromes (MDS) in a phase 3 trial.,topStory
DBVT,DBV Technologies SA,20160215,BRIEF-DBV Technologies cash position at year-end 2015: 324.0 mln euros ,* Says cash and cash equivalents amounted to 324.0 million euros ($363.6 million) as of Dec. 31  2015  compared to 332.2 million euros as of Sept. 30  2015  Source text for Eikon:  Further company coverage:   ($1 = 0.8910 euros)   (Gdynia Newsroom),topStory
HSIC,Henry Schein Inc,20160215,Pets are comforting  but shares of pet-focused companies may not be ,Feb 15 Come economic rain or shine  Americans spend $60 billion a year on their pets  a fact that has led investors to seek shelter in pet company shares when the stock market goes to the dogs.,normal
IDXX,IDEXX Laboratories Inc,20160215,Pets are comforting  but shares of pet-focused companies may not be ,Feb 15 Come economic rain or shine  Americans spend $60 billion a year on their pets  a fact that has led investors to seek shelter in pet company shares when the stock market goes to the dogs.,normal
ZEAL,Zealand Pharma A/S,20160215,BRIEF-Zealand steps into phase II development in 2016 for ZP1848 for short bowel syndrome ,* Zealand doses the first patients with ZP1848 for short bowel syndrome  advancing the second of its proprietary specialty medicines into phase II development in 2016,topStory
ASX,Advanced Semiconductor Engineering Inc,20160215,BRIEF-Taiwan's ASE posts 9.3 pct fall in Jan sales ,Further company coverage:   ($1 = 32.9470 Taiwan dollars)   (Reporting by Hong Kong newsroom),topStory
BLK,BlackRock Inc,20160215,BlackRock says no need to stress test mutual fund sector ,LONDON BlackRock  the world's biggest asset manager  says there is no need for a stress test of whether the mutual fund industry could repay a large number of panicking investors in the event of a fresh financial crisis.,topStory
BLK,BlackRock Inc,20160215,BlackRock says no need to stress test mutual fund sector ,LONDON  Feb 15 BlackRock  the world's biggest asset manager  says there is no need for a stress test of whether the mutual fund industry could repay a large number of panicking investors in the event of a fresh financial crisis.,normal
BA,Boeing Company (The),20160215,Boeing sees new aircraft demand worth $550 billion in Southeast Asia over 20 years ,SINGAPORE Southeast Asia requires 3 750 new aircraft worth $550 billion in 20 years from 2015  a senior Boeing  executive told a press conference ahead of the Singapore Airshow that starts on Tuesday.,topStory
BA,Boeing Company (The),20160215,Boeing sees new aircraft demand worth $550 bln in SE Asia in 20 yrs ,SINGAPORE  Feb 15 Southeast Asia requires 3 750 new aircraft worth $550 billion in 20 years from 2015  a senior Boeing executive told a press conference ahead of the Singapore Airshow that starts on Tuesday.,normal
BAM,Brookfield Asset Management Inc,20160215,Australia's Asciano bins $6.4 bln Brookfield bid it had endorsed ,SYDNEY Australian ports and rail giant Asciano Ltd  formally dumped an A$8.9 billion ($6.4 billion) buyout from Canada's Brookfield Asset Management Inc  after it failed to match a higher offer from local rival Qube Holdings Ltd .,topStory
BAM,Brookfield Asset Management Inc,20160215,Australia's Asciano bins $6.4 bln Brookfield bid it had endorsed ,SYDNEY  Feb 16 Australian ports and rail giant Asciano Ltd formally dumped an A$8.9 billion ($6.4 billion) buyout from Canada's Brookfield Asset Management Inc  after it failed to match a higher offer from local rival Qube Holdings Ltd.,normal
CVX,Chevron Corporation,20160215,Shell pursues transition plan after sealing $53 bln BG deal ,LONDON  Feb 15 Royal Dutch Shell on Monday sealed the $53 billion (36 billion pounds) acquisition of British rival BG Group to form the world's top liquefied natural gas company  even as slumping oil prices cast a shadow on the upcoming years of transition.,normal
DB,Deutsche Bank AG,20160215,Deutsche Bank carbon traders concealed information says prosecutor ,FRANKFURT  Feb 15 Deutsche Bank  employees alleged to have evaded tax when buying and selling carbon emission certificates had concerns over whether their trading activity was legal but carried on anyway to maximize profits  a Frankfurt court heard on Monday.,topStory
DB,Deutsche Bank AG,20160215,BRIEF-Moody's says expects Deutsche Bank to make its AT1 payments ,* We think that Deutsche Bank is positioned to make its April 2016 AT1 payment  and  barring a major  unforeseen event  will be positioned to make its April 2017 AT1 payment  Further company coverage:,normal
FCAU,Fiat Chrysler Automobiles NV,20160215,BRIEF-Monte dei Paschi leads banks higher in early trade  Fiat also up ,* Monte dei Paschi di Siena up 8.6 pct in early trade after recent loss,topStory
FMS,Fresenius Medical Care Corporation,20160215,FMC acquires Japan's largest dialysis group: FAZ newspaper ,FRANKFURT German kidney dialysis provider Fresenius Medical Care has acquired Japan's largest dialysis group with about 6 000 patients  newspaper Frankfurter Allgemeine Zeitung reported on Monday  citing a presentation made by the company in January.,topStory
FMS,Fresenius Medical Care Corporation,20160215,FMC acquires Japan's largest dialysis group -FAZ newspaper ,FRANKFURT  Feb 15 German kidney dialysis provider Fresenius Medical Care has acquired Japan's largest dialysis group with about 6 000 patients  newspaper Frankfurter Allgemeine Zeitung reported on Monday  citing a presentation made by the company in January.,normal
GEL,Genesis Energy LP,20160215,BRIEF-Genesis Energy Q4 net loss shrinks to 15 101 zlotys ,* Q4 net loss 15 101 zlotys ($3 830.12) versus loss of 147 625 zlotys a year ago  Source text for Eikon:,topStory
HSBC,HSBC Holdings plc,20160215,HSBC keeps headquarters in London  rejects move to Hong Kong ,LONDON/HONG KONG Banking group HSBC Holdings  has decided to keep its headquarters in Britain  rejecting the option of shifting its center of gravity back to main profit-generating hub Hong Kong after a 10-month review. | Video ,topStory
HSBC,HSBC Holdings plc,20160215,Fitch: HSBC HQ Decision Has No Impact on Business Strategy ,(The following statement was released by the rating agency) LONDON  February 15 (Fitch) HSBC Holdings plc's (HSBC) decision to keep its  headquarters in London has no impact on the group's business strategy  says  Fitch Ratings. In our opinion  the protracted debate over where the group's  non-operating holding company should be registered  which in turn determines  which authorities assume consolidated supervision  never detracted from  management's central strategic focus  originally outlined ,normal
HSBC,HSBC Holdings plc,20160215,UPDATE 6-HSBC keeps headquarters in London  rejects move to Hong Kong ,* GRAPHIC: HSBC's regional profits http://tmsnrt.rs/2141LuB   (Adds comments on Brexit  Prime Minister spokeswoman  context on bank levy),normal
HSBC,HSBC Holdings plc,20160215,UPDATE-HSBC opts to keep its HQ in London ,LONDON  Feb 15 (IFR) - HSBC Holdings said it is keeping its headquarters in Britain  after a 10-month review that considered moving its base to Hong Kong or elsewhere.,normal
HSBC,HSBC Holdings plc,20160215,'Brexit' could lead to HSBC moving 1 000 jobs to Paris: Sky ,HONG KONG HSBC Holdings   could move around 1 000 employees from London to Paris in the event that Britain votes to leave the European Union  the bank's Chief Executive Stuart Gulliver was quoted saying by Sky News on Monday.,normal
HSBC,HSBC Holdings plc,20160215,'Brexit' could lead to HSBC moving 1 000 jobs to Paris -Sky ,HONG KONG  Feb 15 HSBC Holdings   could move around 1 000 employees from London to Paris in the event that Britain votes to leave the European Union  the bank's Chief Executive Stuart Gulliver was quoted saying by Sky News on Monday.,normal
HSBC,HSBC Holdings plc,20160215,RPT-UPDATE 5-HSBC keeps headquarters in London  rejects move to Hong Kong ,LONDON/HONG KONG  Feb 15 Banking group HSBC Holdings has decided to keep its headquarters in Britain  rejecting the option of shifting its centre of gravity back to its main profit-generating hub Hong Kong after a 10-month review.,normal
HSBC,HSBC Holdings plc,20160215,BRIEF-Shares in HSBC up about 1 pct on decision to keep HQ in London ,* Open up 1 percent after bank says to keep HQ in London  rejects move to Hong Kong  Further company coverage:    (Reporting By Richa Naidu; richa.naidu@thomsonreuters.com),normal
HSBC,HSBC Holdings plc,20160215,HSBC shares indicated to open up 3.4 percent after HQ decision ,HONG KONG Shares in HSBC Holdings plc are indicated to open up 3.4 percent on Monday after the board unanimously decided to  keep its headquarters in Britain.,normal
HSBC,HSBC Holdings plc,20160215,HSBC shares indicated to open up 3.4 pct after HQ decision ,HONG KONG  Feb 15 Shares in HSBC Holdings plc  are indicated to open up 3.4 percent on Monday after the board unanimously decided to  keep its headquarters in Britain.,normal
HSEA,HSBC Holdings plc,20160215,HSBC keeps headquarters in London  rejects move to Hong Kong ,LONDON/HONG KONG Banking group HSBC Holdings  has decided to keep its headquarters in Britain  rejecting the option of shifting its center of gravity back to main profit-generating hub Hong Kong after a 10-month review. | Video ,topStory
HSEA,HSBC Holdings plc,20160215,Fitch: HSBC HQ Decision Has No Impact on Business Strategy ,(The following statement was released by the rating agency) LONDON  February 15 (Fitch) HSBC Holdings plc's (HSBC) decision to keep its  headquarters in London has no impact on the group's business strategy  says  Fitch Ratings. In our opinion  the protracted debate over where the group's  non-operating holding company should be registered  which in turn determines  which authorities assume consolidated supervision  never detracted from  management's central strategic focus  originally outlined ,normal
HSEA,HSBC Holdings plc,20160215,UPDATE 6-HSBC keeps headquarters in London  rejects move to Hong Kong ,* GRAPHIC: HSBC's regional profits http://tmsnrt.rs/2141LuB   (Adds comments on Brexit  Prime Minister spokeswoman  context on bank levy),normal
HSEA,HSBC Holdings plc,20160215,UPDATE-HSBC opts to keep its HQ in London ,LONDON  Feb 15 (IFR) - HSBC Holdings said it is keeping its headquarters in Britain  after a 10-month review that considered moving its base to Hong Kong or elsewhere.,normal
HSEA,HSBC Holdings plc,20160215,'Brexit' could lead to HSBC moving 1 000 jobs to Paris: Sky ,HONG KONG HSBC Holdings   could move around 1 000 employees from London to Paris in the event that Britain votes to leave the European Union  the bank's Chief Executive Stuart Gulliver was quoted saying by Sky News on Monday.,normal
HSEA,HSBC Holdings plc,20160215,'Brexit' could lead to HSBC moving 1 000 jobs to Paris -Sky ,HONG KONG  Feb 15 HSBC Holdings   could move around 1 000 employees from London to Paris in the event that Britain votes to leave the European Union  the bank's Chief Executive Stuart Gulliver was quoted saying by Sky News on Monday.,normal
HSEA,HSBC Holdings plc,20160215,RPT-UPDATE 5-HSBC keeps headquarters in London  rejects move to Hong Kong ,LONDON/HONG KONG  Feb 15 Banking group HSBC Holdings has decided to keep its headquarters in Britain  rejecting the option of shifting its centre of gravity back to its main profit-generating hub Hong Kong after a 10-month review.,normal
HSEA,HSBC Holdings plc,20160215,BRIEF-Shares in HSBC up about 1 pct on decision to keep HQ in London ,* Open up 1 percent after bank says to keep HQ in London  rejects move to Hong Kong  Further company coverage:    (Reporting By Richa Naidu; richa.naidu@thomsonreuters.com),normal
HSEA,HSBC Holdings plc,20160215,HSBC shares indicated to open up 3.4 percent after HQ decision ,HONG KONG Shares in HSBC Holdings plc are indicated to open up 3.4 percent on Monday after the board unanimously decided to  keep its headquarters in Britain.,normal
HSEA,HSBC Holdings plc,20160215,HSBC shares indicated to open up 3.4 pct after HQ decision ,HONG KONG  Feb 15 Shares in HSBC Holdings plc  are indicated to open up 3.4 percent on Monday after the board unanimously decided to  keep its headquarters in Britain.,normal
HSEB,HSBC Holdings plc,20160215,HSBC keeps headquarters in London  rejects move to Hong Kong ,LONDON/HONG KONG Banking group HSBC Holdings  has decided to keep its headquarters in Britain  rejecting the option of shifting its center of gravity back to main profit-generating hub Hong Kong after a 10-month review. | Video ,topStory
HSEB,HSBC Holdings plc,20160215,Fitch: HSBC HQ Decision Has No Impact on Business Strategy ,(The following statement was released by the rating agency) LONDON  February 15 (Fitch) HSBC Holdings plc's (HSBC) decision to keep its  headquarters in London has no impact on the group's business strategy  says  Fitch Ratings. In our opinion  the protracted debate over where the group's  non-operating holding company should be registered  which in turn determines  which authorities assume consolidated supervision  never detracted from  management's central strategic focus  originally outlined ,normal
HSEB,HSBC Holdings plc,20160215,UPDATE 6-HSBC keeps headquarters in London  rejects move to Hong Kong ,* GRAPHIC: HSBC's regional profits http://tmsnrt.rs/2141LuB   (Adds comments on Brexit  Prime Minister spokeswoman  context on bank levy),normal
