ACOR,Acorda Therapeutics Inc,20160217,BRIEF-Biotie Therapies U.S. antitrust regulation relating to tender offer expires ,* U.S. antitrust regulation waiting period relating to tender offer has expired,topStory
AMD,Advanced Micro Devices Inc,20160217,AP partners with AMD to produce VR news content ,Associated Press has partnered with chipmaker Advanced Micro Devices Inc to produce virtual reality-based content to create lifelike environments built around news and documentaries.,topStory
AMD,Advanced Micro Devices Inc,20160217,AP partners with AMD to produce VR news content ,Feb 17 Associated Press has partnered with chipmaker Advanced Micro Devices Inc to produce virtual reality-based content to create lifelike environments built around news and documentaries.,normal
AAL,American Airlines Group Inc,20160217,American Airlines wins seniority fight with former TWA flight attendants ,American Airlines had no duty to restore the seniority it stripped from TWA flight attendants in a 2001 merger before American merged with US Airways in 2013  a federal appeals court held Tuesday.,topStory
AAPL,Apple Inc,20160217,Factbox: What Apple and the U.S. government are fighting over ,Apple Inc  is resisting a federal court order that it help the U.S. government break into the iPhone 5c of Rizwan Farook  who along with his wife killed 14 people in a December shooting in San Bernardino  California  which the government has described as a terror attack.,topStory
AAPL,Apple Inc,20160217,REFILE-How a N.Y. judge inspired Apple's encryption fight: Frankel ,Feb 17 Last October  prosecutors from the Justice Department asked a federal magistrate judge in Brooklyn to issue an order directing Apple to help the Drug Enforcement Administration bust security on an iPhone 5 seized from the home of Jun Feng  a suspected meth dealer.,normal
AAPL,Apple Inc,20160217,Apple Pay takes on China's internet kings in mobile payments ,BEIJING  Feb 18 Apple Inc launched its mobile payment system in China on Thursday in a bid to convince the hundreds of millions of users of the country's entrenched  dominant services to switch.,normal
AAPL,Apple Inc,20160217,U.S. Republicans chide Apple over order on shooter's phone ,WASHINGTON Prominent U.S. Republicans criticized Apple Inc on Wednesday for opposing a government request for help hacking into an iPhone belonging to one of the San Bernardino attackers  calling the issue tough but important to boosting national security.,normal
AAPL,Apple Inc,20160217,UPDATE 1-U.S. Republicans chide Apple over order on shooter's phone ,WASHINGTON  Feb 17 Prominent U.S. Republicans criticized Apple Inc on Wednesday for opposing a government request for help hacking into an iPhone belonging to one of the San Bernardino attackers  calling the issue tough but important to boosting national security.,normal
AAPL,Apple Inc,20160217,CORRECTED-Trump  Rubio chide Apple over order on shooter's phone ,WASHINGTON  Feb 17 U.S. Republican presidential candidates criticized Apple Inc on Wednesday for opposing a government request for help hacking into an iPhone belonging to one of the San Bernardino attackers  calling the issue tough but important to boosting national security.,normal
AAPL,Apple Inc,20160217,U.S. appeals court upholds Apple e-book settlement ,NEW YORK A federal appeals court on Wednesday upheld Apple Inc's $450 million settlement of claims that it harmed consumers by conspiring with five publishers to raise e-book prices.,normal
AAPL,Apple Inc,20160217,U.S. appeals court upholds Apple e-book settlement ,NEW YORK A federal appeals court on Wednesday upheld Apple Inc's $450 million settlement of claims that it harmed consumers by conspiring with five publishers to raise e-book prices.,normal
AAPL,Apple Inc,20160217,UPDATE 3-U.S. appeals court upholds Apple e-book settlement ,* Apple appealing liability finding to U.S. Supreme Court   (Updates timing of Supreme Court review of Apple appeal),normal
AAPL,Apple Inc,20160217,Apple issues $1.5 billion in green bonds in first sale ,WASHINGTON Apple has issued $1.5 billion in bonds dedicated to financing clean energy projects across its global business operations  the largest green bond to be issued by a U.S. corporation  the company's head of environmental policy said Wednesday.,normal
ARGS,Argos Therapeutics Inc,20160217,BUZZ-Sainsbury's: 2nd-top European retail gainer on Exane hike ,** Sainsbury's +2.4 pct & 2nd top Stoxx 600 retail gainer as Exane BNP Paribas says deal to buy Argos-owner Home Retail points to greater estate overlap  synergies,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DLBL,Barclays PLC,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DLBL,Barclays PLC,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
DTYL,Barclays PLC,20160217,BRIEF-Delta International agrees to buy Barclays House  Mauritius ,* Transfer of Barclays House in Ebene  Mauritius and withdrawal of cautionary announcement,topStory
DTYL,Barclays PLC,20160217,Head of Barclays investment bank to retire next month - BBG ,Feb 17 Tom King  the head of Barclays Plc's  investment bank  plans to retire as early as next month  Bloomberg reported on Wednesday  citing people with knowledge of the plan.,normal
CMCSA,Comcast Corporation,20160217,China's Perfect World to fund Universal movies in $250 million deal ,SHANGHAI  Feb 17 Chinese film company Perfect World Pictures Co Ltd will invest $250 million into a slate of Universal Pictures movies  extending the tie-ups between China and Hollywood  as the world's second largest economy sees its box office soar.,normal
EA,Electronic Arts Inc,20160217,Fitch Rates Electronic Arts' Sr Unsecured Notes & Existing Sr Unsecured Revolver 'BBB' ,(The following statement was released by the rating agency) NEW YORK  February 17 (Fitch) Fitch Ratings has assigned a 'BBB' rating to  Electronic Arts Inc.'s (EA) announced benchmark-sized senior unsecured notes and  published a 'BBB' rating for EA's existing senior unsecured revolver. A full  list of ratings follows at the end of this release.  Proceeds from the offering are expected to be used for general corporate  purposes  including the payments of amounts due on EA's existing convertible ,topStory
ERIC,Ericsson,20160217,BRIEF-Ericsson  Telefonica sign MoU to develop 5G ,* Companies have signed a Memorandum of Understanding for the development of 5G technologies  products and services   Further company coverage:    (Reporting Stockholm Newsroom),topStory
ERIC,Ericsson,20160217,BRIEF-Ericsson wins 4G network order in India ,* Ericsson selected by Idea Cellular for 4G rollout and network transformation  Source text for Eikon:  Further company coverage:,normal
ESRX,Express Scripts Holding Company,20160217,BRIEF-Express Scripts says hopeful can reach contract agreement with Anthem ,* Tells analysts in conference call it is hopeful it can reach contract agreement with Anthem Inc   Source text for Eikon:  Further company coverage:    (Reporting by Ransdell Pierson),topStory
GLPG,Galapagos NV,20160217,BRIEF-Galapagos starts SAPHIRA Phase 2 study ,* Said on Tuesday starts SAPHIRA Phase 2 study with GLPG1837 in cystic fibrosis patients,topStory
GRMN,Garmin Ltd,20160217,Garmin beats on strong demand for fitness  aviation gadgets ,GPS-based gadget maker Garmin Ltd reported higher-than-expected quarterly revenue  helped by strong demand for navigational devices used in aircraft and fitness trackers.,topStory
GRMN,Garmin Ltd,20160217,UPDATE 3-Garmin beats on strong demand for fitness  aviation gadgets ,* Pro forma earnings 74 cents/shr vs est 48 cents/shr   (Adds CEO comments; updates shares),normal
GRMN,Garmin Ltd,20160217,Garmin revenue falls on lower demand for auto gadgets ,Feb 17 GPS-based devices maker Garmin Ltd  reported a 2.7 percent fall in quarterly revenue as lower demand for its products used in automobiles offset strong growth in its fitness and aviation businesses.,normal
