ACHC,Acadia Healthcare Company Inc,20160218,BRIEF-UK's CMA serves Acadia initial enforcement order over Priory deal ,* Served an initial enforcement order on Acadia Healthcare Co and its UK subsidiary in relation to completed acquisition of Priory Group No. 1 Ltd  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom: +91 806 749 1136),topStory
ALXN,Alexion Pharmaceuticals Inc,20160218,UK cost agency queries value of $700 000-a-year Alexion drug ,LONDON An enzyme treatment from Alexion Pharmaceuticals costing 491 992 pounds ($704 630) a year may be worth using in babies with a rare disorder but does not represent good value for all patients  Britain's healthcare cost watchdog said.,topStory
ALXN,Alexion Pharmaceuticals Inc,20160218,UPDATE 1-UK cost agency queries value of $700 000-a-year Alexion drug ,LONDON  Feb 18 An enzyme treatment from Alexion Pharmaceuticals costing 491 992 pounds ($704 630) a year may be worth using in babies with a rare disorder but does not represent good value for all patients  Britain's healthcare cost watchdog said.,normal
ALXN,Alexion Pharmaceuticals Inc,20160218,UK cost agency queries value of $700 000-a-year Alexion drug ,LONDON  Feb 18 An enzyme treatment from Alexion Pharmaceuticals costing 491 992 pounds ($704 630) a year may be worth using in babies with a rare disorder but does not represent good value for all patients  Britain's healthcare cost watchdog said.,normal
AMZN,Amazoncom Inc,20160218,Exclusive: Amazon expanding deliveries by its 'on-demand' drivers ,SAN FRANCISCO Amazon.com Inc  is quietly inviting drivers for its new "on-demand" delivery service to handle its standard packages  as the online retailer known for low prices and razor-thin profit margins looks to speed up delivery times and tamp down its growing multi-billion dollar logistics bill. | Video ,topStory
AMZN,Amazoncom Inc,20160218,Amazon.com to open new fulfillment center in UK ,LONDON Amazon.com said on Thursday it planned to open a new fulfillment center in Britain  creating 500 new jobs over three years  as the e-commerce company expands its European business.,normal
AMZN,Amazoncom Inc,20160218,Amazon.com to open new fulfillment centre in UK ,LONDON  Feb 18 Amazon.com said on Thursday it planned to open a new fulfillment centre in Britain  creating 500 new jobs over three years  as the e-commerce company expands its European business.,normal
AAPL,Apple Inc,20160218,Apple Pay takes on China's internet kings in mobile payments ,BEIJING Apple Inc launched its mobile payment system in China on Thursday in a bid to convince the hundreds of millions of users of the country's entrenched  dominant services to switch. | Video ,topStory
AAPL,Apple Inc,20160218,Republicans chide Apple over order on shooter's phone ,WASHINGTON Prominent Republicans criticized Apple Inc  on Wednesday for opposing a government request for help hacking into an iPhone belonging to one of the San Bernardino attackers  calling the issue tough but important to boosting national security. | Video ,normal
AAPL,Apple Inc,20160218,Apple CEO opposes court order to help FBI unlock iPhone ,Apple Inc  Chief Executive Tim Cook said his company opposed a demand from a U.S. judge to help the FBI break into an iPhone recovered from one of the San Bernardino shooters. | Video ,normal
AMAT,Applied Materials Inc,20160218,Applied Materials sees China demand boosting growth ,Applied Materials Inc   the world's largest supplier of tools used to make semiconductor chips  forecast higher-than-expected profit and revenue for the current quarter  helped by rising demand in China.,topStory
AMAT,Applied Materials Inc,20160218,UPDATE 2-Applied Materials sees China demand boosting growth ,Feb 18 Applied Materials Inc  the world's largest supplier of tools used to make semiconductor chips  forecast higher-than-expected profit and revenue for the current quarter  helped by rising demand in China.,normal
AMAT,Applied Materials Inc,20160218,CORRECTED-Applied Materials current-quarter forecast beats estimates ,Feb 18 Applied Materials Inc  the world's largest maker of machinery used to make semiconductor chips  forecast a higher-than-expected profit for the current quarter  sending its shares up 7.3 percent.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,By Jonathan Stempel Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20160218,Barclays to pay $50 million to end U.S. currency rigging lawsuit ,NEW YORK Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20160218,UPDATE 1-Barclays to pay $50 million to end US currency rigging lawsuit ,NEW YORK  Feb 18 Barclays Plc agreed to pay $50 million to settle a U.S. lawsuit claiming it rigged its foreign exchange trading system to reject client orders that would be unprofitable for the British bank.,normal
