AXAS,Abraxas Petroleum Corporation,20170120,BRIEF-Abraxas prices 25 mln share offering at $2.40 per share ,* Abraxas Petroleum announces pricing of upsized common stock offering,topStory
ANCX,Access National Corporation,20170120,BRIEF-Access National declares dividend  reports fourth quarter earnings ,* Access National declares dividend  reports fourth quarter earnings,topStory
ACXM,Acxiom Corporation,20170120,BRIEF-Acxiom files for potential stock shelf size not disclosed ,* Acxiom Corp - selling stockholders may may offer and resell shares of co's common stock from time to time  Source text: (http://bit.ly/2iJcJJx) Further company coverage:,topStory
AGEN,Agenus Inc,20170120,BRIEF-Agenus files for offering of up to 157 513 shares by selling stockholder ,* Files for offering of up to 157 513 shares of co's common stock by the selling stockholder - SEC filing  Source text: (http://bit.ly/2jIMpis) Further company coverage:,topStory
AFAM,Almost Family Inc,20170120,BRIEF-Almost Family announces pricing of upsized offering ,* Almost Family announces pricing of upsized offering of 3 000 000 shares of common stock,topStory
AMRN,Amarin Corporation plc,20170120,BRIEF-Amarin says debt restructuring and related private placement of exchangeable senior notes ,* Amarin announces debt restructuring and related private placement of exchangeable senior notes,topStory
AMZN,Amazoncom Inc,20170120,Amazon's Dash button goes online ,Amazon.com Inc has put its popular Dash button on its website and mobile app  making it easier for shoppers to buy their favorite items such as peanut butter  detergent and paper towels.,topStory
AMZN,Amazoncom Inc,20170120,Amazon's Dash button goes online ,Jan 20 Amazon.com Inc has put its popular Dash button on its website and mobile app  making it easier for shoppers to buy their favorite items such as peanut butter  detergent and paper towels.,normal
ABCB,Ameris Bancorp,20170120,BRIEF-Ameris Bancorp announces 2016 financial results ,* Q4 earnings per share view $0.51 -- Thomson Reuters I/B/E/S,topStory
ATLO,Ames National Corporation,20170120,BRIEF-Ames National qtrly earnings per share $0.43 ,* Q4 net interest income totaled $10.03 million an increase of $141 000  or 1%  compared to same quarter a year ago  Source text: [http://bit.ly/2jHXRKQ] Further company coverage:,topStory
AAPL,Apple Inc,20170120,Canada's Competition Bureau reaches deal with Apple  publishers ,OTTAWA Canada's business competition watchdog said on Friday it had reached an agreement with Apple Inc and three major e-book publishers that will allow retailers to offer discounts to customers.,topStory
AAPL,Apple Inc,20170120,Canada's Competition Bureau reaches deal with Apple  publishers ,OTTAWA  Jan 20 Canada's business competition watchdog said on Friday it had reached an agreement with Apple Inc and three major e-book publishers that will allow retailers to offer discounts to customers.,normal
AROW,Arrow Financial Corporation,20170120,BRIEF-ARROW REPORTS Q4 EARNINGS PER SHARE $0.49 ,* ARROW REPORTS RECORD NET INCOME FOR 2016  CONTINUED STRONG LOAN GROWTH,topStory
ARTNA,Artesian Resources Corporation,20170120,BRIEF-Artesian resources says co's unit and Cobank  ACB entered into bond purchase agreement ,* Artesian Resources Corp - on Jan 18  co's unit and CoBank  ACB entered into bond purchase agreement - SEC filing,topStory
ASML,ASML Holding NV,20170120,Fitch Affirms ASML at 'BBB+': Outlook Stable ,(The following statement was released by the rating agency) LONDON  January 20 (Fitch) Fitch Ratings has assigned Dutch technology company  ASML Holding N.V.'s (ASML) Long-Term Issuer Default Rating (IDR) at 'BBB+' with  Stable Outlook. It has also assigned a final rating of 'BBB+' to the group's  EUR750m senior notes due in 2027. A full list of rating actions is at the end of  this commentary. The ratings reflect ASML's market-leading position and technological expertise  in the manufacturing o,topStory
BANF,BancFirst Corporation,20170120,BRIEF-BancFirst files for potential stock shelf ,* BancFirst Corp files for potential stock shelf; size not disclosed - SEC filing  Source text: (http://bit.ly/2iK9S2Y) Further company coverage:,topStory
BOCH,Bank of Commerce Holdings (CA),20170120,BRIEF-BANK OF COMMERCE HOLDINGS QTRLY EARNINGS PER SHARE $0.17 ,* QTRLY NET INTEREST INCOME $9.4 MILLION VERSUS $8.4 MILLION  Source text for Eikon:  Further company coverage:,topStory
