AMZN,Amazoncom Inc,20171112,New kids on the block: tech giants turning Sydney's CBD into 'Silicon Place' ,SYDNEY  Nov 12 Global technology titans including Amazon.com Inc  LinkedIn and Expedia are moving into Sydney's central business district  providing a commercial property fillip just as Australia's record housing boom starts to tire.,normal
AVGO,Broadcom Limited,20171112,Reuters Business News Schedule at 2130 GMT/4:30 p.m. ET ,U.S. House will reject total elimination of state and local tax deductions -Brady,topStory
JD,JDcom Inc,20171112,China's JD.com  Alibaba rival  reports $19.1 billion in shopping event sales ,BEIJING JD.com  China's e-commerce behemoth  said on Sunday that sales for Singles' Day - and its run-up - reached 127.1 billion yuan ($19.14 billion)  up 50 percent from a year ago.,topStory
JD,JDcom Inc,20171112,China's JD.com  Alibaba rival  reports $19.1 billion in shopping event sales ,BEIJING  Nov 12 JD.com  China's e-commerce behemoth  said on Sunday that sales for Singles' Day - and its run-up - reached 127.1 billion yuan ($19.14 billion)  up 50 percent from a year ago.,normal
NVGN,Novogen Limited,20171112,BRIEF-Novogen ‍enters into deal to license & assign preclinical assets ,* ‍Entered into agreement to license & assign certain preclinical assets to Heaton-Brown Life Sciences​,topStory
NVGN,Novogen Limited,20171112,BRIEF-Novogen ‍enteres letter of intent with Cedrus Investments Ltd ,* ‍Entered into a letter of intent with Cedrus Investments Ltd for advisory services​ Source text for Eikon: Further company coverage:,normal
BABA,Alibaba Group Holding Limited,20171112,China's JD.com  Alibaba rival  reports $19.1 billion in shopping event sales ,BEIJING JD.com  China's e-commerce behemoth  said on Sunday that sales for Singles' Day - and its run-up - reached 127.1 billion yuan ($19.14 billion)  up 50 percent from a year ago.,topStory
BABA,Alibaba Group Holding Limited,20171112,China's JD.com  Alibaba rival  reports $19.1 billion in shopping event sales ,BEIJING  Nov 12 JD.com  China's e-commerce behemoth  said on Sunday that sales for Singles' Day - and its run-up - reached 127.1 billion yuan ($19.14 billion)  up 50 percent from a year ago.,normal
BA,Boeing Company (The),20171112,Boeing takes head start in Dubai with Emirates Dreamliner order ,DUBAI Emirates unveiled a preliminary order worth $15 billion for 40 Boeing  jets on Sunday  but kept Europe's Airbus  waiting for a lifeline order for A380 superjumbos as the Dubai Airshow opened amid worries over tensions in the Middle East.,topStory
BA,Boeing Company (The),20171112,Flydubai seeks bids for potential 175-jet order: sources ,DUBAI Budget carrier flydubai is in contact with Airbus  and Boeing  about a potential new order for up to 175 passenger jets  industry sources said on Sunday.,normal
BA,Boeing Company (The),20171112,UPDATE 2-AIRSHOW-Boeing takes head start in Dubai with Emirates Dreamliner order ,* Airbus still in talks on potential A380 deal (Recasts  adds details),normal
BA,Boeing Company (The),20171112,AIRSHOW-Flydubai seeks bids for potential 175-jet order -sources ,DUBAI  Nov 12 Budget carrier flydubai is in contact with Airbus and Boeing about a potential new order for up to 175 passenger jets  industry sources said on Sunday.,normal
BA,Boeing Company (The),20171112,UAE  Solvay to produce carbon fibers for Boeing's 777X ,DUBAI Strata  the manufacturing arm of Abu Dhabi's state-owned Mubadala Aerospace  and Belgian chemicals group Solvay  said on Sunday they had entered into a joint venture to supply Boeing  with advanced composite materials.,normal
BA,Boeing Company (The),20171112,AIRSHOW-UAE  Solvay to produce carbon fibres for Boeing's 777X ,DUBAI  Nov 12 Strata  the manufacturing arm of Abu Dhabi's state-owned Mubadala Aerospace  and Belgian chemicals group Solvay said on Sunday they had entered into a joint venture to supply Boeing with advanced composite materials.,normal
BA,Boeing Company (The),20171112,Azerbaijan Airlines orders five Boeing 787 Dreamliners ,DUBAI Azerbaijan Airlines President Jahangir Askerov announced an order for five Boeing 787-8 Dreamliner jets at the Dubai Airshow on Sunday.,normal
