AAL,American Airlines Group Inc,20171202,Barea sparks Mavericks to win over Clippers ,DALLAS -- J. J. Barea came off the bench to spark a second-quarter rally to help lead the Dallas Mavericks to an easy 108-82 victory over the Los Angeles Clippers on Saturday afternoon at American Airlines Center.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20171202,UPDATE 2-UK cyber agency targets Kaspersky in warning on Russian software ,Dec 1 Britain's main cyber security agency on Friday warned British government agencies to avoid using anti-virus software from Russian companies  the latest in a series of moves targeting Moscow-based security software maker Kaspersky Lab.,topStory
BCS,Barclays PLC,20171202,UPDATE 2-UK cyber agency targets Kaspersky in warning on Russian software ,Dec 1 Britain's main cyber security agency on Friday warned British government agencies to avoid using anti-virus software from Russian companies  the latest in a series of moves targeting Moscow-based security software maker Kaspersky Lab.,topStory
BRFS,BRF SA,20171202,UPDATE 1-Brazil's "chicken catchers" are victims of forced labour - report ,RIO DE JANEIRO  Nov 30 (Thomson Reuters Foundation) - T housands of people are victims of forced labour and inhumane work conditions in Brazil's booming meat and poultry industries  with some forced to work 20-hour days  researchers said on Thursday.,topStory
XOM,Exxon Mobil Corporation,20171202,Contract worker dies in accident at Exxon's Beaumont refinery ,A female contract worker was fatally injured on Friday while working on a construction project at ExxonMobil Corp's refinery in Beaumont  Texas  a company spokeswoman said.,topStory
FCAU,Fiat Chrysler Automobiles NV,20171202,Fiat Chrysler CEO says in talks with Hyundai on tech partnership ,ARESE  Italy Fiat Chrysler Automobiles   is in talks with South Korea's Hyundai  about a technical partnership  but there are no merger talks between the two  FCA Chief Executive Sergio Marchionne said on Saturday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20171202,Fiat Chrysler CEO says in talks with Hyundai on tech partnership ,* Magneti Marelli  Comau separation from FCA two separate deals,normal
FCAU,Fiat Chrysler Automobiles NV,20171202,BRIEF-Fiat Chrysler CEO sees "manageable" cost to settle U.S. diesel emissions case ,Dec 2 Fiat Chrysler Automobiles Chief Executive Sergio Marchionne says:,normal
FCAU,Fiat Chrysler Automobiles NV,20171202,BRIEF-Fiat Chrsyler in partnership talks with Hyundai  not merger-CEO ,Dec 2 Fiat Chrysler Automobiles Nv CEO Sergio Marchionne:,normal
FCAU,Fiat Chrysler Automobiles NV,20171202,BRIEF-Fiat Chrysler plans separate spin-offs for Magneti Marelli  Comau-CEO ,Dec 2 Fiat Chrysler Automobiles Nv CEO Sergio Marchionne says:,normal
FCAU,Fiat Chrysler Automobiles NV,20171202,BRIEF-Fiat Chrysler mulls Alfa Romeo  Maserati spin-off but only in "many years from now"-CEO ,Dec 2 Fiat Chrysler Automobiles Nv CEO Sergio Marchionne says :,normal
INFY,Infosys Limited,20171202,India's Infosys taps Capgemini executive Parekh as CEO ,MUMBAI Infosys  India's No.2 IT services company  named Salil S Parekh as chief executive on Saturday  picking an outsider for the job for a second time and handing him the twin challenges of reviving growth and forging peace between its founders and board following a public spat.,topStory
INFY,Infosys Limited,20171202,UPDATE 2-India's Infosys taps Capgemini exec Parekh as CEO ,* Parekh has track record in business turnarounds (Updates to add details on Parekh  quotes  background),normal
INFY,Infosys Limited,20171202,India's Infosys names outsider Parekh as chief executive - statement ,MUMBAI  Dec 2 Infosys  India's No.2 IT services company  said on Saturday it had named Salil S Parekh  an executive at consultancy firm Capgemini  as its next chief executive officer and managing director.,normal
TMST,Timken Steel Corporation,20171202,BRIEF-‍United Steelworkers ratify four-year contract with TimkenSteel​ ,* ‍UNITED STEELWORKERS RATIFY FOUR-YEAR CONTRACT WITH TIMKENSTEEL​ Source text for Eikon: Further company coverage:,topStory
