BNTC,Benitec Biopharma Limited,20180114,BRIEF-Benitec Biopharma ‍Says U.S. FDA Granted Orphan Drug Designation To BB-301​ ,* ‍U.S. FDA HAS GRANTED ORPHAN DRUG DESIGNATION TO BB-301 FOR TREATMENT OF OCULOPHARYNGEAL MUSCULAR DYSTROPHY(OPMD)​ Source text for Eikon: Further company coverage:,topStory
EC,Ecopetrol SA,20180114,Pumping on Colombia's Transandino pipeline halted after bomb attack ,BOGOTA Pumping on Colombia's southern Transandino pipeline was halted on Sunday after a bomb attack by the ELN rebels spilled crude into a river  state-run oil company Ecopetrol and the military said.,topStory
EC,Ecopetrol SA,20180114,Pumping on Colombia's Transandino pipeline halted after bomb attack ,BOGOTA  Jan 14 Pumping on Colombia's southern Transandino pipeline was halted on Sunday after a bomb attack by the ELN rebels spilled crude into a river  state-run oil company Ecopetrol and the military said.,normal
F,Ford Motor Company,20180114,Ford unveils future Ranger pickup for segment rivals dominate ,DETROIT Ford Motor Co  on Sunday will officially take the wraps off its long-awaited Ranger midsize pickup truck  a year ahead of its arrival in showrooms  as rivals consolidate positions in a segment Detroit automakers once gave up for dead.,topStory
F,Ford Motor Company,20180114,Ford to increase electric vehicle investment to $11 billion - executive ,Jan 14 Ford Motor Co will increase to $11 billion its investments in electric vehicles  Jim Farley  the company's head of global markets  said on Sunday at the Detroit auto show.,normal
F,Ford Motor Company,20180114,Ford unveils future Ranger pickup for segment rivals dominate ,DETROIT  Jan 14 Ford Motor Co on Sunday will officially take the wraps off its long-awaited Ranger midsize pickup truck  a year ahead of its arrival in showrooms  as rivals consolidate positions in a segment Detroit automakers once gave up for dead.,normal
GM,General Motors Company,20180114,GM executives defend NAFTA  Mexican truck plant ,DETROIT General Motors Co  Chief Executive Mary Barra expressed optimism on Saturday that the North American Free Trade Agreement would survive  and other senior GM executives stood by the company's plans to continue building trucks in Mexico.,topStory
GM,General Motors Company,20180114,GM's new Chevy Silverado bids for more U.S. pickup profits ,DETROIT General Motors Co on Saturday fired a new round in the battle for profits from one of the U.S. auto industry's most lucrative segments when it showed a new generation of its Chevrolet Silverado pickup truck at Detroit's auto show.,normal
GM,General Motors Company,20180114,GM executives defend NAFTA  Mexican truck plant ,DETROIT  Jan 13 General Motors Co Chief Executive Mary Barra expressed optimism on Saturday that the North American Free Trade Agreement would survive  and other senior GM executives stood by the company's plans to continue building trucks in Mexico.,normal
GM,General Motors Company,20180114,UPDATE 1-GM's new Chevy Silverado bids for more U.S. pickup profits ,DETROIT  Jan 13 General Motors Co on Saturday fired a new round in the battle for profits from one of the U.S. auto industry's most lucrative segments when it showed a new generation of its Chevrolet Silverado pickup truck at Detroit's auto show.,normal
NYT,New York Times Company (The),20180114,Male models say top fashion photographers harassed them -NYT ,NEW YORK  Jan 14 Male models and assistants who worked with high-powered fashion photographers Bruce Weber and Mario Testino say they were subjected by them to molestation  sexual advances and unnecessary nudity  The New York Times reported on Saturday.,topStory
PHI,PLDT Inc,20180114,Philippines to prevent sellout by third telco operator to PLDT  Globe ,MANILA The Philippines will prevent a third telecoms operator set to be named by March from selling out to both PLDT Inc and Globe Telecom Inc to ensure the industry will not return to duopoly  a minister said on Sunday.,topStory
PHI,PLDT Inc,20180114,Philippines to prevent sellout by 3rd telco operator to PLDT  Globe ,MANILA  Jan 14 The Philippines will prevent a third telecoms operator set to be named by March from selling out to both PLDT Inc and Globe Telecom Inc to ensure the industry will not return to duopoly  a minister said on Sunday.,normal
DIS,Walt Disney Company (The),20180114,Box Office: 'Jumanji' Dominates MLK Weekend  'The Post' Leads Newcomers ,LOS ANGELES  Jan 14 (Variety.com) - Sony's "Jumanji: Welcome to the Jungle" is dominating the North American box office to easily win the four-day Martin Luther King Jr. weekend with about $33.4 million at 3 849 sites  estimates showed Sunday.,normal
NTIP,Network-1 Technologies Inc,20180114,BRIEF-Global Top E-Commerce To Buy Remaining Stake In Network Technology Firm ,* SAYS IT SIGNS AGREEMENT TO BUY 10 PERCENT STAKE IN NETWORK TECHNOLOGY FIRM FOR 270 MILLION YUAN  ($41.79 million),topStory
