BCOM,B Communications Ltd,20180429,Israel's Bezeq Telecom controlling shareholder loses board control ,JERUSALEM  April 29 Shareholders in Bezeq Israel Telecom as expected voted for a new board of directors that removed the controlling shareholder's majority and paved the way for an overhaul of Israel's largest telecoms group.,normal
BIDU,Baidu Inc,20180429,BRIEF-Baidu Enters Definitive Agreements To Divest Financial Services Business ,* BAIDU ENTERS INTO DEFINITIVE AGREEMENTS TO DIVEST ITS FINANCIAL SERVICES BUSINESS,topStory
CG,The Carlyle Group LP,20180429,BRIEF-Baidu Enters Definitive Agreements To Divest Financial Services Business ,* BAIDU ENTERS INTO DEFINITIVE AGREEMENTS TO DIVEST ITS FINANCIAL SERVICES BUSINESS,topStory
TCGP,The Carlyle Group LP,20180429,BRIEF-Baidu Enters Definitive Agreements To Divest Financial Services Business ,* BAIDU ENTERS INTO DEFINITIVE AGREEMENTS TO DIVEST ITS FINANCIAL SERVICES BUSINESS,topStory
TMUS,T-Mobile US Inc,20180429,Breakingviews - T-Mobile and Sprint pitch America First 5G deal ,NEW YORK (Reuters Breakingviews) - T-Mobile US and Sprint are pitching an America First 5G deal. The mobile operators agreed on Sunday to merge to create a more powerful competitor to market leaders Verizon and AT&T. Antitrust concerns stymied earlier talks  but T-Mobile US Chief Executive John Legere said the deal would create rural jobs and keep the country ahead of China in the 5G race. That’s likely to appeal to President Donald Trump’s regulators.,topStory
TMUS,T-Mobile US Inc,20180429,UPDATE 6-T-Mobile  Sprint say $26 bln deal would give U.S. tech lead over China ,April 29 T-Mobile US Inc and Sprint Corp said on Sunday they had agreed to a $26 billion all-stock deal and believed they could win over skeptical regulators because the merger would create thousands of jobs and help the United States beat China to creating the next generation mobile network.,normal
TMUS,T-Mobile US Inc,20180429,Deutsche Telekom leverage to increase on T-Mobile-Sprint deal ,FRANKFURT Deutsche Telekom  said its leverage would increase beyond its target corridor as a result of the takeover by its unit T-Mobile US  of Sprint Corp   but will return to the comfort zone in 2021.,normal
TMUS,T-Mobile US Inc,20180429,Deutsche Telekom leverage to increase on T-Mobile-Sprint deal ,FRANKFURT  April 29 Deutsche Telekom said its leverage would increase beyond its target corridor as a result of the takeover by its unit T-Mobile US of Sprint Corp  but will return to the comfort zone in 2021.,normal
TMUS,T-Mobile US Inc,20180429,T-Mobile agrees to acquire Sprint ,April 29 T-Mobile US Inc agreed on Sunday to acquire peer Sprint Corp  in an all-stock deal that will combine the third and fourth largest U.S. wireless carriers and is expected to attract regulatory scrutiny over its impact on consumers.,normal
VOD,Vodafone Group Plc,20180429,German regulator may require cable operators to open networks to third parties - FAZ ,FRANKFURT Germany's regulator is considering requiring cable TV operators to provide network access to third parties  in a shift that could affect talks on a European merger between Vodafone and Liberty Global.,topStory
VOD,Vodafone Group Plc,20180429,German regulator may require cable operators to open networks to 3rd parties - FAZ ,FRANKFURT  April 29 Germany's regulator is considering requiring cable TV operators to provide network access to third parties  in a shift that could affect talks on a European merger between Vodafone and Liberty Global .,normal
WYNN,Wynn Resorts Limited,20180429,Ex-Wynn Resorts CEO files defamation lawsuit against former employee - WSJ ,Steve Wynn  who resigned in February as chief executive of Wynn Resorts Ltd  following allegations of sexual misconduct  has filed a defamation lawsuit against a former employee of the casino company  the Wall Street Journal reported on Saturday.,topStory
WYNN,Wynn Resorts Limited,20180429,Ex-Wynn Resorts CEO files defamation lawsuit against former employee-WSJ ,April 28 Steve Wynn  who resigned in February as chief executive of Wynn Resorts Ltd following allegations of sexual misconduct  has filed a defamation lawsuit against a former employee of the casino company  the Wall Street Journal reported on Saturday.,normal
DCT,DCT Industrial Trust Inc,20180429,Logistics leader Prologis to acquire DCT Industrial for $8.4 billion ,NEW YORK Prologis Inc    a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc  in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,topStory
DCT,DCT Industrial Trust Inc,20180429,UPDATE 1-Logistics leader Prologis to acquire DCT Industrial for $8.4 bln ,NEW YORK  April 29 Prologis Inc   a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,normal
DCT,DCT Industrial Trust Inc,20180429,Logistics leader Prologis to acquire DCT Industrial for $8.4 bln ,NEW YORK  April 29 Prologis Inc   a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,normal
DCT,DCT Industrial Trust Inc,20180429,BRIEF-Prologis to acquire DCT Industrial Trust for $8.4 bln ,* PROLOGIS WILL ACQUIRE DCT FOR $8.4 BILLION IN A STOCK-FOR-STOCK TRANSACTION  INCLUDING ASSUMPTION OF DEBT,normal
PLD,Prologis Inc,20180429,Logistics leader Prologis to acquire DCT Industrial for $8.4 billion ,NEW YORK Prologis Inc    a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc  in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,topStory
PLD,Prologis Inc,20180429,UPDATE 1-Logistics leader Prologis to acquire DCT Industrial for $8.4 bln ,NEW YORK  April 29 Prologis Inc   a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,normal
PLD,Prologis Inc,20180429,Logistics leader Prologis to acquire DCT Industrial for $8.4 bln ,NEW YORK  April 29 Prologis Inc   a logistics company with a global footprint  will acquire smaller U.S. rival DCT Industrial Trust Inc in an $8.4 billion all-stock transaction  including the assumption of debt  the two companies said on Sunday.,normal
PLD,Prologis Inc,20180429,BRIEF-Prologis to acquire DCT Industrial Trust for $8.4 bln ,* PROLOGIS WILL ACQUIRE DCT FOR $8.4 BILLION IN A STOCK-FOR-STOCK TRANSACTION  INCLUDING ASSUMPTION OF DEBT,normal
S,Sprint Corporation,20180429,Breakingviews - T-Mobile and Sprint pitch America First 5G deal ,NEW YORK (Reuters Breakingviews) - T-Mobile US and Sprint are pitching an America First 5G deal. The mobile operators agreed on Sunday to merge to create a more powerful competitor to market leaders Verizon and AT&T. Antitrust concerns stymied earlier talks  but T-Mobile US Chief Executive John Legere said the deal would create rural jobs and keep the country ahead of China in the 5G race. That’s likely to appeal to President Donald Trump’s regulators.,topStory
