ACRX,AcelRx Pharmaceuticals Inc,20180524,BRIEF-AcelRx Announces FDA Acceptance Of NDA For Dsuvia ,* ACELRX PHARMACEUTICALS INC - DSUVIA PDUFA DATE SET FOR NOVEMBER 3  2018,topStory,Strong Buy
AMD,Advanced Micro Devices Inc,20180524,BRIEF-BioTime Further Expands Opregen Clinical Trial In Dry-AMD With The Opening Of Two Additional U.S. Sites ,* BIOTIME FURTHER EXPANDS OPREGEN® CLINICAL TRIAL IN DRY-AMD WITH THE OPENING OF TWO ADDITIONAL U.S. SITES,topStory,Unknown
AGNC,AGNC Investment Corp,20180524,BRIEF-Agnc Investment Corp. Announces Pricing Of Public Offering Of Common Stock ,* AGNC INVESTMENT CORP. ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK,topStory,Sell
AGNCB,AGNC Investment Corp,20180524,BRIEF-Agnc Investment Corp. Announces Pricing Of Public Offering Of Common Stock ,* AGNC INVESTMENT CORP. ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK,topStory,Sell
AGNCN,AGNC Investment Corp,20180524,BRIEF-Agnc Investment Corp. Announces Pricing Of Public Offering Of Common Stock ,* AGNC INVESTMENT CORP. ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK,topStory,Sell
ALKS,Alkermes plc,20180524,UPDATE 2-Recro Pharma shares plummet after FDA rejects non-opioid pain shot ,* FDA says drug's pain-relieving effect did not meet expectations,normal,Strong Buy
AMZN,Amazoncom Inc,20180524,French Q1 online retail sales rose 13 percent ,* Survey showed nearly 47 pct of web users had bought food online,topStory,Unknown
AMZN,Amazoncom Inc,20180524,UPDATE 1-Stock market value of Netflix eclipses Disney for first time ,SAN FRANCISCO  May 24 Netflix's stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co for the first time  making it the world's most valuable entertainment company  following a monumental shift by viewers away from cinemas and cable television.,normal,Unknown
AMZN,Amazoncom Inc,20180524,Netflix's stock market value eclipses Disney's for first time ,SAN FRANCISCO  May 24 Netflix's stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co for the first time  making it the world's top entertainment company and underscoring a monumental shift by viewers away from cinemas and cable television.,normal,Unknown
AAPL,Apple Inc,20180524,U.S. jury awards Apple $539 million in Samsung patent retrial: CNET ,After nearly five days of deliberations  a U.S. jury on Thursday said Samsung Electronics Co Ltd should pay $539 million Apple Inc for copying patented smartphone features  technology publication CNET reported  bringing a years-long feud between the technology companies into its final stages.,topStory,Unknown
AAPL,Apple Inc,20180524,UPDATE 1-U.S. jury awards Apple $539 mln in Samsung patent retrial -CNET ,May 24 After nearly five days of deliberations  a U.S. jury on Thursday said Samsung Electronics Co Ltd should pay $539 million Apple Inc for copying patented smartphone features  technology publication CNET reported  bringing a years-long feud between the technology companies into its final stages.,normal,Unknown
AAPL,Apple Inc,20180524,Stock market value of Netflix eclipses Disney for first time ,SAN FRANCISCO Netflix's  stock market value ballooned to a record $153 billion on Thursday and eclipsed Walt Disney Co  for the first time  making it the world's most valuable entertainment company  following a monumental shift by viewers away from cinemas and cable television.,normal,Unknown
ADSK,Autodesk Inc,20180524,Autodesk forecasts second-quarter profit below estimates ,Autodesk Inc  forecast second-quarter profit on Thursday below Wall Street expectations  sending the AutoCAD software maker's shares down nearly 4 percent in extended trading.,topStory,Unknown
ADSK,Autodesk Inc,20180524,UPDATE 1-Autodesk forecasts second-quarter profit below estimates ,May 24 Autodesk Inc forecast second-quarter profit on Thursday below Wall Street expectations  sending the AutoCAD software maker's shares down nearly 4 percent in extended trading.,normal,Unknown
ADSK,Autodesk Inc,20180524,Autodesk reports 15.3 pct rise in quarterly revenue ,May 24 Autodesk Inc reported a 15.3 percent rise in quarterly revenue on Thursday  as the AutoCAD software maker signed up more subscribers.,normal,Unknown
TAPR,Barclays Inverse US Treasury Composite ETN,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DLBL,Barclays PLC,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
DTYL,Barclays PLC,20180524,UK Stocks-Factors to watch on May 24 ,    May 24 Britain's FTSE 100 index is seen opening 5 points lower at 7 784 on Thursday  according to financial bookmakers.          * BRITISH INFLATION: British inflation fell unexpectedly in April  according to data that prompted fresh questions about when the Bank of England would next raise interest rates and pushed sterling to its lowest level against the dollar this year.     * BARCLAYS: Barclays Plc is not actively exploring a potential merger with rivals  two sources close to,normal,Unknown
CMCSA,Comcast Corporation,20180524,Breakingviews - How Comcast can boost its chances of snaring Fox ,NEW YORK (Reuters Breakingviews) - Comcast can boost its chances of snaring Fox. The cable company is preparing to scuttle Walt Disney’s $52.4 billion bid for some of Rupert Murdoch’s media assets  and a major Fox shareholder is receptive to the idea. But Comcast Chief Executive Brian Roberts may want to offer more than just the best price to get a hearing.,topStory,Unknown
CMCSA,Comcast Corporation,20180524,EU mergers and takeovers (May 24) ,BRUSSELS  May 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal,Unknown
COWN,Cowen Inc,20180524,BRIEF-Cowen Inc Says Co May Offer  Sell Debt Securities In One Or More Series And In Amounts  At Prices And On Terms That Co Will Determine At Time Of Offering ,* COWEN INC- CO MAY OFFER  SELL DEBT SECURITIES IN ONE OR MORE SERIES AND IN AMOUNTS  AT PRICES AND ON TERMS THAT CO WILL DETERMINE AT TIME OF OFFERING,topStory,Unknown
FB,Facebook Inc,20180524,Facebook launches searchable archive of U.S. political ads ,SAN FRANCISCO Facebook Inc  on Thursday launched an archive of U.S. political ads that appear on the world's largest social network  showing who paid for them and other details  after an outcry over Russians' alleged purchase of such ads during the 2016 elections.,topStory,Sell
FB,Facebook Inc,20180524,Russia to carry out checks on Facebook  Whatsapp: TASS ,MOSCOW Russian state telecommunications watchdog Roskomnadzor will check by December whether Facebook and possibly Whatsapp are complying with Russian laws  TASS news agency reported on Thursday  citing the head of the watchdog.,normal,Unknown
GNBC,Green Bancorp Inc,20180524,BRIEF-Green Bancorp Announces Pricing Of Secondary Public Offering ,* GREEN BANCORP  INC. ANNOUNCES PRICING OF SECONDARY PUBLIC OFFERING OF COMMON STOCK,topStory,Unknown
INGN,Inogen Inc,20180524,Inogen's shares drop on short seller Citron's tweet ,Shares of Inogen Inc fell nearly 7 percent on Thursday after short seller Citron Research called the oxygen supply device maker the most expensive name in medical technology with no pipeline.,topStory,Strong Buy
INTL,INTL FCStone Inc,20180524,MOVES-INTL FCStone's Gwozdz latest metals trader to join ED&F ,BEIJING  May 24 INTL FCStone's head of sales for the Americas  Keith Gwozdz  has joined ED&F Man Capital Markets as vice president of metals  according to his LinkedIn profile  the latest senior executive to leave the U.S. broker's base metals trading team.,topStory,Unknown
