ACIA,Acacia Communications Inc,20180607,UPDATE 4-Chinese phone maker ZTE saved from brink after deal with U.S. ,June 7 China’s No. 2 telecommunications equipment maker ZTE secured a lifeline from the Trump administration on Thursday after agreeing to pay a $1 billion fine and overhaul leadership in a deal that will lift a ban on its doing business with U.S. suppliers.,normal,Sell
GOOG,Alphabet Inc,20180607,Google bars uses of its artificial intelligence tech in weapons ,SAN FRANCISCO  June 7 Google will not allow its artificial intelligence software to be used in weapons or unreasonable surveillance efforts  the Alphabet Inc unit said Thursday in standards for its business decisions in the nascent field.,topStory,Unknown
GOOG,Alphabet Inc,20180607,U.S. senator questions Alphabet  Twitter on Huawei relationship ,WASHINGTON  June 7 A U.S. senator on Thursday is seeking responses from Google parent Alphabet Inc and Twitter Inc on whether the U.S. companies have any data sharing agreements with Chinese vendors  following a disclosure from Facebook Inc this week.,normal,Unknown
GOOG,Alphabet Inc,20180607,Alphabet's Waymo hopes to bring robo-taxi service to Europe ,TURIN  Italy Alphabet Inc's self-driving unit Waymo wants to bring its robo-taxi service to Europe after it launches in the United States later this year.,normal,Unknown
GOOG,Alphabet Inc,20180607,Alphabet's Waymo hopes to bring robo-taxi service to Europe ,TURIN  Italy  June 7 Alphabet Inc's self-driving unit Waymo wants to bring its robo-taxi service to Europe after it launches in the United States later this year.,normal,Unknown
GOOG,Alphabet Inc,20180607,Norway's wealth fund backs content controversy motion at Alphabet ,OSLO  June 7 Norway's $1 trillion wealth fund backed activist shareholders' attempt to force Google parent Alphabet Inc to report openly on global content controversies  voting records showed on Thursday.,normal,Unknown
GOOGL,Alphabet Inc,20180607,Google bars uses of its artificial intelligence tech in weapons ,SAN FRANCISCO  June 7 Google will not allow its artificial intelligence software to be used in weapons or unreasonable surveillance efforts  the Alphabet Inc unit said Thursday in standards for its business decisions in the nascent field.,repeated,Unknown
GOOGL,Alphabet Inc,20180607,U.S. senator questions Alphabet  Twitter on Huawei relationship ,WASHINGTON  June 7 A U.S. senator on Thursday is seeking responses from Google parent Alphabet Inc and Twitter Inc on whether the U.S. companies have any data sharing agreements with Chinese vendors  following a disclosure from Facebook Inc this week.,normal,Unknown
GOOGL,Alphabet Inc,20180607,Alphabet's Waymo hopes to bring robo-taxi service to Europe ,TURIN  Italy Alphabet Inc's self-driving unit Waymo wants to bring its robo-taxi service to Europe after it launches in the United States later this year.,normal,Unknown
GOOGL,Alphabet Inc,20180607,Alphabet's Waymo hopes to bring robo-taxi service to Europe ,TURIN  Italy  June 7 Alphabet Inc's self-driving unit Waymo wants to bring its robo-taxi service to Europe after it launches in the United States later this year.,normal,Unknown
GOOGL,Alphabet Inc,20180607,Norway's wealth fund backs content controversy motion at Alphabet ,OSLO  June 7 Norway's $1 trillion wealth fund backed activist shareholders' attempt to force Google parent Alphabet Inc to report openly on global content controversies  voting records showed on Thursday.,normal,Unknown
AMZN,Amazoncom Inc,20180607,Walmart sues to bar former tax executive from joining Amazon ,WILMINGTON  Del. Walmart Inc  has asked a court to block a former top tax executive from joining Amazon.com Inc   saying the move would violate a non-compete agreement and irreparably harm Walmart by potentially tipping off its rival to strategic plans including potential merger targets.,topStory,Sell
AMZN,Amazoncom Inc,20180607,UPDATE 1-Walmart sues to bar former tax exec from joining Amazon ,WILMINGTON  Del.  June 7 Walmart Inc has asked a court to block a former top tax executive from joining Amazon.com Inc  saying the move would violate a non-compete agreement and irreparably harm Walmart by potentially tipping off its rival to strategic plans including potential merger targets.,normal,Sell
AMZN,Amazoncom Inc,20180607,Some fund managers are avoiding Amazon as it leads U.S. market ,NEW YORK For most U.S. fund managers  beating the market this year has come down to one decision: whether or not to own shares of Amazon.com Inc . | Video ,normal,Unknown
AMZN,Amazoncom Inc,20180607,Some fund managers are avoiding Amazon as it leads U.S. market ,NEW YORK  June 7 For most U.S. fund managers  beating the market this year has come down to one decision: whether or not to own shares of Amazon.com Inc.,normal,Unknown
AMZN,Amazoncom Inc,20180607,Walmart sues to bar former tax exec from joining Amazon ,WILMINGTON  Del  June 7 Walmart Inc has asked a court to block a former top tax executive from joining Amazon.com Inc  saying the move would violate a non-compete agreement and "irreparably harm" Walmart's business by potentially tipping off its rival to strategic plans including potential merger targets.,normal,Sell
AMZN,Amazoncom Inc,20180607,Berkshire-Amazon-JPMorgan healthcare CEO to be named soon -CNBC ,NEW YORK  June 7 A chief executive for the healthcare venture being set up by Berkshire Hathaway Inc   Amazon.com Inc and JPMorgan Chase & Co. is likely to be named within the next two weeks  billionaire investor Warren Buffett said in an interview aired Thursday on CNBC.,normal,Unknown
AFSI,AmTrust Financial Services Inc,20180607,AmTrust agrees to sweetened $2.95 billion buyout offer ,U.S. insurer AmTrust Financial Services Inc  on Thursday agreed to be acquired by a group of investors for a sweetened $2.95 billion deal that also helped secure the support of dissenting shareholder Carl Icahn.,topStory,Unknown
AFSI,AmTrust Financial Services Inc,20180607,UPDATE 2-AmTrust agrees to sweetened $2.95 bln buyout offer ,* AmTrust shares up 2.7 pct (Adds statement from Arca Capital  updates shares),normal,Unknown
AFSI,AmTrust Financial Services Inc,20180607,Deals of the day-Mergers and acquisitions ,June 7 The following bids  mergers  acquisitions and disposals were reported by 1200 GMT on Thursday: ** Japan's Fujifilm Holdings Corp said it may have no choice but to abandon a $6.1 billion merger with Xerox Corp if there is no progress in talks with the U.S. firm's new board for about half a year. ** U.S. insurer AmTrust Financial Services Inc agreed to be acquired by a group of investors for a sweetened deal value of $2.95 billion  that helped secure the support of dissenting sh,normal,Unknown
AFSI,AmTrust Financial Services Inc,20180607,Evergreen Parent raises AmTrust buy-out deal value to $2.95 bln ,June 7 U.S. insurer AmTrust Financial Services Inc agreed to be bought by a group of investors for $2.95 billion  up from an earlier offer of $2.7 billion.,normal,Unknown
ESRX,Express Scripts Holding Company,20180607,US high-grade merger lending hits half-year record ,NEW YORK  June 7 (LPC) - Lending to blue chip US companies for mergers and acquisitions (M&A) has hit a record half year total of US$129bn  as banks continue to extend financing while pulling in record fee income for arranging the loans.,normal,Unknown
LITE,Lumentum Holdings Inc,20180607,Lumentum's CFO Aaron Tachibana resigns ,Optical component maker Lumentum Holdings Inc said on Thursday Chief Financial Officer Aaron Tachibana had resigned after three years in the role.,topStory,Unknown
LITE,Lumentum Holdings Inc,20180607,UPDATE 1-Lumentum's CFO Aaron Tachibana resigns ,June 7 Optical component maker Lumentum Holdings Inc said on Thursday Chief Financial Officer Aaron Tachibana had resigned after three years in the role.,normal,Unknown
LITE,Lumentum Holdings Inc,20180607,Lumentum Holdings CFO resigns ,June 7 Optical component maker Lumentum Holdings Inc said on Thursday Chief Financial Officer Aaron Tachibana had resigned  effective immediately.,normal,Unknown
MDXG,MiMedx Group Inc,20180607,MiMedx to restate financial statements  replaces CFO ,Biotech firm MiMedx Group Inc  replaced its chief financial officer on Thursday and said it would restate at least five years of financial statements following an internal investigation into sales and distribution practices  sending shares down as much as 30 percent.,topStory,Unknown
MDXG,MiMedx Group Inc,20180607,UPDATE 3-MiMedx to restate financial statements  replaces CFO ,* Co restates statements from fiscal 2012-2016  3 quarters in 2017,normal,Strong Buy
MDXG,MiMedx Group Inc,20180607,MiMedx to restate financial statements  appoints interim CFO ,June 7 Biotech MiMedx Group Inc said on Thursday it plans to restate certain financial statements and appointed Edward Borkowski as its interim chief financial officer.,normal,Unknown
NXPI,NXP Semiconductors NV,20180607,Qualcomm CEO hopes ZTE deal will clear acquisition of NXP in China ,Qualcomm Inc CEO Steven Mollenkopf said on Thursday he hoped an announced agreement between the United States and China on the future of ZTE Corp will pave the way for China clearing Qualcomm's acquisition of NXP Semiconductors NV.,topStory,Unknown
