AMZN,Amazoncom Inc,20180615,Exclusive: Amazon to tap Brazil beauty obsession with cosmetics partners ,SAO PAULO Amazon.com Inc is recruiting major Brazilian cosmetics firms Grupo Boticario and Natura Cosmeticos SA to sell via the logistics platform it is developing in Brazil  three people familiar with talks told Reuters  making an early play for the world's fourth-largest beauty market. | Video ,topStory,Unknown
AMGN,Amgen Inc,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases.,topStory,Unknown
AMGN,Amgen Inc,20180615,Novartis touts effectiveness  safety of autoimmune drug copies ,ZURICH  June 15 Novartis on Friday touted safety and efficacy of its biosimilar copies of Johnson & Johnson's Remicade and Amgen Inc's Enbrel  citing a study it hopes will help convince doctors that switching from the original medicines is a viable alternative for treating autoimmune diseases. The Swiss drugmaker said Zessly  its Remicade biosimilar  matched the original medicine for safety and efficacy at 54 weeks  including in patients who switched from the original. Switching from,normal,Unknown
AAPL,Apple Inc,20180615,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc  infringed at least one of Qualcomm Inc's  patents  a move that could lead to blocking the import of some iPhones.,topStory,Unknown
AAPL,Apple Inc,20180615,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,June 15 The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc infringed at least one of Qualcomm Inc's patents  a move that could lead to blocking the import of some iPhones.,normal,Unknown
AAPL,Apple Inc,20180615,Apple nabs Oprah as top talent flocks to digital entertainment ,LOS ANGELES Apple Inc on Friday announced a multi-year deal with Oprah Winfrey to create original programing  a coup in the battle for A-list talent and projects in the booming digital entertainment market. | Video ,normal,Unknown
AAPL,Apple Inc,20180615,Apple poaches senior self-driving engineer from Waymo ,Apple Inc has hired a senior self-driving car engineer from Alphabet Inc's Waymo unit  Apple said on Friday  a sign that the iPhone maker maintains autonomous vehicle ambitions.,normal,Unknown
AAPL,Apple Inc,20180615,UPDATE 1-Apple poaches senior self-driving engineer from Waymo ,June 15 Apple Inc has hired a senior self-driving car engineer from Alphabet Inc's Waymo unit  Apple said on Friday  a sign that the iPhone maker maintains autonomous vehicle ambitions.,normal,Sell
AAPL,Apple Inc,20180615,Apple poaches senior self-driving engineer from Waymo ,June 15 Apple Inc has hired a senior self-driving car engineer from Alphabet Inc's Waymo unit  Apple said on Friday  a sign that the iPhone maker maintains autonomous vehicle ambitions.,normal,Unknown
AAPL,Apple Inc,20180615,UPDATE 3-Apple nabs Oprah as top talent flocks to digital entertainment ,LOS ANGELES  June 15 Apple Inc on Friday announced a multiyear deal with Oprah Winfrey to create original programming  a coup in the battle for A-list talent and projects in the booming digital entertainment market.,normal,Sell
AAPL,Apple Inc,20180615,Apple signs Oprah Winfrey to multi-year program deal ,LOS ANGELES  June 15 Apple Inc has signed a multi-year deal with Oprah Winfrey to create programming as part of the iPhone maker's push into original entertainment  the company said on Friday.,normal,Unknown
