AGR,Avangrid Inc,20180622,Renewable energy seeks demand  investment to survive Trump squeeze ,NEW YORK  June 22 The wind and solar industries hope demand for carbon-free power from U.S. cities  states and corporations can offset headwinds from President Donald Trump's tax policy and tariffs  developers said this week.,normal,Sell
BABY,Natus Medical Incorporated,20180622,Hedge fund Voce's nominees elected to Natus board ,Natus Medical Inc said on Friday its stockholders had elected hedge fund Voce Capital Management's nominees to the company's board  ending a months long proxy fight.,topStory,Unknown
BABY,Natus Medical Incorporated,20180622,Hedge fund Voce's nominees elected to Natus board ,June 22 Natus Medical Inc said on Friday its stockholders had elected hedge fund Voce Capital Management's nominees to the company's board  ending a months long proxy fight.,normal,Unknown
BB,BlackBerry Limited,20180622,BlackBerry signals slowing sales on subscription switch ,Canada's BlackBerry Ltd  signaled slowing sales in its software and services business as it switches to a subscription-based model  sending its shares down nearly 10 percent.,topStory,Unknown
BB,BlackBerry Limited,20180622,UPDATE 3-BlackBerry signals slowing sales on subscription switch ,June 22 Canada's BlackBerry Ltd signaled slowing sales in its software and services business as it switches to a subscription-based model  sending its shares down nearly 10 percent.,normal,Unknown
BB,BlackBerry Limited,20180622,BlackBerry posts quarterly loss ,June 22 BlackBerry Ltd reported a quarterly loss on Friday  compared with a year-ago profit when the Canadian software maker received a one-time arbitration payment of $940 million from chipmaker Qualcomm Inc.,normal,Unknown
BLK,BlackRock Inc,20180622,BlackRock seeks 30 percent stake in Intesa's asset manager: sources ,LONDON BlackRock  aims to buy a 30 percent stake in Intesa SanPaolo's  asset management unit as it seeks greater influence over Italy's second-largest fund house  sources familiar with the matter said.,topStory,Unknown
BLK,BlackRock Inc,20180622,UPDATE 1-BlackRock seeks 30 pct stake in Intesa's asset manager-sources ,LONDON  June 22 BlackRock aims to buy a 30 percent stake in Intesa SanPaolo's asset management unit as it seeks greater influence over Italy's second-largest fund house  sources familiar with the matter said.,normal,Sell
BLK,BlackRock Inc,20180622,BlackRock seeks 30 pct stake in Intesa's asset manager-sources ,LONDON  June 22 BlackRock aims to buy a 30 percent stake in Intesa SanPaolo's asset management unit as it seeks greater influence over Italy's second-largest fund house  sources familiar with the matter said.,normal,Unknown
BP,BP plc,20180622,BP  Itochu to join Platts LNG pricing process in Asia ,**Commodity pricing agency S&P Global Platts said on Friday that BP and Itochu Corp would join the price assessment process for Asia liquefied natural gas (LNG),topStory,Unknown
BX,The Blackstone Group LP,20180622,Australia's AMA Group calls off Blackstone deal after tax ruling  shares slide ,Australia's AMA Group  said on Friday it has halted a deal to sell its vehicle panel repair arm to Blackstone Group  for A$508 million ($375 million) following an unfavorable ruling from the Australian Taxation Office.,topStory,Strong Buy
BX,The Blackstone Group LP,20180622,UPDATE 1-Australia's AMA Group calls off Blackstone deal after tax ruling  shares slide ,June 22 Australia's AMA Group said on Friday it has halted a deal to sell its vehicle panel repair arm to Blackstone Group for A$508 million ($375 million) following an unfavourable ruling from the Australian Taxation Office.,normal,Unknown
BX,The Blackstone Group LP,20180622,Australia's AMA Group calls off Blackstone deal after tax ruling ,June 22 Australia's AMA Group said on Friday it has halted a deal to sell its vehicle panel repair arm to Blackstone Group for A$508 million ($375 million) following an unfavourable ruling from the Australian Taxation Office.,normal,Unknown
CXW,CoreCivic Inc,20180622,Prison shares rise as U.S. eyes more migrant family detention space ,June 22 Shares in private prison operators CoreCivic Inc and Geo Group rose on Friday as investors bet on increasing demand for their services after U.S. authorities asked about available capacity for the detention of immigrant families.,topStory,Unknown
GEO,Geo Group Inc (The),20180622,Prison shares rise as U.S. eyes more migrant family detention space ,June 22 Shares in private prison operators CoreCivic Inc and Geo Group rose on Friday as investors bet on increasing demand for their services after U.S. authorities asked about available capacity for the detention of immigrant families.,topStory,Unknown
GM,General Motors Company,20180622,GM to build Chevrolet Blazer in Mexico ,General Motors Co  is going ahead with its plan to manufacture the new Chevrolet Blazer SUV in Mexico  a spokesman for the automaker said on Thursday  despite criticism by U.S. President Donald Trump over making vehicles abroad.,topStory,Unknown
GM,General Motors Company,20180622,UPDATE 1-GM to build Chevrolet Blazer in Mexico ,June 21 General Motors Co is going ahead with its plan to manufacture the new Chevrolet Blazer SUV in Mexico  a spokesman for the automaker said on Thursday  despite criticism by U.S. President Donald Trump over making vehicles abroad.,normal,Unknown
GM,General Motors Company,20180622,GM says will build Chevrolet Blazer in Mexico ,June 21 General Motors Co will make the new Chevrolet Blazer in Mexico  a company spokesman said on Thursday  at a time when U.S. President Donald Trump is pressing automakers to build more vehicles in the United States.,normal,Unknown
HOG,Harley-Davidson Inc,20180622,Harley says EU duties could prompt price hikes ,FRANKFURT Harley-Davidson Inc could be forced to raise prices in Europe due to EU tariffs on U.S. goods  hitting buyers of new motorcycle models when they are shipped to dealers later in the year  the head of its central European business said.,topStory,Strong Buy
INFO,IHS Markit Ltd,20180622,PRECIOUS-Gold prices edge up after sliding to 6-month low ,    BENGALURU  June 22 Gold prices inched up early on Friday after hitting a 6-month low the session before  with the dollar retreating from an 11-month peak.          FUNDAMENTALS       * Spot gold        was 0.1-percent higher at $1 268.24 an ounce by 0057 GMT. It touched its lowest since Dec. 19 at $1 260.84 on Thursday.     * U.S. gold futures         for August delivery were nearly unchanged at $1 270.20 per ounce.     * The dollar index         which measures the greenback agai,normal,Unknown
IO,Ion Geophysical Corporation,20180622,UPDATE 3-Schlumberger oil services wins in U.S. Supreme Court on patent damages ,WASHINGTON  June 22 The U.S. Supreme Court ruled on Friday that companies can recover profits lost because of the unauthorized use of their patented technology abroad in a victory for Schlumberger NV  the world's largest oilfield services provider.,topStory,Sell
LYG,Lloyds Banking Group Plc,20180622,UPDATE 2-British lawmakers call for probe of Lloyds  KPMG over HBOS fraud ,June 21 A group of British lawmakers on Thursday called for an investigation by law enforcement and regulatory agencies into the handling by Lloyds Banking Group of a fraud at its HBOS Reading unit more than a decade ago and into the role of auditor KPMG.,topStory,Unknown
NFLX,Netflix Inc,20180622,Netflix communication head quits over 'insensitive' comment ,Netflix Inc  Chief Communications Officer Jonathan Friedland is leaving the video streaming company  a company spokesperson said on Friday without giving more details.,topStory,Unknown
NFLX,Netflix Inc,20180622,Netflix communication head quits over "insensitive" comment ,June 22 Netflix Inc Chief Communications Officer Jonathan Friedland is leaving the video streaming company  a company spokesperson said on Friday without giving more details.,normal,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180622,Brazil labor court hands Petrobras workers victory in $4.5 bln wage spat ,BRASILIA Brazil's top labor court on Thursday ruled in favor of workers at state-controlled Petroleo Brasileiro in a wage dispute that could cost the world's most indebted oil company up to 17 billion reais ($4.5 billion).,topStory,Unknown
PBR,Petroleo Brasileiro SA- Petrobras,20180622,UPDATE 2-Brazil labor court hands Petrobras workers victory in $4.5 bln wage spat ,BRASILIA  June 21 Brazil's top labor court on Thursday ruled in favor of workers at state-controlled Petroleo Brasileiro in a wage dispute that could cost the world's most indebted oil company up to 17 billion reais ($4.5 billion).,normal,Unknown
PJC,Piper Jaffray Companies,20180622,U.S. oil drillers cut rigs for 1st time in 12 weeks -Baker Hughes ,June 22 U.S. energy companies this week cut one oil rig  the first reduction in 12 weeks after drillers started to slow down the rate of additions this month as pipeline constraints put a damper on future production.,normal,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Wall St set to open in black as oil prices surge ,June 22 Wall Street was set to open higher on Friday with the Dow on track to snap an 8-day losing streak  helped by a surge in oil prices as OPEC neared a deal to boost output  while there were no significant developments in the China-U.S. trade rhetoric.,topStory,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Dow snaps losing streak on energy lift ,* Exxon  Chevron boost S&P 500 and Dow; tech weighs on Nasdaq,normal,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Energy stocks gain on oil boost; Dow set to snap losing skid ,* Exxon  Chevron boost S&P 500 and Dow; tech weighs on Nasdaq,normal,Sell
RHT,Red Hat Inc,20180622,US STOCKS-Dow set to snap 8-day losing run as oil climbs ,* Dow up 0.69 pct  S&P gains 0.40 pct  Nasdaq down 0.13 pct (Updates to early afternoon),normal,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Energy stocks push Wall St higher; tech weighs ,* Dow up 0.51 pct  S&P gains 0.29 pct  Nasdaq down 0.28 pct (Adds comment  adds details; Updates prices),normal,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Energy  financials push Wall St higher; tech weighs ,* Dow up 0.71 pct  S&P gains 0.43 pct  Nasdaq down 0.08 pct (Updates to open),normal,Unknown
RHT,Red Hat Inc,20180622,US STOCKS-Futures point higher as oil prices jump ahead of OPEC meeting ,June 22 U.S. stock index futures rose on Friday as oil prices jumped ahead of an OPEC meeting later in the day and in the absence of any significant developments in the China-U.S. trade rhetoric overnight.,normal,Unknown
RY,Royal Bank Of Canada,20180622,MOVES-RBC hires veteran banker Grafstein from UBS for senior role -sources ,June 22 Royal Bank of Canada has hired veteran investment banker Larry Grafstein from UBS Group AG to be deputy chairman of global investment banking  people familiar with the matter said on Friday.,topStory,Unknown
SATS,EchoStar Corporation,20180622,Deals of the day-Mergers and acquisitions ,June 22 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Friday: ** Brazil's antitrust watchdog Cade approved buyout firm Advent International's acquisition of Walmart Inc's Brazilian operations  and sought no additional asset sales. ** Shares in British satellite operator Inmarsat leapt after its U.S. suitor EchoStar disclosed stakes in the London-listed company's equity and debt. ** Crisis-hit Steinhoff will sell Austrian property assets valued a,topStory,Unknown
SATS,EchoStar Corporation,20180622,Satellite operator Echostar unveils stake in bid target Inmarsat ,LONDON Shares in British satellite operator Inmarsat  leapt on Friday after its U.S. suitor EchoStar  disclosed stakes in the London-listed company's equity and debt.,normal,Unknown
SATS,EchoStar Corporation,20180622,UPDATE 1-Satellite operator Echostar unveils stake in bid target Inmarsat ,LONDON  June 22 Shares in British satellite operator Inmarsat leapt on Friday after its U.S. suitor EchoStar disclosed stakes in the London-listed company's equity and debt.,normal,Sell
SBGI,Sinclair Broadcast Group Inc,20180622,Illinois  Iowa  Rhode Island urge rejection of Sinclair-Tribune tie-up ,WASHINGTON The attorneys general of Illinois  Iowa and Rhode Island urged the Federal Communications Commission to reject Sinclair Broadcast Group Inc’s proposed $3.9 billion acquisition of Tribune Media Co  citing "excessive consolidation" in the television market,topStory,Unknown
SLB,Schlumberger NV,20180622,Schlumberger oil services wins in U.S. Supreme Court on patent damages ,WASHINGTON The U.S. Supreme Court ruled on Friday that companies can recover profits lost because of the unauthorized use of their patented technology abroad in a victory for Schlumberger NV  the world's largest oilfield services provider.,topStory,Unknown
SLB,Schlumberger NV,20180622,UPDATE 3-Schlumberger oil services wins in U.S. Supreme Court on patent damages ,WASHINGTON  June 22 The U.S. Supreme Court ruled on Friday that companies can recover profits lost because of the unauthorized use of their patented technology abroad in a victory for Schlumberger NV  the world's largest oilfield services provider.,normal,Sell
SLB,Schlumberger NV,20180622,U.S. Supreme Court backs Schlumberger on overseas patent damages ,WASHINGTON  June 22 The U.S. Supreme Court ruled on Friday that companies can recover profits lost due to the unauthorized use of their patented technology abroad in a victory for Schlumberger NV  the world's largest oilfield services provider.,normal,Unknown
TROX,Tronox Limited,20180622,Tronox to win conditional EU okay for Cristal deal: sources ,BRUSSELS U.S. chemical company Tronox  is set to secure EU approval to buy Saudi Arabian peer Cristal's titanium dioxide business on condition it sells assets to address competition concerns  people familiar with the matter said on Friday.,topStory,Sell
TROX,Tronox Limited,20180622,UPDATE 1-Tronox to win conditional EU okay for Cristal deal - sources ,BRUSSELS  June 22 U.S. chemical company Tronox is set to secure EU approval to buy Saudi Arabian peer Cristal's titanium dioxide business on condition it sells assets to address competition concerns  people familiar with the matter said on Friday.,normal,Sell
