AAON,AAON Inc,20161103,BRIEF Aaon Q3 earnings per share 0 29,expect steel prices will start to modestly impact us in q4
AAPL,Apple Inc,20140303,Apple launches iPhone voice control for drivers,FRANKFURT Apple makes its next move in hands free smartphone technology for car drivers when it unveils a new integrated iPhone voice control system at the Geneva Motor Show this week
AAPL,Apple Inc,20140303,Apple launches iPhone voice control for drivers,FRANKFURT March 3 Apple makes its next move in hands free smartphone technology for car drivers when it unveils a new integrated iPhone voice control system at the Geneva Motor Show this week
AAPL,Apple Inc,20140303,Goldman Sachs names Apple s Oppenheimer to board,March 3 Goldman Sachs Group Inc named Peter Oppenheimer the chief financial officer of Apple Inc as an independent director
AAPL,Apple Inc,20140304,Apple CFO Oppenheimer to retire at end of September,March 4 Apple Inc said Chief Financial Officer Peter Oppenheimer would retire at the end of September
AAPL,Apple Inc,20140304,UPDATE 4 Apple s new finance steward Maestri takes over 160 bln cash haul,SAN FRANCISCO March 4 Apple Inc s Chief Financial Officer Peter Oppenheimer will retire and hand the reins to Luca Maestri in September entrusting to the Italian born executive a cash pile the size of Vietnam s economy and the difficult task of guiding Wall Street s expectations
AAPL,Apple Inc,20140305,Apple s new finance steward Maestri takes over 160 billion cash haul,SAN FRANCISCO Apple Inc s Chief Financial Officer Peter Oppenheimer will retire and hand the reins to Luca Maestri in September entrusting to the Italian born executive a cash pile the size of Vietnam s economy and the difficult task of guiding Wall Street s expectations
AAPL,Apple Inc,20140305,CORRECTED UPDATE 4 Apple s new finance steward Maestri takes over 160 bln cash haul,Corrects Tuesday story to clarify that subject of paragraph nine is Maestri not Oppenheimer
AAPL,Apple Inc,20140305,Russia s Megafon to buy 750 000 iPhones in 3 years,MOSCOW March 5 Russia s second biggest mobile phone operator Megafon said it would buy at least 750 000 iPhones from Apple Inc over the next three years for resale through its retail network
AAPL,Apple Inc,20140306,Apple loses bid for U S ban on Samsung smartphone sales,SAN FRANCISCO March 6 A U S judge on Thursday rejected Apple Inc s request for a permanent sales ban in the United States against some older Samsung smartphones a key setback for the iPhone maker in its global patent battle
AAPL,Apple Inc,20140306,Pixelworks shares soar after it reveals Apple as major customer,March 6 Shares of Pixelworks Inc which makes chips for digital display rose 54 percent a day after the company revealed that Apple Inc is among its largest customers
AAPL,Apple Inc,20140306,Pixelworks shares soar after it reveals Apple as major customer,Shares of Pixelworks Inc which makes chips for digital display rose 54 percent a day after the company revealed that Apple Inc is among its largest customers
AAPL,Apple Inc,20140306,UPDATE 1 Apple loses bid for U S ban on Samsung smartphone sales,SAN FRANCISCO March 6 A U S judge on Thursday rejected Apple s request for a permanent sales ban in the United States against some older Samsung smartphones a key setback for the iPhone maker in its global patent battle
AAPL,Apple Inc,20140314,Disney faces latest investor proposal to nominate directors,March 13 Walt Disney Co shareholders are expected to vote at its March 18 annual meeting on a resolution that asks the company to allow large shareholders to nominate board members the latest bid by investor groups to win proxy access rights
AAPL,Apple Inc,20140314,Disney faces latest investor proposal to nominate directors,Walt Disney Co shareholders are expected to vote at its March 18 annual meeting on a resolution that asks the company to allow large shareholders to nominate board members the latest bid by investor groups to win proxy access rights
AAPL,Apple Inc,20140317,Microsoft s CEO may unveil Office for iPad on March 27 source,March 17 Microsoft Corp Chief Executive Satya Nadella may unveil an iPad version of the company s Office software suite on March 27 a source told Reuters potentially using his first major press outing to launch the company s most profitable product for Apple Inc s popular tablet
AAPL,Apple Inc,20140317,Microsoft s CEO may unveil Office for iPad on March 27 source,Microsoft Corp Chief Executive Satya Nadella may unveil an iPad version of the company s Office software suite on March 27 a source familiar with the event told Reuters and use his first big press appearance to launch the company s most profitable product in a version compatible with Apple Inc s popular tablet
AAPL,Apple Inc,20140317,UPDATE 1 Microsoft s CEO may unveil Office for iPad on March 27 source,March 17 Microsoft Corp Chief Executive Satya Nadella may unveil an iPad version of the company s Office software suite on March 27 a source familiar with the event told Reuters and use his first big press appearance to launch the company s most profitable product in a version compatible with Apple Inc s popular tablet
AAPL,Apple Inc,20140318,CORRECTED Apple to replace iPad 2 with upgraded iPad 4,Corrects paragraph 4 to say the iPad 2 s price was reduced in 2012 not last year
AAPL,Apple Inc,20140318,UPDATE 1 Apple replaces iPad 2 with iPad 4 launches cheaper iPhone 5C,March 18 Apple Inc said it would offer an iPad 4 tablet in place of the mid range iPad 2 at the same price and the company launched a cheaper lower capacity version of its plastic backed iPhone 5C in Australia China and some European countries
AAPL,Apple Inc,20140323,Apple shares to be fueled by new iPhone Barron s,March 23 Apple Inc shares could rise by 20 percent over the next year fueled by sales of a new version of its iPhone smartphone that is expected to have a bigger screen according to an article in the March 24 edition of Barron s
AAPL,Apple Inc,20140324,EU orders Luxembourg to hand over corporate tax practices information,BRUSSELS March 24 European Union antitrust regulators ordered Luxembourg on Monday to hand over information on its corporate tax practices as part of their investigation into tax loopholes which have allowed companies such as Starbucks and Apple to cut their tax bills
AAPL,Apple Inc,20140324,Netflix shares fall on Comcast Apple report,March 24 Netflix shares slumped more than 7 percent on Monday after a report about a new television streaming product that Comcast and Apple were working on together
AAPL,Apple Inc,20140324,Netflix shares fall on Comcast Apple report,Netflix shares slumped more than 7 percent on Monday after a report about a new television streaming product that Comcast and Apple were working on together
AAPL,Apple Inc,20140324,Tech leads Wall Street lower as Ukraine casts a shadow,NEW YORK U S stocks fell on Monday with some of the market s recent best performers like technology and biotech shares leading the way down Video
AAPL,Apple Inc,20140324,UPDATE 1 Taiwan s Pegatron to focus on mobiles sees PC turnaround,Q4 net profit hits T 3 38 billion vs analyst estimates of T 2 84 billion
AAPL,Apple Inc,20140324,US STOCKS Futures edge up on hope for Chinese stimulus,NEW YORK March 24 U S stock index futures edged higher on Monday as a weak reading on Chinese manufacturing raised hopes that the Chinese government would issue new stimulus to combat slowing momentum though ongoing tensions in Ukraine weighed on sentiment
AAPL,Apple Inc,20140324,US STOCKS Futures imply slight gains on hope for Chinese stimulus,Futures up Dow 28 pts S P 5 pts Nasdaq 9 pts Updates prices adds NU Skin
AAPL,Apple Inc,20140324,US STOCKS Wall St lower investors take profit in high flying names,Nasdaq hit as trading favorites like Netflix Tesla sink
AAPL,Apple Inc,20140324,US STOCKS Wall St slumps Nasdaq under 50 day moving average,Nasdaq hit as trading favorites like Netflix Tesla sink
AAPL,Apple Inc,20140325,HTC debuts flagship smartphone in race against Samsung,LONDON March 25 Taiwan s HTC Corp unveiled a new flagship smartphone on Tuesday an upgrade to the award winning HTC One that it hopes will claw back some of the market share lost to Samsung
AAPL,Apple Inc,20140327,Settlement progress seen in Silicon Valley hiring lawsuit,SAN JOSE Calif March 27 Apple Inc Google Inc and two other Silicon Valley companies are making progress toward settling a closely watched lawsuit where tech workers allege the companies conspired to avoid competing for each other s employees in order to drive down wages
AAPL,Apple Inc,20140327,Settlement progress seen in Silicon Valley hiring lawsuit,SAN JOSE California Apple Inc Google Inc and two other Silicon Valley companies are making progress toward settling a closely watched lawsuit where tech workers allege the companies conspired to avoid competing for each other s employees in order to drive down wages
AAPL,Apple Inc,20140327,Top Kindle exec to update on Amazon video business next week,SAN FRANCISCO March 27 Amazon com Inc will hold a rare press conference in New York on April 2 amid intense speculation that it will reveal a streaming device that rivals the Apple TV and Google Chromcast
AAPL,Apple Inc,20140327,UPDATE 4 Microsoft CEO signals new course with Office for iPad,SAN FRANCISCO March 27 Microsoft Corp s new Chief Executive Officer Satya Nadella finally unveiled Office for Apple Inc s iPad in a polished debut that set him apart from his energetic predecessor while signaling his plans to make mobile apps the top priority at the world s largest software company
AAPL,Apple Inc,20140328,GN Store Nord s iPhone hearing aid boosts U S customer base,COPENHAGEN Danish hearing aids group GN Store Nord has seen a jump in its U S costumer base following the launch of a new product developed jointly with Apple for the iPhone the company told analysts at an industry conference in Orlando
AAPL,Apple Inc,20140328,Microsoft CEO signals new course with Office for iPad,SAN FRANCISCO Microsoft Corp s new Chief Executive Officer Satya Nadella finally unveiled Office for Apple Inc s iPad in a polished debut that set him apart from his energetic predecessor while signaling his plans to make mobile apps the top priority at the world s largest software company Video
AAPL,Apple Inc,20140328,UPDATE 1 Apple Google lose bid to avoid trial on tech worker lawsuit,SAN FRANCISCO March 28 A U S judge on Friday rejected a request from Apple Google and two other tech companies to win judgment before trial in a class action lawsuit alleging a scheme to drive down wages among tech workers
AAPL,Apple Inc,20140328,UPDATE 1 U S judge OKs class action in e book suit against Apple,Adds details from ruling background paragraphs 3 12 adds byline
AAPL,Apple Inc,20140328,U S judge OKs class action in e book suit against Apple,NEW YORK A federal judge in New York granted class certification on Friday to a group of consumers who sued Apple Inc for conspiring with five major publishers to fix e book prices in violation of antitrust law
AAPL,Apple Inc,20140328,U S judge OKs class action status in e book suit against Apple,NEW YORK March 28 A federal judge in New York granted class certification on Friday to a group of consumers who sued Apple Inc for conspiring with five major publishers to fix e book prices in violation of antitrust law
AAPL,Apple Inc,20140328,U S judge rejects Apple Google bid to avoid trial in hiring lawsuit,SAN FRANCISCO March 28 A U S judge on Friday rejected a request from Apple Google and two other tech companies to win judgment before trial in a class action lawsuit over hiring
AAPL,Apple Inc,20140329,UPDATE 2 Apple Google lose bid to avoid trial on tech worker lawsuit,Adds Apple declined to comment and additional detail paragraphs 5 9 13
AAPL,Apple Inc,20140331,Samsung Elec s mobile head paycheck hits 5 8 mln beating Apple s Cook,SEOUL March 31 Head of Samsung Electronics Co s mobile business J K Shin received a 5 8 million compensation package last year beating the paycheck of his counterpart at U S rival Apple Inc the South Korean firm said on Monday in its first such disclosure under new regulations
AAPL,Apple Inc,20140331,Samsung Electronics mobile head paycheck hits 5 8 million beating Apple s Cook,SEOUL Head of Samsung Electronics Co s mobile business J K Shin received a 5 8 million compensation package last year beating the paycheck of his counterpart at U S rival Apple Inc the South Korean firm said on Monday in its first such disclosure under new regulations
AAPL,Apple Inc,20140401,Apple again seeks decisive U S court ruling against Samsung,SAN JOSE Calif April 1 Apple and Samsung return to federal court on Tuesday for opening statements in their latest patent battle with the iPhone maker expected to present more detailed evidence in its attempt to win a U S ban on sales of several Samsung smartphones
AAPL,Apple Inc,20140401,Apple in talks to buy Renesas stake in chip design unit Nikkei,Apple Inc is in talks to buy Japan based Renesas Electronics Corp s stake in a unit that designs liquid crystal display chips for iPhones for about 50 billion yen 483 million the Nikkei reported without identifying a source
AAPL,Apple Inc,20140401,Apple in talks to buy Renesas stake in chip design unit Nikkei,April 2 Apple Inc is in talks to buy Japan based Renesas Electronics Corp s stake in a unit that designs liquid crystal display chips for iPhones for about 50 billion yen 483 million the Nikkei reported without identifying a source
AAPL,Apple Inc,20140401,New iPhone 6 screens to enter production as early as May sources,TOKYO Apple Inc suppliers will begin mass producing displays as early as May for the next iPhone expected to be launched this autumn with a 4 7 inch screen likely to be produced first while a 5 5 inch version could be delayed supply chain sources said
AAPL,Apple Inc,20140401,New iPhone 6 screens to enter production as early as May sources,TOKYO April 1 Apple Inc suppliers will begin mass producing displays as early as May for the next iPhone expected to be launched this autumn with a 4 7 inch screen likely to be produced first while a 5 5 inch version could be delayed supply chain sources said
AAPL,Apple Inc,20140401,UPDATE 2 Apple again seeks decisive U S court ruling against Samsung,SAN JOSE Calif April 1 An Apple Inc attorney told jurors the company deserves about 2 billion from Samsung for copying the iPhone but a Samsung lawyer said Apple was merely seeking to make up for losing its lead in the smartphone market
AAPL,Apple Inc,20140402,Amazon unveils Fire TV to rival Apple Roku,NEW YORK SAN FRANCISCO April 2 Amazon com Inc unveiled a video streaming device dubbed Fire TV on Wednesday that can pipe video directly to television and offers a more prominent showcase for the e commerce giant s slate of original programming
AAPL,Apple Inc,20140402,Apple in talks to buy Japan chip venture to secure iPhone supply chain,TOKYO Apple Inc seeking to secure its mobile supply chain has opened discussions to buy control of a Japanese venture that makes key microchips for its iPhone screens sources familiar with the matter say
AAPL,Apple Inc,20140402,BUSINESS NEWS SCHEDULE AT 0830 GMT 4 30 AM ET,LONDON World share markets add to their recent rally as investors choose to focus on the positive in a mixed bag of global economic data tipping the safe haven yen to a 10 week low MARKETS GLOBAL WRAPUP 4 expect by 0900 GMT 5 AM ET by Marc Jones 800 words
AAPL,Apple Inc,20140402,Market Chatter Corporate finance press digest,April 2 The following corporate finance related stories were reported by media
AAPL,Apple Inc,20140402,Nikkei hits 3 week high on weak yen Renesas jumps on Apple news,TOKYO April 2 Japan s Nikkei share average rose to a fresh three week high on Wednesday as sentiment was helped by a weakening yen while Renesas Electronics Corp jumped on news that it is in talks with Apple Inc and other potential buyers to buy its stake in a smartphone display chip unit Renesas soared as much as 19 percent to 934 yen its highest since March 2011 before ending up 6 0 percent Renesas is considering selling its 55 percent stake in Renesas SP Driver wh
AAPL,Apple Inc,20140402,RPT Market Chatter Corporate finance press digest,April 2 The following corporate finance related stories were reported by media
AAPL,Apple Inc,20140402,UPDATE 4 Amazon leaps into home entertainment fray with 99 Fire TV,NEW YORK SAN FRANCISCO April 2 Amazon com Inc made a play for the increasingly crowded home entertainment arena by unveiling the 99 Fire TV video and game streaming device on Wednesday with hopes of boosting its main online retail business over the longer term
AAPL,Apple Inc,20140402,UPDATE 4 Apple in talks to buy Japan chip venture to secure iPhone supply chain,Renesas shares surge to three year high Rewrites first paragraph adds context on global supply chain in paragraph 3
AAPL,Apple Inc,20140403,Apple Pfizer others form go slow U S patent lobby group,WASHINGTON April 3 Major U S companies including Ford Apple and Pfizer have formed a lobbying group aimed at pushing back at some changes to the patent system members of Congress have proposed saying these measures would hinder protection of valuable inventions
AAPL,Apple Inc,20140407,Market Chatter Corporate finance press digest,April 7 The following corporate finance related stories were reported by media
AAPL,Apple Inc,20140408,Big push into gaming brings out Amazon s gentler side,SAN FRANCISCO Amazon com Inc a company known for its ruthless drive is courting the free wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google
AAPL,Apple Inc,20140408,Big push into gaming brings out Amazon s gentler side,SAN FRANCISCO April 8 Amazon com Inc a company known for its ruthless drive is courting the free wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google
AAPL,Apple Inc,20140408,Comcast defends Time Warner Cable deal as U S review kicks off,WASHINGTON NEW YORK Comcast Corp sought to rebut critics of its planned 45 2 billion takeover of Time Warner Cable Inc arguing that newcomers like Google Inc and Apple Inc would ensure competition in both Internet and video markets
AAPL,Apple Inc,20140408,UPDATE 3 Comcast defends Time Warner Cable deal as U S review kicks off,Says merger would not eliminate cable or broadband competition Recasts throughout adds details on broadband market
AAPL,Apple Inc,20140410,iPhone s slide to unlock creator Greg Christie to leave Apple WSJ,Apple Inc s Greg Christie who led the company s human interface team that designs software for its products is leaving the company the Wall Street Journal reported citing an internal email
AAPL,Apple Inc,20140411,Amazon to unveil smartphone in time for holidays WSJ,SAN FRANCISCO April 11 Amazon com Inc is preparing to launch its long rumored smartphone in the second half of the year the Wall Street Journal cited people briefed on the company s plans as saying jumping into a crowded market dominated by Apple Inc and Samsung Electronics Co Ltd
AAPL,Apple Inc,20140411,As Internet shares break down investors see value in old tech,NEW YORK April 11 The last six weeks have been terrible for many technology shares but not for the four horsemen that sat atop the last tech boom
AAPL,Apple Inc,20140411,Exclusive Microsoft Apple diverge on bankrolling big patent buyer,SAN FRANCISCO Patent buyer Intellectual Ventures has persuaded Microsoft and Sony to invest in its latest acquisition fund while Apple and Intel which invested with IV previously declined to participate according to people briefed on the fundraising
