ALKS,Alkermes plc,20110707,UPDATE 2-Amylin says heart trial of diabetes drug met goal ,* Alkermes shares rise 6 percent  (Adds background  updates share prices),topStory
GOOG,Alphabet Inc,20110707,Twitter security lags some other sites: experts ,BOSTON/NEW YORK The fast-growing microblogging site Twitter has fallen behind some other Internet services in introducing tools to help secure the accounts of users  security experts say.,topStory
GOOG,Alphabet Inc,20110707,Twitter security lags some other sites -experts ,   * Needs to boost technology to verify passwords -experts,normal
GOOG,Alphabet Inc,20110707,RIM says adds 1 million EMEA subscribers in 3 weeks ,TORONTO BlackBerry maker Research In Motion said on Thursday it has added more than one million subscribers in Europe  the Middle East and Africa in less than three weeks.,normal
GOOG,Alphabet Inc,20110707,EBay buys Zong as mobile payments gain traction ,NEW YORK/SAN FRANCISCO EBay Inc said on Thursday it agreed to buy cellphone payments provider Zong for about $240 million in cash to help its PayPal unit push further into mobile commerce.,normal
GOOG,Alphabet Inc,20110707,Facebook launches video chat with Skype ,PALO ALTO  California Facebook will add Skype video chat to its pages  aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. | Video ,normal
GOOG,Alphabet Inc,20110707,UPDATE 5-Samsung Q2 falls as weak LCDs overshadow mobiles , * Estimates Q2 sales at 39 trln won vs 40 trln won consensus,normal
GOOG,Alphabet Inc,20110707,LG sees H2 smartphone sales up 40 pct  cuts 2011 handset targets , SEOUL  July 7 LG Electronics Inc   the world's No.3 handset maker  expected its smartphone sales to rise by around 40 percent in the second half to 14 million units from the previous half  as it introduced Optimus 3D on Thursday in South Korea in its latest push to turn around the loss-making handset business.,normal
GOOG,Alphabet Inc,20110707,Hulu owners seeking best sale value  says Disney's Iger , SUN VALLEY  Idaho  July 6 Hulu's current joint owners are seeking the highest possible value in a sale rather than focusing on who a new owner might be  Walt Disney Co  Chief Executive Bob Iger said on Wednesday.,normal
AMZN,Amazoncom Inc,20110707,Judge rejects Apple bid for injunction against Amazon ,SAN FRANCISCO A U.S. judge denied Apple Inc's attempt to quickly stop online retailer Amazon.com Inc from using the "App Store" name  according to a court document.,topStory
AMZN,Amazoncom Inc,20110707,Judge rejects Apple bid for injunction against Amazon , SAN FRANCISCO  July 6 A U.S. judge denied Apple Inc's  attempt to quickly stop online retailer Amazon.com Inc  from using the "App Store" name  according to a court document.,normal
AAPL,Apple Inc,20110707,UPDATE 1-Canada eyes Nortel patent sale review- minister , * Gives no detail on timeline for decision  (Adds quotes from minister  details),topStory
AAPL,Apple Inc,20110707,RIM says adds 1 million EMEA subscribers in 3 weeks ,TORONTO BlackBerry maker Research In Motion said on Thursday it has added more than one million subscribers in Europe  the Middle East and Africa in less than three weeks.,normal
AAPL,Apple Inc,20110707,Canada eyes Nortel patent sale review- minister , OTTAWA  July 7 Canadian Industry Minister Christian Paradis said on Thursday that officials in his office are studying whether to formally review a sale of Nortel patents to ensure investment law was properly applied.,normal
AAPL,Apple Inc,20110707,Apple's app downloads race ahead  surpass 15 billion ,NEW YORK Apple Inc customers downloaded more than 15 billion applications in the past three years  the company said on Thursday  releasing figures that suggest the rate of downloads is sharply accelerating.,normal
AAPL,Apple Inc,20110707,How about a beer with your iPhone? ,MELBOURNE You can do a lot with an iPhone these days -- text  take pictures  surf the net  and even make a phone call.,normal
AAPL,Apple Inc,20110707,UPDATE 5-Samsung Q2 falls as weak LCDs overshadow mobiles , * Estimates Q2 sales at 39 trln won vs 40 trln won consensus,normal
AAPL,Apple Inc,20110707,How about a beer with your iPhone? ,MELBOURNE  - You can do a lot with an iPhone these days -- text  take pictures  surf the net  and even make a phone call.,normal
AAPL,Apple Inc,20110707,How about a beer with your iPhone? , MELBOURNE  July 7  - You can do a lot with an iPhone these days -- text  take pictures  surf the net  and even make a phone call.,normal
AAPL,Apple Inc,20110707,Chinese writers to petition Apple over book downloads-report , SHANGHAI  July 7 A group of Chinese authors will petition Apple Inc to stop the distribution of their books in electronic format through various applications in Apple's App Store  the 21st Century Herald Tribune reported on Thursday.,normal
AAPL,Apple Inc,20110707,HTC limit-down on slower demand  corp governance concerns ,TAIPEI Shares of world No.5 handset maker HTC Corp  plunged on Thursday as investor looked beyond the forecast-beating quarterly net profit to concerns over a slowdown in smartphone demand and the company's corporate governance after its plan to acquire S3 Graphics.,normal
BIDU,Baidu Inc,20110707,UPDATE 1-DoCoMo  Baidu to provide smartphone content in China-Nikkei , July 8 Japan's NTT DoCoMo Inc and Baidu Inc   China's largest search engine operator  have agreed to team up to distribute mobile content to Chinese users  the Nikkei business daily said.,topStory
BIDU,Baidu Inc,20110707,Chinese writers to petition Apple over book downloads-report , SHANGHAI  July 7 A group of Chinese authors will petition Apple Inc to stop the distribution of their books in electronic format through various applications in Apple's App Store  the 21st Century Herald Tribune reported on Thursday.,normal
BMLP,Bank Of Montreal,20110707,RPT-UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,topStory
BMLP,Bank Of Montreal,20110707,UPDATE 1-Royal Bank of Canada latest to join ETF market , * Is one of several firms setting up ETF shops in Canada,normal
CETV,Central European Media Enterprises Ltd,20110707,UPDATE 2-TVN owner puts $1.3 bln stake up for sale , * News Corp  Time Warner  Bertelsmann contacted - source,topStory
CETV,Central European Media Enterprises Ltd,20110707,Czech Republic - Factors To Watch on July 7 , PRAGUE  July 7 Here are news stories  press reports and events to watch which may affect Czech financial markets on Thursday.,normal
CHSCP,CHS Inc,20110707,Canada crude-Heavy spreads narrow as Montana fears ease , CALGARY  Alberta  July 7 Canadian heavy crude spreads narrowed on Thursday as refinery problems following a Montana pipeline rupture proved less severe than first feared.,topStory
CMCSA,Comcast Corporation,20110707,Internet providers to act against online pirates ,LOS ANGELES Consumers who illegally download copyrighted films  music or television shows might see their Internet speed slowed or access restricted under an industry anti-piracy effort announced on Thursday.,topStory
CMCSA,Comcast Corporation,20110707,US Internet providers to act against online pirates , * Illegal downloading could lead to temporary restrictions,normal
CMCSA,Comcast Corporation,20110707,Hulu owners seeking best sale value  says Disney's Iger , SUN VALLEY  Idaho  July 6 Hulu's current joint owners are seeking the highest possible value in a sale rather than focusing on who a new owner might be  Walt Disney Co  Chief Executive Bob Iger said on Wednesday.,normal
COST,Costco Wholesale Corporation,20110707,US STOCKS-Futures advance before labor market data , * Futures up: Dow 31 pts  S&P 4 pts  Nasdaq 6.75 pts,topStory
COST,Costco Wholesale Corporation,20110707,US STOCKS-Futures rise ahead of labor data , * Futures up: Dow 31 pts  S&P 4 pts  Nasdaq 6.25 pts,normal
COST,Costco Wholesale Corporation,20110707,UPDATE 1-Costco June same-store sales up 14 pct  beat poll , * Same-store sales excl gasoline and forex up 8 pct   (Adds detail),normal
COST,Costco Wholesale Corporation,20110707,U.S. chains' June sales likely lifted by bargains , NEW YORK  July 7 Top U.S. retailers are expected to report healthy sales gains for June  helped by bargains that lured shoppers contending with high gasoline prices and a wobbly economy.,normal
DISH,DISH Network Corporation,20110707,UPDATE 2-Court OKs TerreStar's $1.38 bln sale to Dish , * Ruling paves way for TerreStar to emerge from bankruptcy,topStory
EBAY,eBay Inc,20110707,Deals of the day -- mergers and acquisitions , July 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2000 GMT on Thursday:,topStory
EBAY,eBay Inc,20110707,EBay buys Zong as mobile payments gain traction ,NEW YORK/SAN FRANCISCO EBay Inc said on Thursday it agreed to buy cellphone payments provider Zong for about $240 million in cash to help its PayPal unit push further into mobile commerce.,normal
EBAY,eBay Inc,20110707,Swiss police raid cyber attack suspect's home , ZURICH  July 7 Swiss police have searched the home of an Italian citizen suspected of carrying out cyber attacks in Italy  prosecutors said on Thursday.,normal
