ACIW,ACI Worldwide Inc,20110919,UPDATE 1-S1's No. 2 shareholder halves stake , Sept 19 P2 Capital Master Fund LLP on Monday reported that it cut its stake in S1 Corp to 3.9 percent  three-days after the financial technology provider rejected a sweetened takeover bid from larger rival ACI Worldwide Inc .,topStory
ADBE,Adobe Systems Incorporated,20110919,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,topStory
ADBE,Adobe Systems Incorporated,20110919,CORRECTED-EBay builds new division to woo developers , (Corrects 14th paragraph of Sept 16 story to show the ratio of profit for ebay vs developer is $1 to $20  not $1 to $15  as earlier sent),normal
ADBE,Adobe Systems Incorporated,20110919,RPT-EBay builds new division to woo developers , (Corrects in 14th paragraph the ratio of profit for ebay vs developer to $1 to $20  not $1 to $15  as earlier sent),normal
ALKS,Alkermes plc,20110919,Alkermes eyes new European investors ,DUBLIN U.S. drug firm Alkermes Inc  said on Monday it had received a lot of interest in a 25 percent stake held by Elan  that will be up for grabs next year and would like to tempt European investors to buy at least some of it.,topStory
GOOG,Alphabet Inc,20110919,Netflix splits DVD and streaming services ,LOS ANGELES Top video rental company Netflix Inc split off its DVD service to a separate website called Qwikster  setting off another round of complaints from customers already angry at a price increase and sending its shares down 7 percent.,topStory
GOOG,Alphabet Inc,20110919,UPDATE 6-Netflix splits DVD and streaming services , * DVD service renamed Qwikster  with own separate website,normal
GOOG,Alphabet Inc,20110919,HOW TO PLAY IT: Taxing days ahead for wealth investors , THE ISSUE: Obama's proposed new tax plan threatens some sacred cows for upper income investors by adding a minimum tax on those with more than $1 million in income and putting caps on some tax breaks for high-end income earners.,normal
GOOG,Alphabet Inc,20110919,Google and Visa team up on mobile payments ,Google Inc has enlisted Visa Inc in its effort to push mobile payments  striking an agreement to allow Visa account-holders to pay for store purchases with their smartphones.,normal
GOOG,Alphabet Inc,20110919,UPDATE 1-Google  Visa team up on mobile payments , Sept 19 Google Inc  has enlisted Visa Inc  in its effort to push mobile payments  striking an agreement to allow Visa account-holders to pay for store purchases with their smartphones.,normal
GOOG,Alphabet Inc,20110919,CORRECTED - UPDATE 4-Netflix DVDs to be Qwikster  on separate site , (Corrects spelling of Qwikster in headline  paragraph 10),normal
GOOG,Alphabet Inc,20110919,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,normal
GOOG,Alphabet Inc,20110919,CORRECTED-EBay builds new division to woo developers , (Corrects 14th paragraph of Sept 16 story to show the ratio of profit for ebay vs developer is $1 to $20  not $1 to $15  as earlier sent),normal
GOOG,Alphabet Inc,20110919,RPT-EBay builds new division to woo developers , (Corrects in 14th paragraph the ratio of profit for ebay vs developer to $1 to $20  not $1 to $15  as earlier sent),normal
GOOG,Alphabet Inc,20110919,Hulu sale at risk even as new bids are due ,NEW YORK The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
AMZN,Amazoncom Inc,20110919,Netflix splits DVD and streaming services ,LOS ANGELES Top video rental company Netflix Inc split off its DVD service to a separate website called Qwikster  setting off another round of complaints from customers already angry at a price increase and sending its shares down 7 percent.,topStory
AMZN,Amazoncom Inc,20110919,UPDATE 6-Netflix splits DVD and streaming services , * DVD service renamed Qwikster  with own separate website,normal
AMZN,Amazoncom Inc,20110919,CORRECTED - UPDATE 4-Netflix DVDs to be Qwikster  on separate site , (Corrects spelling of Qwikster in headline  paragraph 10),normal
AMZN,Amazoncom Inc,20110919,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,normal
AMZN,Amazoncom Inc,20110919,CORRECTED-EBay builds new division to woo developers , (Corrects 14th paragraph of Sept 16 story to show the ratio of profit for ebay vs developer is $1 to $20  not $1 to $15  as earlier sent),normal
AMZN,Amazoncom Inc,20110919,RPT-EBay builds new division to woo developers , (Corrects in 14th paragraph the ratio of profit for ebay vs developer to $1 to $20  not $1 to $15  as earlier sent),normal
AMZN,Amazoncom Inc,20110919,Hulu sale at risk even as new bids are due ,NEW YORK The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
AMZN,Amazoncom Inc,20110919,RPT-Hulu sale at risk even as new bids are due , NEW YORK  Sept 16 The auction of online video site Hulu has been slowed by recent developments which could derail it completely  according to sources familiar with the process.,normal
AMGN,Amgen Inc,20110919,FDA clears Amgen bone drug for cancer patients ,WASHINGTON U.S. drug regulators approved two new uses for Amgen Inc's osteoporosis drug Prolia  allowing it to be used for bone loss associated with certain cancer treatments.,topStory
AMGN,Amgen Inc,20110919,UPDATE 1-US FDA clears Amgen bone drug for cancer patients , * Approved for certain breast  prostate cancer patients,normal
AAPL,Apple Inc,20110919,Samsung considers legal action over Apple's new iPhone: source ,Samsung Electronics Co is considering legal actions to ban sales of Apple's new iPhone  a source who is familiar with the matter said on Tuesday  in its latest move to defend against claims by the U.S. firm that the South Korean firm had copied its product designs.,topStory
AAPL,Apple Inc,20110919,Analysis: Netflix's new name is slow to catch hold ,It's difficult to remember  harder to spell and may go down as one of the biggest brand blunders in recent memory -- meet Qwikster.,normal
AAPL,Apple Inc,20110919,Wall Street snaps winning streak on Europe uncertainty ,NEW YORK Stocks fell on Monday but staged a late comeback after fears of a looming Greek debt default diminished on news of a possible deal to advance new bailout funds to Greece. | Video ,normal
AAPL,Apple Inc,20110919,HOW TO PLAY IT: Taxing days ahead for wealth investors , THE ISSUE: Obama's proposed new tax plan threatens some sacred cows for upper income investors by adding a minimum tax on those with more than $1 million in income and putting caps on some tax breaks for high-end income earners.,normal
AAPL,Apple Inc,20110919,US STOCKS-Wall St snaps winning streak on Europe uncertainty , * Late comeback follows report of possible bailout deal,normal
AAPL,Apple Inc,20110919,US STOCKS-Wall Street slides on European debt fears , * European policymakers fail to calm growing debt fears,normal
AAPL,Apple Inc,20110919,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,normal
AAPL,Apple Inc,20110919,CORRECTED-EBay builds new division to woo developers , (Corrects 14th paragraph of Sept 16 story to show the ratio of profit for ebay vs developer is $1 to $20  not $1 to $15  as earlier sent),normal
AAPL,Apple Inc,20110919,RPT-EBay builds new division to woo developers , (Corrects in 14th paragraph the ratio of profit for ebay vs developer to $1 to $20  not $1 to $15  as earlier sent),normal
AAPL,Apple Inc,20110919,German stocks - Factors to watch on September 19 , FRANKFURT  Sept 19 The DAX top-30 index  looked set to open 2.5 percent lower on Monday  according to premarket data from brokerage Lang & Schwarz at 0615 GMT.,normal
ARLZ,Aralez Pharmaceuticals Inc,20110919,UPDATE 1-Aurizon finds high-grade gold zones at Quebec property , Sept 19 Canada's Aurizon Mines said it has found two new high-grade gold zones at its Marban Block property in the Abitibi region of Quebec.,topStory
ATRC,AtriCure Inc,20110919,U.S. FDA advisory meetings through Nov. 16 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
BIDU,Baidu Inc,20110919,China's Sina to step-up censorship of Weibo , BEIJING  Sept 19 China's biggest micro-blog operator  Sina Corp   is enhancing self-censorship to stamp out "rumours" as it copes with explosive growth in user numbers  its chief executive Charles Chao said  according to a news report on Monday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DLBL,Barclays PLC,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
DTYL,Barclays PLC,20110919,UPDATE 1-UBS shows need for UK bank reform-Cable , * Adds pressure on Bank of England to reopen QE programme,topStory
CSTR,CapStar Financial Holdings Inc,20110919,Netflix splits DVD and streaming services ,LOS ANGELES Top video rental company Netflix Inc split off its DVD service to a separate website called Qwikster  setting off another round of complaints from customers already angry at a price increase and sending its shares down 7 percent.,topStory
CSTR,CapStar Financial Holdings Inc,20110919,UPDATE 6-Netflix splits DVD and streaming services , * DVD service renamed Qwikster  with own separate website,normal
CSTR,CapStar Financial Holdings Inc,20110919,CORRECTED - UPDATE 4-Netflix DVDs to be Qwikster  on separate site , (Corrects spelling of Qwikster in headline  paragraph 10),normal
CETV,Central European Media Enterprises Ltd,20110919,Broadcaster CME delays guidance  investor day , PRAGUE  Sept 19 Central European Media Enterprises (CME)  will release its 2011 guidance with its third-quarter results presentation  delaying this week's expected announcement  CME's vice president for communication Romana Wyllie said on Monday.,topStory
CSCO,Cisco Systems Inc,20110919,Tech start-up targets emerging corporate mobile mkt , HELSINKI  Sept 19 Venture capital-backed telecom gear startup SpiderCloud Wireless aims to tap into the emerging market of small wireless networks which can be used inside offices  shopping centers and stadiums.,topStory
CME,CME Group Inc,20110919,Jefferies sues Nasdaq over alleged losses on swaps ,NEW YORK Jefferies Group Inc  sued Nasdaq OMX Group Inc  to recover tens of millions of dollars of alleged losses from being fraudulently induced to enter interest rate swap futures contracts.,topStory
CME,CME Group Inc,20110919,UPDATE 3-Jefferies sues Nasdaq over alleged losses on swaps , * Lawsuit over clearinghouse IDCG without merit - Nasdaq  (Adds lawyer comment  background on clearinghouses),normal
