AKAM,Akamai Technologies Inc,20111004,Level 3 says to cut hundreds of jobs in U.S. ,NEW YORK Level 3 Communications Inc  expects to lay off hundreds of employees  mostly in the United States  as part of its effort to integrate its $1.9 billion Global Crossing purchase  a top executive said.,topStory
GOOG,Alphabet Inc,20111004,U.S. senator urges Twitter diplomacy in Latin America ,WASHINGTON The United States should move aggressively to use social media such as Twitter and Facebook to promote its agenda in Latin America and help newly wired citizens cement political gains  said a new U.S. report obtained by Reuters.,topStory
GOOG,Alphabet Inc,20111004,New Apple iPhone fails to wow investors  fans ,CUPERTINO  California Apple Inc's newest iPhone left Wall Street and fans wishing for more than a souped-up version of last year's device  igniting a rare storm of criticism and disappointment on the Internet. | Video ,normal
GOOG,Alphabet Inc,20111004,UPDATE 7-New Apple iPhone fails to wow investors  fans , * Experts single out voice-powered commands  (Adds links  details on features  analyst's comments)),normal
GOOG,Alphabet Inc,20111004,How to Play It: Finding the right channels for investors ,THE ISSUE: The new TV season and watershed events such as the Olympics and the 2012 elections are likely to attract big advertising dollars  focusing investor attention on media and entertainment. What networks will attract the most investor interest  and can internet rivals Google and Yahoo compete?,normal
GOOG,Alphabet Inc,20111004,CORRECTED - How to Play It: Finding the right channels for investors , (Corrects second paragraph to say CBS gained the most amount of viewers in the 2010-2011 season  not the upcoming 2011-2012 period),normal
GOOG,Alphabet Inc,20111004,RIM shares yo-yo on speculation  Apple event ,TORONTO Shares in Research In Motion ended 2 percent higher in yo-yo trade on Tuesday after rival Apple hinted at threats to RIM's core corporate market  but failed to wow fans and investors with its latest iPhone.,normal
GOOG,Alphabet Inc,20111004,Disney moves in on Angry Birds with Swampy game ,LOS ANGELES/NEW YORK It's not surprising  perhaps  that a game based on a sewer-dwelling alligator named "Swampy" ranks as the top paid app for iPhones and iPads. What's surprising is that the game is a product of Walt Disney Co.,normal
GOOG,Alphabet Inc,20111004,UPDATE 2-RIM shares yo-yo on speculation  Apple event , * Apple's iMessage threatens to neutralize RIM's messenger,normal
GOOG,Alphabet Inc,20111004,Disney moves in on Angry Birds with Swampy game ,   * Gator 'Swampy' lifts Disney game to top of Apple charts,normal
GOOG,Alphabet Inc,20111004,Fund tycoon Rajaratnam fights for less prison time ,NEW YORK Convicted hedge fund tycoon Raj Rajaratnam is fighting to the last minute to convince the judge who will decide his fate next week to imprison him for far less than the 19-1/2 to 24-1/2 years demanded by prosecutors.,normal
AMZN,Amazoncom Inc,20111004,Disney moves in on Angry Birds with Swampy game ,LOS ANGELES/NEW YORK It's not surprising  perhaps  that a game based on a sewer-dwelling alligator named "Swampy" ranks as the top paid app for iPhones and iPads. What's surprising is that the game is a product of Walt Disney Co.,topStory
AMZN,Amazoncom Inc,20111004,Disney moves in on Angry Birds with Swampy game ,   * Gator 'Swampy' lifts Disney game to top of Apple charts,normal
AMZN,Amazoncom Inc,20111004,Cloud computing disappoints early adopters: survey ,LONDON Few organizations have moved to cloud computing -- the delivery of computing as a service from remote centers -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,normal
AMZN,Amazoncom Inc,20111004,Cloud computing disappoints early adopters-survey , LONDON  Oct 4 Few organisations have moved to cloud computing -- the delivery of computing as a service from remote centres -- and of those that have  many are disappointed with the results  a survey published on Tuesday found.,normal
AMED,Amedisys Inc,20111004,Home health stocks crash on criminal probe speculation ,Shares of Amedisys   Gentiva Health  and LHC Group  tumbled for a second straight day on Tuesday on fears that the home healthcare providers may face criminal investigations after a U.S. Senate committee accused them of "gaming" the Medicare system.,topStory
