ATVI,Activision Blizzard Inc,20111201,Borrowing from cable  game cos. seek subscribers ,NEW YORK Video game companies want to turn gamers from one-time purchasers into subscribers who generate a steady and predictable revenue stream to boost business and protect against economic uncertainty.,topStory
AMZN,Amazoncom Inc,20111201,Google in talks to take on Amazon in retail: report ,Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc  the Wall Street Journal reported.,topStory
AMZN,Amazoncom Inc,20111201,Google in talks to take on Amazon in retail -WSJ ,Dec 2 Google Inc is pondering an Internet service to help consumers shop online and take advantage of same-day delivery  hoping to stanch the loss of Web traffic to Amazon.com Inc   the Wall Street Journal reported.,normal
AMZN,Amazoncom Inc,20111201,UPDATE 3-Costly Kindle fight hurting Barnes & Noble ,Dec 1 Barnes & Noble Inc's expensive investments to keep its Nook e-reader competitive with Amazon's Kindle led to an unexpected quarterly loss for the bookseller  sending its shares down as much as 24 percent on Thursday.,normal
AAPL,Apple Inc,20111201,Insight: Apple vs Samsung lawsuit full of secret combat ,The biggest legal battle for the technology industry is playing out in a federal court in Silicon Valley  where Apple is trying to stop Samsung from selling Galaxy phones and tablets in the United States.,topStory
AAPL,Apple Inc,20111201,INSIGHT-Apple vs Samsung lawsuit full of secret combat ,Dec 1 The biggest legal battle for the technology industry is playing out in a federal court in Silicon Valley  where Apple is trying to stop Samsung from selling Galaxy phones and tablets in the United States.,normal
AAPL,Apple Inc,20111201,Apple's Siri irks abortion rights advocates ,SAN FRANCISCO Apple Inc is facing its first major controversy over well-received voice software Siri  as the cutting-edge iPhone search service ran afoul of abortion rights advocates.,normal
AAPL,Apple Inc,20111201,Apple's Siri irks abortion rights advocates ,SAN FRANCISCO  Dec 1 Apple Inc is facing its first major controversy over well-received voice software Siri  as the cutting-edge iPhone search service ran afoul of abortion rights advocates.,normal
AAPL,Apple Inc,20111201,Disney CEO Iger buys $1 million worth of Apple stock ,Apple Inc's newest board member  Walt Disney Co Chief Executive Officer Bob Iger  bought about $1 million worth of the iPhone maker's shares earlier this week  a symbolic gesture of confidence in the prospects of the company.,normal
AAPL,Apple Inc,20111201,Disney CEO Iger buys $1 mln worth of Apple stock ,Dec 1 Apple Inc's newest board member  Walt Disney Co Chief Executive Officer Bob Iger  bought about $1 million worth of the iPhone maker's shares earlier this week  a symbolic gesture of confidence in the prospects of the company.,normal
AAPL,Apple Inc,20111201,NTT Docomo denies has reached agreement with Apple ,TOKYO  Dec 1 An NTT Docomo Inc  spokesperson denied on Thursday that the company had reached a basic agreement with Apple Inc on selling its popular iPhone in Japan.,normal
