ALKS,Alkermes plc,20120906,BRIEF-Moody's raises Alkermes' CFR to B1 ,Sept 6 Alkermes Inc:  * Moody's rates alkermes' term loan b1; upgrades cfr to b1  * Rpt-moody's rates alkermes' term loan b1; upgrades cfr to b1,topStory
AMZN,Amazoncom Inc,20120906,Amazon takes on Apple with larger  cheaper Kindle Fires ,SANTA MONICA  California Amazon.com Inc unveiled larger Kindle Fire tablets on Thursday  challenging Apple Inc's dominant iPad with lower prices and a trove of digital content that Amazon hopes will win it a bigger share of the booming tablet market.,topStory
AMZN,Amazoncom Inc,20120906,UPDATE 7-Amazon takes on Apple with larger  cheaper Kindle Fires ,* Top Fire  with 64GB of storage and 4G wireless  costs $599,normal
AMZN,Amazoncom Inc,20120906,Judge approves U.S. settlement with publishers over e-books ,* Apple  5 publishers accused of conspiring to raise prices,normal
AMZN,Amazoncom Inc,20120906,Staples to carry new Kindle Fire models as early as this month ,No. 1 U.S. office supply chain Staples Inc said its U.S. stores will carry some of the larger  faster  aggressively priced Kindle Fire tablets that Amazon.com Inc unveiled on Thursday  starting as early as later this month. | Video ,normal
AMZN,Amazoncom Inc,20120906,Staples to carry new Kindle Fire models as early as this month ,Sept 6 No. 1 U.S. office supply chain Staples Inc said its U.S. stores will carry some of the larger  faster  aggressively priced Kindle Fire tablets that Amazon.com Inc unveiled on Thursday  starting as early as later this month.,normal
AMZN,Amazoncom Inc,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO Amazon.com Inc's decision to use a processor made by Texas Instruments Inc for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,normal
AMZN,Amazoncom Inc,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO  Sept 6 Amazon.com Inc's  decision to use a processor made by Texas Instruments Inc  for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,normal
AMZN,Amazoncom Inc,20120906,BRIEF-Amazon to sell 7 inch Kindle Fire tablets in Europe starting this fall-exec ,Sept 6 Amazon.com to sell Kindle Fire and 7 inch Kindle Fire HD tablets in Europe starting this fall-company executive.,normal
AMZN,Amazoncom Inc,20120906,BRIEF-Amazon says new 8.9-inch Kindle Fire HD tablet costs $299 ,Sept 6 Amazon.com said on Thursday that its new 8.9 inch Kindle Fire HD tablet costs $299 and ships on Nov 20. The company also unveiled a new 7 inch Kindle Fire HD tablet with 16GB storage and a $199 price tag.,normal
AMZN,Amazoncom Inc,20120906,BRIEF-Amazon.com unveils new kindle fire for $159 ,LOS ANGELES  Sept 6 Amazon.Com Inc :  * Unveils new kindle fire for $159  * Upgraded kindle fire is 40 percent faster  has longer battery life  * Amazon unveils kindle fire hd with 8.9 inch screen,normal
AAPL,Apple Inc,20120906,UPDATE 7-Amazon takes on Apple with larger  cheaper Kindle Fires ,* Top Fire  with 64GB of storage and 4G wireless  costs $599,topStory
AAPL,Apple Inc,20120906,Judge approves U.S. settlement with publishers over e-books ,WASHINGTON A judge approved on Thursday a Justice Department settlement with three publishers accused of conspiring with Apple Inc and other publishers to push up the prices of electronic books.,normal
AAPL,Apple Inc,20120906,Judge approves U.S. settlement with publishers over e-books ,* Apple  5 publishers accused of conspiring to raise prices,normal
AAPL,Apple Inc,20120906,Audience says Apple may not use its tech in new iPhones ,Audience Inc  which makes chips used in Apple Inc's iPhones  said its top customer is unlikely to use its technology for the latest iPhone  sending Audience shares down 58 percent in extended trading.,normal
AAPL,Apple Inc,20120906,Samsung's challenge: keep the customer ,Samsung Electronics has built global leadership in mobile phones  but in a fickle industry looks more vulnerable than its nemesis Apple Inc without an 'ecosystem' - software  services  content and customer support - to keep its users loyal.,normal
AAPL,Apple Inc,20120906,REFILE-UPDATE 1-Samsung challenge: sold the phone  how to keep the customer ,Sept 6 Samsung Electronics has built global leadership in mobile phones  but in a fickle industry looks more vulnerable than its nemesis Apple Inc  without an 'ecosystem' - software  services  content and customer support - to keep its users loyal.,normal
