AMZN,Amazoncom Inc,20121011,Amazon gets FCC's OK to sell Kindle Fire 4G tablets ,SAN FRANCISCO Amazon.com Inc received approval from the U.S. Federal Communications Commission to sell its high-end Kindle Fire 4G tablets  a company spokeswoman said on Wednesday.,topStory
AAPL,Apple Inc,20121011,Google in industry's "defining fight" with Apple  Schmidt says ,SAN FRANCISCO Google Inc Executive Chairman Eric Schmidt expects more than a billion mobile devices around the world to be running its Android software within a year  intensifying a battle with Apple Inc that he called a "defining fight" of the industry.,topStory
AAPL,Apple Inc,20121011,S.Korea-Market Factors to watch on Oct 12 ,SEOUL  Oct 12 Following is a list of events in South Korea as well as news stories and press reports that may influence financial markets.          TOP STORIES >US court clears Samsung phone  hands Apple setback  >S.Korea c.bank cuts rates  seen on hold for while   >Google in industry's "defining fight" with Apple              MARKETS >KOSPI tumble to one-month low in weeklong loss      >S.Korea won pares losses on exporters  rate cut          MARKET SNAPSHOTS     * U.,normal
AAPL,Apple Inc,20121011,U.S. court clears Samsung phone  hands Apple setback ,WASHINGTON/SAN FRANCISCO A U.S. appeals court overturned a pretrial sales ban against Samsung Electronics Co Ltd's Galaxy Nexus smartphone  dealing a setback to Apple Inc in its battle against Google Inc's increasingly popular mobile software. | Video ,normal
AAPL,Apple Inc,20121011,UPDATE 3-U.S. court clears Samsung phone  hands Apple setback ,WASHINGTON/SAN FRANCISCO  Oct 11 A U.S. appeals court overturned a pretrial sales ban against Samsung Electronics Co Ltd's Galaxy Nexus smartphone  dealing a setback to Apple Inc in its battle against Google Inc's increasingly popular mobile software.,normal
AAPL,Apple Inc,20121011,US STOCKS-Wall St flat as Apple cuts jobs data gains ,* Apple shares fall after setback in Samsung case     * Sprint volume surges  shares jump on Softbank deal reports     * Dow off 0.14 pct  S&P up 0.02 pct  Nasdaq down 0.08 pct       By Rodrigo Campos     NEW YORK  Oct 11 U.S. stocks ended flat on Thursday after gains brought by a sign of improvement in the labor market were erased in part by a drop in Apple shares after a legal setback in a court ruling.     Apple fell 2 percent to $628.10 after a U.S. appeals court overturned a pre,normal
AAPL,Apple Inc,20121011,US STOCKS SNAPSHOT-Wall St ends mixed as Apple dents gains ,NEW YORK  Oct 11 U.S. stocks ended little changed on Thursday as gains brought by a sign of improvement in the labor market were capped by a drop in Apple shares after a legal setback in a court ruling.     The Dow Jones industrial average was down 18.58 points  or 0.14 percent  at 13 326.39. The Standard & Poor's 500 Index was up 0.28 point  or 0.02 percent  at 1 432.84. The Nasdaq Composite Index was down 2.40 points  or 0.08 percent  at 3 049.38.,normal
AAPL,Apple Inc,20121011,UPDATE 2-U.S. court clears Samsung phone  setback for Apple ,WASHINGTON  Oct 11 A U.S. appeals court overturned a preliminary injunction on the sale of Samsung Electronics Co Ltd's Galaxy Nexus smartphone on Thursday  dealing a setback to Apple Inc in its battle against Google Inc's increasingly popular mobile software.,normal
AAPL,Apple Inc,20121011,US STOCKS-Wall St flat as Apple dents gains from jobless data ,* Apple shares fall 1.4 percent after setback in Samsung case,normal
AAPL,Apple Inc,20121011,UPDATE 1-Google in industry's "defining fight" with Apple  Schmidt says ,SAN FRANCISCO  Oct 10 Google Inc  Executive Chairman Eric Schmidt expects more than a billion mobile devices around the world to be running its Android software within a year  intensifying a battle with Apple Inc  that he called a "defining fight" of the industry.,normal
AAPL,Apple Inc,20121011,Google vs Apple the industry's "defining fight" -Schmidt ,SAN FRANCISCO  Oct 10 Google Inc  Executive Chairman Eric Schmidt expects more than a billion mobile devices around the world to be running its Android software within a year  intensifying a battle with Apple Inc  that he called a "defining fight" of the industry.,normal
CSCO,Cisco Systems Inc,20121011,Cisco says Huawei misstated facts in 2003 copyright case ,NEW YORK Cisco Systems on Thursday accused Huawei Technologies Co Ltd of misstating facts concerning their 2003 copyright infringement case and released segments from what it said was a previously sealed document.,topStory
CSCO,Cisco Systems Inc,20121011,Cisco says Huawei misstated facts in 2003 copyright case ,NEW YORK  Oct 11 Cisco Systems on Thursday accused Huawei Technologies Co Ltd of misstating facts concerning their 2003 copyright infringement case and released segments from what it said was a previously sealed document.,normal
CME,CME Group Inc,20121011,Analysis: Commodity exchange battleground switches to "swaps" ,CHICAGO Two of the world's top commodity exchange powerhouses are scrambling to turn new regulations to their advantage in an important but largely hidden piece of their business  the trading and clearing of energy swaps.,topStory
DLTR,Dollar Tree Inc,20121011,Discount retailer Dollar Tree's shares fall on weak outlook ,Shares of Dollar Tree Inc  fell 10 percent after the retailer said it will post third-quarter sales at the lower end of its earlier forecast because of cautious consumer spending and higher gas prices.,topStory
DLTR,Dollar Tree Inc,20121011,BRIEF-Dollar Tree shares off 7.3 percent  volume high ,NEW YORK  Oct 11 Dollar Tree Inc :  * Shares off 7.3 percent in more than twice 10-day average volume,normal
ERIC,Ericsson,20121011,BRIEF-Ericsson signs 500 mln euro loan agreement with EIB ,STOCKHOLM  Oct 11 ERICSSON :  * Ericsson signs loan agreement with the European investment bank  * Says EUR 500 million loan supports ericsson's research and development,topStory
GPOR,Gulfport Energy Corporation,20121011,BRIEF-Moody's rates Gulfport's notes B3  assigns B3 CFR ,Oct 12 Moody's Investors Service assigned first-time ratings to Gulfport Energy Corporation (Gulfport) including a B3 Corporate Family Rating (CFR) and a B3 rating to Gulfport's proposed $250 senior unsecured notes. Moody's also assigned a SGL-2 Speculative Grade Liquidity Rating  reflecting good liquidity. The outlook is stable.,topStory
