ALGN,Align Technology Inc,20121017,BRIEF-Align Technology shares fall 11.1 pct after the bell following prelim results ,NEW YORK  Oct 17 Align Technology Inc :  * Shares fell 11.1 percent after the bell after it announced preliminary results.,topStory
AMZN,Amazoncom Inc,20121017,Amazon makes big Kindle push in U.S. schools ,SAN FRANCISCO Amazon.com Inc announced an initiative on Wednesday to get its Kindle e-readers and tablet computers into schools  entering a market that has been particularly successful for rival Apple Inc and its iPad device.,topStory
AMZN,Amazoncom Inc,20121017,UPDATE 1-Amazon makes big Kindle push in U.S. schools ,SAN FRANCISCO  Oct 17 Amazon.com Inc  announced an initiative on Wednesday to get its Kindle e-readers and tablet computers into schools  entering a market that has been particularly successful for rival Apple Inc and its iPad device.,normal
AMZN,Amazoncom Inc,20121017,Amazon makes big Kindle push in U.S. schools ,SAN FRANCISCO  Oct 17 Amazon.com Inc  announced an initiative on Wednesday to get its Kindle e-readers and tablet computers into schools  entering a market that has been particularly successful for rival Apple Inc and its iPad device.,normal
AAPL,Apple Inc,20121017,Apple sets October 23 event  smaller iPad expected ,SAN FRANCISCO Apple Inc on Tuesday invited members of the media to an event next week where it is expected to challenge rivals Amazon.com Inc and Google Inc with a less expensive and smaller version of its popular iPad tablet.,topStory
AAPL,Apple Inc,20121017,REFILE-UPDATE 1-Apple sets Oct 23 event  smaller iPad expected ,SAN FRANCISCO  Oct 16 Apple Inc on Tuesday invited members of the media to an event next week where it is expected to challenge rivals Amazon.com Inc and Google Inc with a less expensive and smaller version of its popular iPad tablet.,normal
ASML,ASML Holding NV,20121017,S.Korea-Market Factors to watch on Oct 18 ,SEOUL  Oct 18 Following is a list of events in South Korea as well as news stories and press reports that may influence financial markets.          TOP STORIES  >Chip gear maker ASML buys Cymer for $2.5 bln        >Brazil's Batista to buy more OSX stock; shares jump  >Germany chops 2013 growth forecast on euro crisis     >EU  U.S. to negotiate free-trade deal from 2013     >Ssangyong enters India  sees big opportunity                        MARKETS >KOSPI rises 0.7 ,topStory
ASML,ASML Holding NV,20121017,Chip gear maker ASML buys Cymer for $2.5 billion ,AMSTERDAM ASML  the world's leading provider of tools for making computer chips  is buying U.S. group Cymer for 1.95 billion euros ($2.5 billion) to get control of a light-based technology crucial to making smaller  smarter chips of the future.,normal
ASML,ASML Holding NV,20121017,UPDATE 4-Chip gear maker ASML buys Cymer for $2.5 bln ,* Cymer buy key to development of future smartphone chips     * ASML 3rd-qtr net profit 275 mln euros vs 278 mln forecast     * Sees 4th-qtr sales of about 1 bln euros     * ASML shares close down 5.25 pct       By Roberta Cowan     AMSTERDAM  Oct 17 ASML  the world's leading provider of tools for making computer chips  is buying U.S. group Cymer for 1.95 billion euros ($2.5 billion) to get control of a light-based technology crucial to making  smaller  smarter chips of the future.  ,normal
ASML,ASML Holding NV,20121017,BRIEF-Cymer jumps in premarket; to be acquired by ASML ,NEW YORK  Oct 17 Cymer Inc :  * Jumps 65.2 percent to $79 in premarket; to be acquired by ASML for $2.5 billion,normal
ASML,ASML Holding NV,20121017,CORRECTED-ASML Q3 in line  sees Q4 sales about 1 billion euros ,(In headline and text  corrects Q4 sales to "about 1 billion euros"  from "above 1 bln euros".),normal
ASML,ASML Holding NV,20121017,ASML shares fall after takeover  weakness at memory customers ,AMSTERDAM Shares in Dutch chip equipment maker ASML  fell 4.5 percent to the lowest level in almost four months after the company announced a 1.95 billion euro ($2.5 billion) takeover  and said it had seen weakness among its memory chip customers.,normal
ASML,ASML Holding NV,20121017,UPDATE 1-ASML to buy Cymer for $2.5 bln ,* ASML Q3 sales 1.229 billion euros  vs forecast of 1.2 bln euros,normal
ASML,ASML Holding NV,20121017,RPT-ASML issues 9 pct of new shares to help fund Cymer takeover ,AMSTERDAM  Oct 17 Dutch chip equipment maker ASML will issue just over 9 percent of its current outstanding share capital in new shares to help fund the 1.95 billion euros ($2.5 billion) takeover of Cymer Inc  a U.S.-listed supplier of lithography light sources  ASML chief financial officer said on Wednesday.,normal
ASML,ASML Holding NV,20121017,ASML issues 9 pct of new shares to help fund Cymer takeover ,AMSTERDAM  Oct 17 Dutch chip equipment maker ASML will issue just over 9 percent of its current outstanding share capital in new shares to help fund the 1.95 billion euros ($2.5 billion) takeover of Cymer Inc  a U.S.-listed supplier of lithography light sources  ASML chief financial officer said on Wednesday.,normal
ASML,ASML Holding NV,20121017,ASML to buy chip light maker Cymer for $2.5 billion ,AMSTERDAM ASML   the world's top chip equipment maker  said on Wednesday it has agreed to buy Cymer Inc   a U.S.-listed supplier of lithography light sources  for 1.95 billion euros ($2.5 billion) to speed up the development of a new chip manufacturing technology. ($1 = 0.7679 euros),normal
CAR,Avis Budget Group Inc,20121017,TEXT-Fitch affirms Avis Budget Group Inc ,Oct 17 - Fitch Ratings has affirmed the long-term Issuer Default Ratings (IDR) of Avis Budget Group  Inc. (ABG) and its debt-issuing subsidiary Avis Budget Car Rental  LLC (ABC) at 'B+' with a Positive Rating Outlook. Concurrently  Fitch has affirmed the senior secured ratings and senior  unsecured ratings at 'BB+/RR1' and 'B+/RR4'  respectively.  The affirmations and Positive Outlook reflect the strength of ABG's dual brand  strategy  its leading position in the on-airport car rental market  su,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DLBL,Barclays PLC,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
