AMCX,AMC Networks Inc,20121101,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov. 8 - please click on or .  ** For events before Nov. 6 - please click on or .   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    18     1.41 08 Nov           Q3 2012 Cam,topStory
AAPL,Apple Inc,20121101,Microsoft pushes new Windows to developers ,SEATTLE Days after launching Windows 8  Microsoft Corp is mounting a strong campaign to win over the software developers it needs to kick-start its new operating system.,topStory
AAPL,Apple Inc,20121101,First iPad mini teardown reveals Samsung display ,SAN FRANCISCO Apple Inc's iPad mini uses a display from South Korea's Samsung Electronics Co Ltd  one of Apple's major suppliers and also its fiercest rival in the global mobile-device market that the two companies dominate.,normal
AAPL,Apple Inc,20121101,Microsoft pushes new Windows to developers ,SEATTLE  Nov 1 Days after launching Windows 8  Microsoft Corp is mounting a strong campaign to win over the software developers it needs to kick-start its new operating system.,normal
AAPL,Apple Inc,20121101,Court in UK tells Apple to change statement on Samsung case ,LONDON Apple must re-write a statement posted on its website acknowledging that Samsung did not infringe on its registered designs for tablet computers  and place it more prominently on its homepage  a court in the UK ruled on Thursday.,normal
AAPL,Apple Inc,20121101,Court in UK tells Apple to change statement on Samsung case ,LONDON  Nov 1 Apple must re-write a statement posted on its website acknowledging that Samsung  did not infringe on its  registered designs for tablet computers  and place it more prominently on its homepage  a court in the UK ruled on Thursday.,normal
AAPL,Apple Inc,20121101,UPDATE 2-First iPad mini teardown reveals Samsung display ,* IPad mini hits store shelves in 34 countries Friday     * First dismantling shows Samsung display -iFixit       By Noel Randewich     SAN FRANCISCO  Nov 1 Apple Inc's iPad mini uses a display from South Korea's Samsung Electronics Co Ltd  one of Apple's major suppliers and also its fiercest rival in the global mobile-device market that the two companies dominate.         Analysts say the Silicon Valley-based iPhone maker is trying to wean itself off its reliance on Samsung  as both,normal
AAPL,Apple Inc,20121101,RPT-Apple's Cook fields his A-team before a wary Street ,SAN FRANCISCO  Oct 31 Apple Inc Chief Executive Tim Cook's new go-to management team of mostly familiar faces failed to drum up much excitement on Wall Street  driving its shares to a three-month low on Wednesday.,normal
AAPL,Apple Inc,20121101,Apple's iPad mini includes LCD display driver from rival Samsung ,SAN FRANCISCO  Nov 1 Apple Inc's new iPad mini appears to include an LCD display driver from South Korea's Samsung Electronics Co Ltd  a key supplier but also the Silicon Valley tech giant's fiercest rival in a global mobile-device war.,normal
AAPL,Apple Inc,20121101,Apple's Cook fields his A-team before a wary Wall Street ,SAN FRANCISCO Apple Inc Chief Executive Tim Cook's new go-to management team of mostly familiar faces failed to drum up much excitement on Wall Street  driving its shares to a three-month low on Wednesday.,normal
AAPL,Apple Inc,20121101,Apple's Cook fields his A-team before a wary Street ,SAN FRANCISCO  Oct 31 Apple Inc Chief Executive Tim Cook's new go-to management team of mostly familiar faces failed to drum up much excitement on Wall Street  driving its shares to a three-month low on Wednesday.,normal
AAWW,Atlas Air Worldwide Holdings,20121101,Atlas Air cuts forecast on air cargo market softness ,Cargo carrier Atlas Air Worldwide Holdings Inc  reported a lower-than-expected quarterly profit on Thursday and cut its full-year forecast  citing a soft air freight market  and its shares fell 16 percent.,topStory
AAWW,Atlas Air Worldwide Holdings,20121101,UPDATE 1-Atlas Air cuts forecast on air cargo market softness ,Nov 1 Cargo carrier Atlas Air Worldwide Holdings Inc reported a lower-than-expected quarterly profit on Thursday and cut its full-year forecast  citing a soft air freight market  and its shares fell 16 percent.,normal
AAWW,Atlas Air Worldwide Holdings,20121101,Atlas Air cuts full-year forecast on air freight market softness ,Nov 1 Cargo carrier Atlas Air Worldwide Holdings Inc posted a higher quarterly profit on Thursday but cut its full-year forecast  citing a softer-than-expected air freight market.,normal
ADP,Automatic Data Processing Inc,20121101,Private sector added 158 000 jobs in Oct: ADP ,NEW YORK Companies added 158 000 jobs in October  data from a payrolls processor showed on Thursday in a revamped report on the private sector labor market.,topStory
ADP,Automatic Data Processing Inc,20121101,Instant View: Oct ADP private jobs up 158 000; weekly jobless claims fall ,NEW YORK U.S. companies added 158 000 jobs in October  data from payrolls processor ADP showed on Thursday in a revamped report on the private sector labor market.,normal
CAR,Avis Budget Group Inc,20121101,Avis Budget forecast hit by Europe slowdown ,Car rental company Avis Budget Group Inc's  quarterly profit missed analysts' estimates and the company forecast full-year profit below expectations as a weak European economy hurt travel demand.,topStory
