ATVI,Activision Blizzard Inc,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
MDRX,Allscripts Healthcare Solutions Inc,20121108,Allscripts to evaluate strategic alternatives  shares rise ,Allscripts Healthcare Solutions Inc said it is evaluating its future  confirming a report that the healthcare technology firm may sell itself  sending its shares up 7 percent.,topStory
MDRX,Allscripts Healthcare Solutions Inc,20121108,UPDATE 1-Allscripts to evaluate strategic alternatives  shares rise ,Nov 8 Allscripts Healthcare Solutions Inc  said it is evaluating its future  confirming a report that the healthcare technology firm may sell itself  sending its shares up 7 percent.,normal
MDRX,Allscripts Healthcare Solutions Inc,20121108,CORRECTED-Allscripts to evaluate strategic alternatives ,(Corrects day to Thursday in paragraph 3. Corrects paragraph 4 to say HealthCor is one of the largest investors. Also  corrects earnings outlook to 77-83 cents per share in paragraph 6.),normal
ASPS,Altisource Portfolio Solutions SA,20121108,TEXT-S&P ratings - Altisource Portfolio Solutions S.A. ,===============================================================================,topStory
AMZN,Amazoncom Inc,20121108,Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO Amazon.com Inc unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,topStory
AMZN,Amazoncom Inc,20121108,Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO Amazon.com Inc unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,normal
AMZN,Amazoncom Inc,20121108,UPDATE 1-Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO  Nov 8 Amazon.com Inc  unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,normal
AMCX,AMC Networks Inc,20121108,AMC beats as hit shows propel revenue  shares soar ,AMC Networks Inc  reported better-than-expected quarterly results as the soaring popularity of shows such as "Walking Dead" and "Mad Men" boosted revenue  sending its shares up as much as 14 percent to an all-time high.,topStory
AMCX,AMC Networks Inc,20121108,UPDATE 2-AMC beats as hit shows propel revenue  shares soar ,Nov 8 AMC Networks Inc reported better-than-expected quarterly results as the soaring popularity of shows such as "Walking Dead" and "Mad Men" boosted revenue  sending its shares up as much as 14 percent to an all-time high.,normal
AMCX,AMC Networks Inc,20121108,AMC Networks reports 17 percent rise in revenue ,Nov 8 AMC Networks Inc  home to popular shows such as "Walking Dead" and "Mad Men " reported a 17 percent rise in revenue on higher income from its national networks.,normal
AMCX,AMC Networks Inc,20121108,DIARY-NON S&P WEEK AHEAD ,THOMSON REUTERS  Diary of Non S&P 500 Corporate earnings for U.S. companies     from Nov 8 to Nov 21  2012.        S&P 500 Earnings - Monthly           S&P 500 Earnings - Day Ahead        S&P 500 Earnings - Weekly           Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   Meetings - Day Ahead                Economic Indicators                  IPO events                          Dividends               ,normal
AMCX,AMC Networks Inc,20121108,DIARY-NON S&P - DAY AHEAD ,THOMSON REUTERS  Non-S&P Corporate earnings for US Companies for Thursday  November 8  2012.     S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               S&P 500 Earnings - Monthly          ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   Meetings - Day Ahead                Economic Indicators                  Dividends                            Daily earnings hits & misses         Federa,normal
AAPL,Apple Inc,20121108,AT&T extends FaceTime to tiered plans for high-speed customers ,NEW YORK  Nov 8 AT&T Inc said on Thursday that it will expand availability of Apple Inc's  FaceTime video application to all customers of its usage-based high-speed data services after its limit of the service to certain customers sparked a controversy.,topStory
AAPL,Apple Inc,20121108,Galaxy S3 takes No. 1 position in smartphone market: research ,Samsung Electronics' Galaxy S3 became the world's best-selling smartphone model last quarter  pushing aside Apple Inc's iPhone  which has dominated the chart for more than two years  research firm Strategy Analytics said on Thursday.,normal
AAPL,Apple Inc,20121108,Sony says online network chief quits ,TOKYO Sony Corp's network strategy chief  Tim Schaaff  will quit next month after leading the Japanese company's efforts to build a unified online content delivery platform to compete with Apple Inc  for the past seven years.,normal
AAPL,Apple Inc,20121108,Sony says online network chief quits ,TOKYO  Nov 8 Sony Corp's network strategy chief  Tim Schaaff  will quit next month after leading the Japanese company's efforts to build a unified online content delivery platform to compete with Apple Inc for the past seven years.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DLBL,Barclays PLC,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DTYL,Barclays PLC,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
CECO,Career Education Corporation,20121108,Career Education to cut jobs  shut campuses ,Career Education Corp  will close 23 campuses and cut 900 jobs amid losses and falling student enrollments that also threaten to affect its financial position.,topStory
CECO,Career Education Corporation,20121108,UPDATE 1-Career Education to cut jobs  shut campuses ,Nov 8 Career Education Corp will close 23 campuses and cut 900 jobs amid losses and falling student enrollments that also threaten to affect its financial position.,normal
CECO,Career Education Corporation,20121108,Career Education to cut jobs  shut campuses ,Nov 8 Career Education Corp said it will close 23 campuses and cut 900 jobs  amid declines in student enrollments.,normal
CMCSA,Comcast Corporation,20121108,TEXT - Fitch affirms Comcast Corp 'BBB+' issuer default rating ,Nov 8 - Fitch Ratings has affirmed the 'BBB+' Issuer Default Ratings (IDRs) assigned to Comcast Corporation (Comcast) and its wholly owned subsidiaries included in Comcast's cross-guaranty structure that hold all  of the company's cable businesses. Fitch has also affirmed the 'BBB' IDR  assigned to NBCUniversal Media  LLC (NBCUniversal)  a direct wholly owned  subsidiary of NBCUniversal  LLC. NBCUniversal  LLC is a joint venture between  Comcast and General Electric Company (GE). Comcast manages,topStory
DISH,DISH Network Corporation,20121108,BRIEF-Moody's on denial of injunction against Dish's AutoHop ,Nov 8 DISH Network Corp :  * Moody's says denial of injunction against dish's autohop signals difficulty,topStory
DISH,DISH Network Corporation,20121108,AMC beats as hit shows propel revenue  shares soar ,AMC Networks Inc  reported better-than-expected quarterly results as the soaring popularity of shows such as "Walking Dead" and "Mad Men" boosted revenue  sending its shares up as much as 14 percent to an all-time high.,normal
DISH,DISH Network Corporation,20121108,UPDATE 2-AMC beats as hit shows propel revenue  shares soar ,Nov 8 AMC Networks Inc reported better-than-expected quarterly results as the soaring popularity of shows such as "Walking Dead" and "Mad Men" boosted revenue  sending its shares up as much as 14 percent to an all-time high.,normal
FB,Facebook Inc,20121108,Facebook's Sandberg sells another $3.75 million in stock ,SAN FRANCISCO Facebook Inc  Chief Operating Officer Sheryl Sandberg sold $3.75 million worth of stock in the company on Tuesday  her second stock sale since trading restrictions on insiders expired last week.,topStory
FB,Facebook Inc,20121108,Facebook's Sandberg sells another $3.75 mln in stock ,SAN FRANCISCO  Nov 8 Facebook Inc Chief Operating Officer Sheryl Sandberg sold $3.75 million worth of stock in the company on Tuesday  her second stock sale since trading restrictions on insiders expired last week.,normal
GRPN,Groupon Inc,20121108,Groupon results disappoint again  stock hits record low ,SAN FRANCISCO Groupon Inc's results again fell short of Wall Street's already-cautious expectations as the daily deal company failed to turn around a struggling European business  sending its shares to a record low.,topStory
GRPN,Groupon Inc,20121108,UPDATE 2-Groupon results disappoint again  stock hits record low ,* Daily deal company lays off 80 employees   (Adds background Groupon's recent struggles),normal
GRPN,Groupon Inc,20121108,Groupon reports quarterly revenue below analyst estimates ,SAN FRANCISCO  Nov 8 Groupon Inc  reported disappointing third-quarter results  sending shares of the daily deal website down more than 10 percent in after-hours trading.,normal
GRPN,Groupon Inc,20121108,BRIEF-Groupon shares add losses following results  down 13 pct ,NEW YORK  Nov 8 Groupon Inc :  * Shares add losses following results; down 13.3 percent in extended trade,normal
GRPN,Groupon Inc,20121108,BRIEF-Groupon shares down following results ,NEW YORK  Nov 8 Groupon Inc :  * Shares down 8.2 percent in extended trade following results,normal
IEP,Icahn Enterprises LP,20121108,Icahn says has mulled Netflix takeover  no decision made ,Activist investor Carl Icahn  who holds an almost 10 percent stake in Netflix  said on Thursday he has considered a hostile takeover bid for Netflix  but it was uncertain he stood a chance of acquiring the Internet streaming service.,topStory
IEP,Icahn Enterprises LP,20121108,Icahn says has mulled Netflix takeover  no decision made ,Nov 8 Activist investor Carl Icahn  who holds an almost 10 percent stake in Netflix  said on Thursday he has considered a hostile takeover bid for Netflix  but it was uncertain he stood a chance of acquiring the Internet streaming service.,normal
ICON,Iconix Brand Group Inc,20121108,TEXT-S&P ratings - Iconix Brand Group Inc. ,===============================================================================,topStory
IOSP,Innospec Inc,20121108,TPC gets higher offer from First Reserve  SK Capital ,Chemical maker TPC Group Inc  said private equity firms First Reserve Corp and SK Capital Partners raised their offer for the company by 12.5 percent  a month after Innospec Inc  and Blackstone Group LP's  rival bid.,topStory
IOSP,Innospec Inc,20121108,UPDATE 3-TPC gets higher offer from First Reserve  SK Capital ,Nov 8 Chemical maker TPC Group Inc said private equity firms First Reserve Corp and SK Capital Partners raised their offer for the company by 12.5 percent  a month after Innospec Inc and Blackstone Group LP's  rival bid.,normal
IOSP,Innospec Inc,20121108,TPC Group gets higher offer from First Reserve  SK Capital ,Nov 8 Chemical maker TPC Group Inc said private equity firms First Reserve Corp and SK Capital Partners raised their offer price for the company by 12.5 percent  days after it got a rival proposal from Innospec Inc.,normal
INTC,Intel Corporation,20121108,Intel  HP tout newest Itanium server technology ,SAN FRANCISCO Intel and Hewlett-Packard Co unveiled new server technology based on the high-end niche Itanium processors at the center of a recent dispute between Hewlett-Packard and Oracle Corp.,topStory
INTC,Intel Corporation,20121108,Intel  HP tout newest Itanium server technology ,SAN FRANCISCO  Nov 8 Intel and Hewlett-Packard Co unveiled new server technology based on the high-end niche Itanium processors at the center of a recent dispute between Hewlett-Packard and Oracle Corp.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
FLAT,iPath US Treasury Flattener ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
STPP,iPath US Treasury Steepener ETN,20121108,TEXT-Fitch rates Barclays Bank contingent capital notes 'BBB-(EXP)' ,Nov 8 - Fitch Ratings has assigned Barclays Bank PLC's potential issue of contingent capital notes an expected rating of 'BBB-(EXP)'.  RATING DRIVERS AND SENSITIVITIES The notes are Tier 2 instruments without a coupon deferral feature that include a 7% capital adequacy trigger. On breach of the trigger  the notes will be automatically transferred to Barclays PLC  the bank holding company  for nil consideration  resulting in a loss of principal and future interest for the investors. The capital a,topStory
