ASML,ASML Holding NV,20121212,TEXT - Fitch revises ASML Holding N.V. outlook to positive ,Dec 12 - Fitch Ratings has revised the Outlook on Netherlands-based ASML Holding N.V.'s (ASML) Long-term Issuer Default Rating (IDR) to Positive from Stable and affirmed the IDR and senior unsecured ratings  at 'BBB'.   The Positive Outlook reflects Fitch's view of the degree to which ASML has  consolidated its position as one of the semiconductor capital equipment  industry's most important suppliers. This position has been both validated and  strengthened by recent strategic events; namely a c,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DLBL,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DLBL,Barclays PLC,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DLBL,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DLBL,Barclays PLC,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DTYL,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DTYL,Barclays PLC,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DTYL,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DTYL,Barclays PLC,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
CBOE,CBOE Holdings Inc,20121212,MOVES-CBOE  U.S. Bancorp  KPMG  Leapfrog Investments ,Dec 12 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
CBOE,CBOE Holdings Inc,20121212,UPDATE 3-CBOE's longtime CEO Brodsky to step down in May ,* Tilly to take CEO post; Brodsky to be executive chairman,normal
CBOE,CBOE Holdings Inc,20121212,CBOE Holdings CEO to step down in May ,Dec 12 CBOE Holdings Inc said Chief Executive William Brodsky will step down in May  and would be replaced by President and Chief Operating Officer Edward Tilly.,normal
CHTR,Charter Communications Inc,20121212,TEXT - S&P rates Charter Communications senior notes 'BB-' ,Dec 12 - Standard & Poor's Ratings Services today assigned its 'BB-' issue-level rating and '3' recovery rating to St. Louis-based cable TV operator Charter Communications Inc.'s (Charter) proposed $750 million senior notes due 2023  to be issued by its subsidiaries CCO Holdings LLC and CCO Holdings Capital Corp. The '3' recovery rating indicates our expectation for meaningful (50% to 70%) recovery in the event of payment default. (For the complete recovery analysis  see Standard & Poor's recove,topStory
CHTR,Charter Communications Inc,20121212,TEXT-Fitch rates CCO Holdings' senior unsecured notes 'BB-' ,Dec 12 - Fitch Ratings has assigned a 'BB-' rating to CCO Holdings  LLC's (CCOH) proposed $750 million issuance of senior unsecured notes due 2023. Proceeds from the offering are expected to be used for general corporate purposes including repayment of existing bank debt outstanding at Charter Communications Operating  LLC (CCO). CCOH and CCO are indirect wholly owned subsidiaries of Charter Communications  Inc. (Charter). As of Sept. 30  2012  Charter had approximately $13.7 billion of debt (pr,normal
COST,Costco Wholesale Corporation,20121212,Costco profit jumps despite light membership fee growth ,Costco Wholesale Corp's  quarterly earnings beat Wall Street estimates  but the largest U.S. warehouse club chain collected less in membership fees than some analysts anticipated.,topStory
COST,Costco Wholesale Corporation,20121212,UPDATE 3-Costco profit jumps despite light membership fee growth ,* Quarterly profit of $0.95 a share exceeds estimate of $0.93,normal
COST,Costco Wholesale Corporation,20121212,BRIEF-Costco Wholesale says its new stores have cannibalized same-store sales in korea  Taiwan and Japan ,CHICAGO  Dec 12 Costco Wholesale Corp :  * Says its new stores have cannibalized same-store sales in korea  Taiwan and,normal
COST,Costco Wholesale Corporation,20121212,BRIEF-Costco Wholesale up in premarket after Q1 results ,NEW YORK  Dec 12 Costco Wholesale Corp :  * Up 1.2 percent to $99.49 in premarket after Q1 results,normal
COST,Costco Wholesale Corporation,20121212,Costco Q1 profit up 30 pct  beat estimates ,Dec 12 Costco Wholesale Corp posted a 30 percent rise in  quarterly profit  beating expectations  as the largest U.S. warehouse club chain saw sales rise and got a lift from higher membership fees.,normal
DMRC,Digimarc Corporation,20121212,Deadly Oregon mall shooting appeared to be lone  random rampage ,CLACKAMAS  Oregon A masked gunman who opened fire in the food court of a crowded Oregon shopping mall  killing two people and wounding a third before taking his own life  appears to have acted alone in a blind rampage with no known motive  police said on Wednesday. | Video ,topStory
DMRC,Digimarc Corporation,20121212,Gunman  two others dead in shooting at Oregon mall  police say ,HAPPY VALLEY  Ore.  Dec 11 The gunman and two others were killed in a shooting on Tuesday at the Clackamas Town Center shopping mall just south of Portland  Oregon  police said.,normal
DISH,DISH Network Corporation,20121212,U.S. regulators approve Dish request and spectrum sale ,WASHINGTON Federal regulators on Tuesday gave satellite TV provider Dish Network Corp the go-ahead to use wireless spectrum and also approved a framework for a spectrum auction next year.,topStory
DISH,DISH Network Corporation,20121212,U.S. regulators approve Dish request and spectrum sale ,WASHINGTON Federal regulators on Tuesday gave satellite TV provider Dish Network Corp the go-ahead to use wireless spectrum and also approved a framework for a spectrum auction next year.,normal
DISH,DISH Network Corporation,20121212,US regulators approve Dish request and spectrum sale ,WASHINGTON  Dec 11 Federal regulators on Tuesday gave satellite TV provider Dish Network Corp the go-ahead to use wireless spectrum and also approved a framework for a spectrum auction next year.,normal
ENDP,Endo International plc,20121212,Endo Health says to miss 2013 forecast  CEO retires ,Dec 12 Endo Health Solutions Inc said it does not expect to meet its revenue and earnings forecast for 2013  and that its Chief Executive David Holveck will retire next year.,topStory
ERIC,Ericsson,20121212,STMicro to tell more about ST-Ericsson exit by second quarter ,NEW YORK STMicroelectronics NV  may not disclose details about its plan to exit its wireless chip venture with Ericsson  until as late as the second quarter of 2013  STMicroelectronics' top executive said Wednesday.,topStory
ERIC,Ericsson,20121212,STMicro to tell more about ST-Ericsson exit by Q2 ,NEW YORK  Dec 12 STMicroelectronics NV  may not disclose details about its plan to exit its wireless chip venture with Ericsson until as late as the second quarter of 2013  STMicroelectronics' top executive said Wednesday.,normal
