AMZN,Amazoncom Inc,20121217,Nordstrom family scion keeps up with Amazon online ,SAN FRANCISCO The future of retail came to Jamie Nordstrom not in a dream  but though his email inbox from Amazon.com Inc  the online retailer that Nordstrom now targets as his biggest rival.,topStory
AMGN,Amgen Inc,20121217,Amgen to plead guilty in criminal case Tuesday: prosecutors ,NEW YORK Biotech company Amgen Inc is scheduled to plead guilty on Tuesday in a criminal case in federal court in Brooklyn  New York  prosecutors said.,topStory
AAPL,Apple Inc,20121217,Apple's iPhone 5 starts strong in China but shares pressured ,Apple Inc sold more than 2 million iPhone 5s in China in just three days after its launch there on Friday  its best ever smartphone launch in the country  but Apple shares fell on Monday after Citi downgraded the stock. | Video ,topStory
AAPL,Apple Inc,20121217,US STOCKS-Wall St rises on 'fiscal cliff' hopes  financials gain ,* Indexes up: S&P 0.55 pct  Dow 0.38 pct  Nasdaq 0.42 pct,normal
AAPL,Apple Inc,20121217,UPDATE 2-Apple's iPhone 5 starts strong in China but shares pressured ,* Citi Research cuts Apple to 'neutral' from 'buy'   (Adds details from analysts' notes  background  shares),normal
AAPL,Apple Inc,20121217,US STOCKS-Futures mixed on 'cliff' optimism  fall in Apple ,* Futures: S&P up 1.6 pts  Dow up 19 pts  Nasdaq down 4.5 pts,normal
AAPL,Apple Inc,20121217,US STOCKS-Futures mixed as 'cliff' and Apple eyed ,NEW YORK  Dec 17 U.S. stock index futures were mixed on Monday as "fiscal cliff" negotiations saw their first real movement over the weekend  but Apple was likely to weigh on the market.,normal
AAPL,Apple Inc,20121217,US stock futures mixed; Apple under $500 in pre-market ,PARIS  Dec 17 U.S. stock index futures pointed to a mixed open on Wall Street on Monday  with futures for the S&P 500 up 0.11 percent  Dow Jones futures up 0.07 percent and Nasdaq 100 futures down 0.48 percent at 1123 GMT.,normal
AAPL,Apple Inc,20121217,Apple says China iPhone 5 sales in first weekend top 2 million ,Dec 16 Apple Inc sold more than 2 million of its new iPhone 5 in China during the three days after its launch there on Friday  marking China's best-selling iPhone rollout ever  the company said late on Sunday.,normal
AAPL,Apple Inc,20121217,STOCKS NEWS SINGAPORE-DMG downgrades Hi-P to 'sell' from 'neutral' ,DMG & Partners downgraded electronics contract manufacturer Hi-P International Ltd to 'sell' from 'neutral' and cut its target price to S$0.59 from S$0.74  citing a negative impact from weaker-than-expected demand for Apple's iPhone 5.,normal
CEVA,CEVA Inc,20121217,Imagination Tech lands MIPS with $100 million offer ,LONDON British chip designer Imagination Technologies on Monday beat Ceva Inc in the race to buy processing technology firm MIPS with a knockout offer of $100 million.,topStory
CEVA,CEVA Inc,20121217,UPDATE 2-Imagination Tech lands MIPS with $100 mln offer ,* Auction drives Imagination to raise bid from $60 mln to $100 mln,normal
FB,Facebook Inc,20121217,Massachusetts fines Morgan Stanley over Facebook IPO ,BOSTON Morgan Stanley   the lead underwriter for Facebook Inc's  initial public offering  will pay a $5 million fine to Massachusetts for violating securities laws governing how investment research can be distributed.,topStory
FB,Facebook Inc,20121217,UPDATE 2-Massachusetts fines Morgan Stanley over Facebook IPO ,(Adds statement from MS  quotes from Galvin  underwriting fees),normal
FB,Facebook Inc,20121217,Google  Facebook drive mobile ad market growth: report ,SAN FRANCISCO Google Inc's mobile ad revenue in the United States will be roughly $4 billion next year  while Facebook Inc's nascent mobile advertising business will more than double  according to a new study by research firm eMarketer.,normal
FB,Facebook Inc,20121217,Google  Facebook drive mobile ad market growth-report ,SAN FRANCISCO  Dec 17 Google Inc's  mobile ad revenue in the United States will be roughly $4 billion next year  while Facebook Inc's nascent mobile advertising business will more than double  according to a new study by research firm eMarketer.,normal
FB,Facebook Inc,20121217,Mass. fines Morgan Stanley over Facebook research ,BOSTON  Dec 17 Morgan Stanley  the lead underwriter for Facebook Inc's initial public offering  will pay a $5 million fine to Massachusetts to settle charges that its bankers improperly influenced its research analysts when the Internet company went public.,normal
FB,Facebook Inc,20121217,Internet ayatollah: Iran's supreme leader "likes" Facebook ,DUBAI Facebook - banned in Iran due to its use by activists to rally government opponents in 2009 - has an unlikely new member: Supreme Leader Ayatollah Ali Khamenei.,normal
FB,Facebook Inc,20121217,Internet ayatollah - Iran's supreme leader "likes" Facebook ,* Use of websites appears aimed at countering Western media,normal
