AMZN,Amazoncom Inc,20130708,UPDATE 2-Barnes & Noble CEO resigns after Nook sales slump ,NEW YORK  July 8 Barnes & Noble Inc  Chief Executive William Lynch resigned on Monday after he led a failed attempt by the U.S. bookstore chain to compete against the likes of Amazon.com Inc  Apple Inc and Google Inc in the e-reader and tablet markets.,topStory
AMGN,Amgen Inc,20130708,Novartis psoriasis drug superior to Enbrel in study ,ZURICH Novartis psoriasis drug secukinumab was superior to Amgen's Enbrel in a late-stage study  the Swiss company said on Monday  putting it in line to become the first of a clutch of new treatments to gain market approval.,topStory
AMGN,Amgen Inc,20130708,UPDATE 1-Novartis psoriasis drug superior to Enbrel in study ,* Secukinumab more effective than Enbrel in head-to-head study,normal
AAPL,Apple Inc,20130708,UPDATE 2-Barnes & Noble CEO resigns after Nook sales slump ,NEW YORK  July 8 Barnes & Noble Inc  Chief Executive William Lynch resigned on Monday after he led a failed attempt by the U.S. bookstore chain to compete against the likes of Amazon.com Inc  Apple Inc and Google Inc in the e-reader and tablet markets.,topStory
AAPL,Apple Inc,20130708,UPDATE 2-India to review preferential policy for locally made electronic goods ,NEW DELHI  July 8 India will review a policy that gave preference to locally made electronics goods in government and private sector procurement  the government said on Monday after protests by trade groups representing global companies such as Apple Inc.,normal
INTC,Intel Corporation,20130708,US STOCKS-Dow  S&P advance before Alcoa opens earnings season ,* Alcoa rises before reporting earnings after market's close,topStory
INTC,Intel Corporation,20130708,US STOCKS-Dow  S&P advance before Alcoa opens earnings season ,* Alcoa rises before reporting earnings after market's close,normal
MTRX,Matrix Service Company,20130708,Israel's Matrix opens mobile app development centre in China ,TEL AVIV Israeli information technology provider Matrix has opened a mobile application development center in Changzhou  China  the company said on Monday.,topStory
MTRX,Matrix Service Company,20130708,Israel's Matrix opens mobile app development centre in China ,TEL AVIV  July 8 Israeli information technology provider Matrix has opened a mobile application development centre in Changzhou  China  the company said on Monday.,normal
PERY,Perry Ellis International Inc,20130708,Texas Governor Perry says he will not seek re-election in 2014 ,SAN ANTONIO  Texas Texas Governor Rick Perry  a brash conservative best known for his stumbling attempt to win the 2012 Republican presidential nomination  said on Monday he will not seek another term as governor but did not say if he would run again for the White House.,topStory
PICO,PICO Holdings Inc,20130708,Homebuilder UCP sets IPO price range at $15-$17/shr ,July 8 Homebuilder UCP Inc said it expects a price range of between $15 and $17 per share for its initial public offering of 7.8 million shares.,normal
WYNN,Wynn Resorts Limited,20130708,SEC ends inquiry into Wynn Macau donation  no action taken ,SAN FRANCISCO U.S. regulators recommended no enforcement action against Wynn Resorts Ltd after completing an informal inquiry into a complaint about a $135 million donation the casino operator's Macau unit made to a local university  the company said on Monday.,topStory
WYNN,Wynn Resorts Limited,20130708,U.S. SEC ends inquiry into Wynn Macau donation  no action taken ,SAN FRANCISCO  July 8 U.S. regulators recommended no enforcement action against Wynn Resorts Ltd  after completing an informal inquiry into a complaint about a $135 million donation the casino operator's Macau unit made to a local university  the company said on Monday.,normal
AA,Alcoa Corporation,20130708,Alcoa posts quarterly profit; sees aluminum demand growth ,TORONTO Alcoa Inc  remains optimistic that global demand for aluminum will grow 7 percent this year  driven largely by demand from the aerospace and commercial transportation sectors  the largest aluminum producer in the United States said on Monday.,topStory
AA,Alcoa Corporation,20130708,UPDATE 2-Alcoa posts quarterly profit; sees aluminum demand growth ,TORONTO  July 8 Alcoa Inc remains optimistic that global demand for aluminum will grow 7 percent this year  driven largely by demand from the aerospace and commercial transportation sectors  the largest aluminum producer in the United States said on Monday.,normal
AA,Alcoa Corporation,20130708,US STOCKS-Wall St rises as attention turns to earnings season ,* Alcoa shares slip in volatile extended trade after results,normal
AA,Alcoa Corporation,20130708,US STOCKS-Wall St rises as attention turns to earnings season ,NEW YORK  July 8 U.S. stocks advanced on Monday heading into the start of earnings season  building on gains sparked by last week's robust employment report and pushing the S&P 500 closer to its all-time high set in May.,normal
AA,Alcoa Corporation,20130708,US STOCKS-Dow  S&P advance before Alcoa opens earnings season ,* Alcoa rises before reporting earnings after market's close,normal
AA,Alcoa Corporation,20130708,US STOCKS-Dow  S&P advance before Alcoa opens earnings season ,* Alcoa rises before reporting earnings after market's close,normal
AA,Alcoa Corporation,20130708,US STOCKS-Wall St advances before Alcoa reports ,* Alcoa rises before reporting earnings after market's close,normal
AA,Alcoa Corporation,20130708,US STOCKS-Wall St climbs after strong data  before Alcoa reports ,* Alcoa rises before reporting earnings after market's close,normal
AA,Alcoa Corporation,20130708,US STOCKS-Wall St set to rise after strong data  before earnings ,NEW YORK  July 8 U.S. stocks were set to rise on Monday  putting the S&P 500 on pace for its third straight advance after a robust June payrolls report and before the start of quarterly earnings reports after the market's close.,normal
AA,Alcoa Corporation,20130708,US STOCKS-Futures up after strong jobs data  before earnings ,NEW YORK  July 8 U.S. stock index futures rose on Monday  putting the S&P 500 on track for its third straight advance after Friday's stronger-than-expected payrolls report and before the start of quarterly earnings reports.,normal
BAC,Bank of America Corporation,20130708,Bank of America hires Cheng as Asia ex-Japan TMT head ,HONG KONG  July 8 Bank of America Merrill Lynch  has hired Winston Cheng from Goldman Sachs as Asia ex-Japan head of its technology  media and telecommunications (TMT) banking group  according to a memo seen by Reuters on Monday.,topStory
BKS,Barnes & Noble Inc,20130708,Barnes & Noble CEO resigns after Nook sales slump ,NEW YORK Barnes & Noble Inc  Chief Executive William Lynch resigned on Monday after he led a failed attempt by the U.S. bookstore chain to compete against the likes of Amazon.com Inc  Apple Inc and Google Inc in the e-reader and tablet markets.,topStory
BKS,Barnes & Noble Inc,20130708,UPDATE 2-Barnes & Noble CEO resigns after Nook sales slump ,NEW YORK  July 8 Barnes & Noble Inc  Chief Executive William Lynch resigned on Monday after he led a failed attempt by the U.S. bookstore chain to compete against the likes of Amazon.com Inc  Apple Inc and Google Inc in the e-reader and tablet markets.,normal
BKS,Barnes & Noble Inc,20130708,Barnes & Noble CEO resigns ,NEW YORK  July 8 Barnes & Noble Inc  Chief Executive Officer William Lynch has resigned effective immediately  the U.S. bookstore chain said on Monday.,normal
BA,Boeing Company (The),20130708,WRAPUP 6-Asiana plane was far below target speed before San Francisco crash ,SAN FRANCISCO/SEOUL  July 8 The Asiana Airlines  Boeing 777 that crashed at San Francisco's international airport was flying 25 percent below its intended air speed before slamming into the ground  U.S. safety officials said on Monday as attention increasingly focused on the actions of the pilots.,topStory
BA,Boeing Company (The),20130708,RPT-In difficult year for Boeing  777 crash may not be major setback ,July 7 The first fatal crash of a Boeing 777 jetliner on Saturday may not pose much of a setback to the company  in part because design features of the plane helped prevent burning and break-up that could have led to greater loss of life  experts said.,normal
BA,Boeing Company (The),20130708,After long buildup  U.S.-EU free trade talks finally begin ,* World's biggest trading partners aim for deal by end of 2014,normal
BA,Boeing Company (The),20130708,WRAPUP 6-Crew tried to abort landing before San Francisco air crash ,* Two Chinese teenagers killed  one may have been run over,normal
BA,Boeing Company (The),20130708,RPT-Asiana says pilot of crashed plane was in training ,SEOUL  July 8 Asiana Airlines Inc  said the pilot in charge of landing the Boeing 777 that crash-landed at San Francisco's airport on Saturday was training for the long-range plane and that it was his first flight to the airport with the jet.,normal
BA,Boeing Company (The),20130708,Asiana says pilot of crashed plane was in training ,SEOUL Asiana Airlines Inc said the pilot in charge of landing the Boeing 777 that crash-landed at San Francisco's airport on Saturday was training for the long-range plane and that it was his first flight to the airport with the jet.,normal
BA,Boeing Company (The),20130708,Asiana says pilot of crashed plane was in training ,SEOUL  July 8 Asiana Airlines Inc  said the pilot in charge of landing the Boeing 777 that crash-landed at San Francisco's airport on Saturday was training for the long-range plane and that it was his first flight to the airport with the jet.,normal
BP,BP plc,20130708,Appeals court grills BP over spill claims case ,NEW ORLEANS BP Plc drew tough questions on Monday from U.S. appeals court judges hearing a complaint by the oil company objecting to the payment of certain claims for damages related to the Gulf of Mexico spill  casting doubt on BP's effort to curb the payouts.,topStory
BP,BP plc,20130708,UPDATE 2-U.S. appeals court grills BP over spill claims case ,NEW ORLEANS  July 8 BP Plc drew tough questions on Monday from U.S. appeals  court judges hearing a complaint by the oil company objecting to the payment of certain claims for damages related to the Gulf of Mexico spill  casting doubt on BP's effort to curb the payouts.,normal
BP,BP plc,20130708,UK energy firms pull 160 expatriate staff out of Egypt ,LONDON Spreading unrest in Egypt has led British energy firms BG Group  and BP  to pull 160 expatriate staff out of the country.,normal
