AMGN,Amgen Inc,20130718,Exclusive: Pfizer not moving forward with Onyx bid: sources ,NEW YORK Pfizer Inc decided not to pursue a bid for Onyx Pharmaceuticals Inc this week  according to two people familiar with the matter  leaving Amgen Inc in the front position to buy the cancer drugmaker.,topStory
AAPL,Apple Inc,20130718,Apple supplier LG Display seeks to broaden smartphone client base ,SEOUL Flat-screen maker LG Display Co Ltd  a key supplier to Apple Inc  said on Thursday that it was seeking to broaden its smartphone customer base  betting that diversification would bolster its second-half earnings.,topStory
AAPL,Apple Inc,20130718,UPDATE 2-Apple supplier LG Display seeks to broaden smartphone client base ,SEOUL  July 18 Flat-screen maker LG Display Co Ltd  a key supplier to Apple Inc  said on Thursday that it was seeking to broaden its smartphone customer base  betting that diversification would bolster its second-half earnings.,normal
AAPL,Apple Inc,20130718,LG Display Q2 profit up as firm TV panel prices mask weaker Apple orders ,SEOUL  July 18 South Korean flat-screen maker LG Display Co Ltd reported on Thursday a 53 percent rise in quarterly profit  as stable prices of large-sized TV screens helped counter slower growth of smartphone display shipments to its key customer Apple.,normal
CELG,Celgene Corporation,20130718,Celgene to stop blood cancer trial due to high death rates ,Celgene Corp said it will stop a late-stage trial of its blood cancer drug  Revlimid  after it observed a higher number of deaths in elderly leukemia patients taking the drug compared with those on another treatment.,topStory
CELG,Celgene Corporation,20130718,UPDATE 2-Celgene to stop blood cancer trial due to high death rates ,* Shares down 2.7 pct   (Adds analyst comments  company comments  updates share price),normal
CELG,Celgene Corporation,20130718,CORRECTED-Celgene to stop blood cancer trial due to higher death rates ,(Corrects paragraph 1 to say the drug was compared to another drug and not a placebo),normal
CHKP,Check Point Software Technologies Ltd,20130718,Anti-virus sales help Check Point beat estimates ,TEL AVIV Computer security provider Check Point Software Technologies  topped forecasts with second quarter profit and revenue and said it should improve further in the second half after a weak start to the year.,topStory
CHKP,Check Point Software Technologies Ltd,20130718,UPDATE 1-Anti-virus sales help Check Point beat estimates ,* Sees Q3 non-GAAP EPS $0.80-$0.86  revenue $330-$350 mln,normal
CHKP,Check Point Software Technologies Ltd,20130718,Check Point Software Q2 profit  revenue beat expectations ,TEL AVIV  July 18 Internet and network security provider Check Point Software Technologies reported higher quarterly profit that topped expectations on higher sales of its software blades  especially in North America.,normal
CHKE,Cherokee Inc,20130718,Jeep Cherokee 2014 production to hit full stride by September ,TOLEDO  Ohio Production of Chrysler Group LLC's new 2014 Jeep Cherokee is expected to reach full capacity by September  the company said on Thursday.,topStory
CHKE,Cherokee Inc,20130718,Jeep Cherokee 2014 production to hit full stride by September ,TOLEDO  Ohio  July 18 Production of Chrysler Group LLC's new 2014 Jeep Cherokee is expected to reach full capacity by September  the company said on Thursday.,normal
COST,Costco Wholesale Corporation,20130718,Mexico's Comerci reports lower second-quarter profit ,MEXICO CITY  July 18 Retailer Comercial Mexicana  said on Thursday its second-quarter net profit fell 91 percent compared to the previous year when it received a boost after it sold a 50 percent stake in warehouse club operator Costco.,topStory
EBAY,eBay Inc,20130718,US STOCKS-Dow  S&P 500 end at all-time highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,topStory
EBAY,eBay Inc,20130718,US STOCKS-Dow  S&P 500 end at record highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAY,eBay Inc,20130718,US STOCKS-Dow  S&P 500 hit record highs on earnings and Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAY,eBay Inc,20130718,US STOCKS-Earnings lift Dow  S&P 500 to fresh highs ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAY,eBay Inc,20130718,Ebay shares set to open lower after weak forecast  price target cuts ,Shares in eBay Inc  were set to open around 7 percent lower and at least six analysts trimmed their price targets  after a slowdown in international markets prompted a warning from the online auctioneer about its outlook.,normal
EBAY,eBay Inc,20130718,US STOCKS-Wall St to open little changed as earnings roll out ,* Futures: Dow up 3.4 pts  S&P up 1 pt  Nasdaq up 0.75 pt,normal
EBAY,eBay Inc,20130718,US STOCKS-Futures flat  eyes on Bernanke; Morgan Stanley jumps ,* Futures: Dow up 1 pts  S&P up 1.8 pts  Nasdaq off 2.5 pts,normal
EBAY,eBay Inc,20130718,US STOCKS-Futures mixed as earnings  Bernanke in view ,* Futures: Dow off 8 pts  S&P up 1 pt  Nasdaq off 0.5 pts,normal
EBAY,eBay Inc,20130718,UPDATE 3-EBay drops on economic 'headwinds' in Europe  South Korea ,July 17 EBay Inc reported solid second-quarter results on Wednesday but Chief Executive John Donahoe warned of economic "headwinds" in the second half of the year from Europe and South Korea.,normal
EBAYL,eBay Inc,20130718,US STOCKS-Dow  S&P 500 end at all-time highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,topStory
EBAYL,eBay Inc,20130718,US STOCKS-Dow  S&P 500 end at record highs on earnings  Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAYL,eBay Inc,20130718,US STOCKS-Dow  S&P 500 hit record highs on earnings and Bernanke ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAYL,eBay Inc,20130718,US STOCKS-Earnings lift Dow  S&P 500 to fresh highs ,* Shares of eBay  Intel fall after disappointing forecasts,normal
EBAYL,eBay Inc,20130718,Ebay shares set to open lower after weak forecast  price target cuts ,Shares in eBay Inc  were set to open around 7 percent lower and at least six analysts trimmed their price targets  after a slowdown in international markets prompted a warning from the online auctioneer about its outlook.,normal
EBAYL,eBay Inc,20130718,US STOCKS-Wall St to open little changed as earnings roll out ,* Futures: Dow up 3.4 pts  S&P up 1 pt  Nasdaq up 0.75 pt,normal
EBAYL,eBay Inc,20130718,US STOCKS-Futures flat  eyes on Bernanke; Morgan Stanley jumps ,* Futures: Dow up 1 pts  S&P up 1.8 pts  Nasdaq off 2.5 pts,normal
EBAYL,eBay Inc,20130718,US STOCKS-Futures mixed as earnings  Bernanke in view ,* Futures: Dow off 8 pts  S&P up 1 pt  Nasdaq off 0.5 pts,normal
EBAYL,eBay Inc,20130718,UPDATE 3-EBay drops on economic 'headwinds' in Europe  South Korea ,July 17 EBay Inc reported solid second-quarter results on Wednesday but Chief Executive John Donahoe warned of economic "headwinds" in the second half of the year from Europe and South Korea.,normal
ERIC,Ericsson,20130718,Ericsson profit miss sours hopes of quick turnaround ,STOCKHOLM World No. 1 mobile network gear maker Ericsson posted second quarter operating profit well below expectations on Thursday  bruising hopes of a quick recovery at its core network unit. | Video ,topStory
ERIC,Ericsson,20130718,REFILE-UPDATE 2-Ericsson profit miss sours hopes of quick turnaround ,* Operating profit  including joint ventures  2.5 bln SEK vs forecast 4.3 bln,normal
ERIC,Ericsson,20130718,BRIEF-Ericsson sees restructuring costs slightly up in 2013 vs 2012 ,STOCKHOLM  July 18 ERICSSON :  * CFO sees restructuring costs slightly higher in 2013 than 2012,normal
