ALGT,Allegiant Travel Company,20130729,False alarm caused Allegiant plane to make emergency landing ,ATLANTA  July 29 The emergency landing in Georgia of an Allegiant Air flight late Sunday was caused by a false alarm when a warning light indicated a possible fire in the cargo hold  an airline spokesman said Monday.,topStory
AMZN,Amazoncom Inc,20130729,Amazon unveils new hiring spree ahead of Obama visit ,SAN FRANCISCO Amazon.com Inc unveiled a new hiring spree on Monday ahead of a visit by President Barack Obama to one of the Internet retailer's giant distribution warehouses this week. | Video ,topStory
AMZN,Amazoncom Inc,20130729,Amazon unveils new hiring spree ahead of Obama visit ,SAN FRANCISCO  July 28 Amazon.com Inc  unveiled a new hiring spree on Monday ahead of a visit by President Barack Obama to one of the Internet retailer's giant distribution warehouses this week.,normal
AAPL,Apple Inc,20130729,RPT-Apple-supplier Pegatron violates China workers' rights - China Labor Watch ,BEIJING  July 29 Pegatron Corp  a Taiwanese company that makes Apple Inc products  is violating workers' rights at its Chinese factories in Shanghai and Suzhou  New York-based rights group China Labor Watch said in a report on Monday.,topStory
AAPL,Apple Inc,20130729,Apple-supplier Pegatron violates China workers' rights: China Labor Watch ,BEIJING Pegatron Corp  a Taiwanese company that makes Apple Inc products  is violating workers' rights at its Chinese factories in Shanghai and Suzhou  New York-based rights group China Labor Watch said in a report on Monday.,normal
AAPL,Apple Inc,20130729,Apple's Mansfield no longer in exec team  moves to special projects ,Apple Inc said on Sunday it will shift Bob Mansfield  senior vice president of technologies  out of its executive team to work on special projects.,normal
AAPL,Apple Inc,20130729,Apple's Mansfield no longer in exec team  moves to special projects ,July 28 Apple Inc said on Sunday it will shift Bob Mansfield  senior vice president of technologies  out of its executive team to work on special projects.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DLBL,Barclays PLC,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DLBL,Barclays PLC,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DLBL,Barclays PLC,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DLBL,Barclays PLC,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DLBL,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DLBL,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DTYL,Barclays PLC,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DTYL,Barclays PLC,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DTYL,Barclays PLC,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DTYL,Barclays PLC,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DTYL,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DTYL,Barclays PLC,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
CMCSA,Comcast Corporation,20130729,CORRECTED-'Real Housewives' New Jersey couple facing fraud charges ,(In 10th paragraph  corrects NBC's ownership from GE to Comcast. Editor's note: Please be advised that first sentence contains language that may offend some readers),topStory
DSPG,DSP Group Inc,20130729,DSP Group sees slowing demand for digital cordless phones ,JERUSALEM  July 29 Multimedia chip maker DSP Group predicted a drop in third-quarter earnings from a forecast-beating second quarter due to slowing demand for digital cordless phones.,topStory
ESRX,Express Scripts Holding Company,20130729,Express Scripts profit beats estimates as expenses fall ,Express Scripts Holding Co   the largest pharmacy benefits manager in the United States  reported an adjusted profit that beat analysts' estimates for the fifth straight quarter  helped by a fall in expenses and growth in its specialty business.,topStory
ESRX,Express Scripts Holding Company,20130729,Express Scripts reports fifth profit beat in a row ,July 29 Express Scripts Holding Co  the largest pharmacy benefits manager in the United States  reported an adjusted profit that beat analysts' estimates for the fifth straight quarter  helped by a fall in expenses.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130729,RPT-Barclays to unveil capital plans  Lloyds share sale in focus ,* Barclays to outline capital plans with results on Tuesday,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130729,Britain's SFO to receive funding for Barclays probe: FT ,Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc  and Qatar Holding  the Financial Times reported on Sunday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130729,Britain's SFO to receive funding for Barclays probe-FT ,July 29 Britain's Serious Fraud Office (SFO) is expected to receive about 2 million pounds ($3.07 million) from the UK Treasury to support its criminal probe into the dealings between Barclays Plc and Qatar Holding  the Financial Times reported on Sunday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130729,Barclays planning five billion pound share sale: source ,LONDON Barclays  is planning to issue about 5 billion pounds of new shares to help plug a 7 billion pound capital shortfall triggered by new UK regulatory demands  two sources familiar with the matter told Reuters.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130729,UPDATE 4-Barclays planning 5 bln pound share sale - source ,* 5 billion pound rights issue to be announced as early as Tuesday,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130729,Barclays says will give update on capital plans Tuesday ,LONDON  July 29 Barclays said it would give an update on its capital plans alongside its first-half results on Tuesday  responding to weekend media reports the bank is considering selling new shares.,normal
