AMZN,Amazoncom Inc,20130823,Intel Media opens offices in LA  New York in TV push ,SAN FRANCISCO  Aug 23 Intel Corp's  media arm is opening offices in New York and Los Angeles as the company pushes ahead with an Internet television service that it plans to launch later this year  an Intel spokesman said on Friday.,normal
AAPL,Apple Inc,20130823,Apple  Samsung do not have to disclose profit details: court ,Apple Inc and Samsung Electronics Co Ltd do not have to make public the financial details submitted to a U.S. court during high-profile patent litigation  a federal appeals panel ruled on Friday.,topStory
AAPL,Apple Inc,20130823,CHRONOLOGY-Steve Ballmer's tenure as Microsoft CEO- ,SAN FRANCISCO  Aug 23 Microsoft Corp CEO Steve Ballmer unexpectedly announced on Friday that he would retire in 2014  13 years after he took over the dominant personal computer software company and tried to steer it into growing markets like video games  portable music players  smartphones and tablets.,normal
AAPL,Apple Inc,20130823,Apple battles U.S. over scope of e-books injunction ,NEW YORK The United States offered to ease the terms of a proposed civil injunction against Apple Inc for conspiring to raise e-book prices  but the company said the revised proposal is still designed to "inflict punishment" and must be rejected.,normal
AAPL,Apple Inc,20130823,REFILE-Apple  Samsung do not have to disclose profit details -court ,Aug 23 Apple Inc and Samsung Electronics Co Ltd do not have to make public the financial details submitted to a U.S. court during high-profile patent litigation  a federal appeals panel ruled on Friday.,normal
AAPL,Apple Inc,20130823,U.S. proposes shorter injunction in Apple e-books case ,NEW YORK  Aug 23 The U.S. government on Friday offered to cut in half the length of a proposed injunction to punish Apple Inc for conspiring with five major publishers to raise e-book prices.,normal
AAPL,Apple Inc,20130823,Google buys patents on virtual image technology from Hon Hai ,TAIPEI Taiwan's Hon Hai Precision Industry said it sold Google Inc part of a patent portfolio involving the superimposition of virtual images on real-world photos.,normal
AAPL,Apple Inc,20130823,Pandora: Sing a song of slumping shares ,SAN FRANCISCO Internet radio service Pandora Media Inc  said on Thursday that rising expenditures to acquire music and expand its sales force would push fiscal 2014 earnings below analyst expectations  and its shares slumped 5 percent.,normal
BIDU,Baidu Inc,20130823,Baidu to pay $160 million for stake in Chinese group-buying firm ,Baidu Inc   China's largest search engine provider  will acquire a stake in Chinese group-buying website Nuomi Holdings Inc for $160 million as it accelerates its push into the country's rapidly growing mobile Internet market.,topStory
BIDU,Baidu Inc,20130823,Baidu to pay $160 mln for stake in Chinese group-buying firm ,Aug 23 Baidu Inc  China's largest search engine provider  will acquire a stake in Chinese group-buying website Nuomi Holdings Inc for $160 million as it accelerates its push into the country's rapidly growing mobile Internet market.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DLBL,Barclays PLC,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DLBL,Barclays PLC,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DLBL,Barclays PLC,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DTYL,Barclays PLC,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DTYL,Barclays PLC,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DTYL,Barclays PLC,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
CCXI,ChemoCentryx Inc,20130823,GSK's Crohn's disease treatment fails in Phase III trial ,LONDON  Aug 23 British pharmaceutical group GlaxoSmithKline Plc said vercirnon  a drug it was developing to treat Crohn's disease and licensed from ChemoCentryx  had failed in a late-stage clinical trial.,topStory
ERIC,Ericsson,20130823,UPDATE 1-Huawei  ZTE win bulk of China Mobile's $3 bln 4G bonanza-sources ,SINGAPORE  Aug 23 China Mobile Ltd has awarded initial 4G contracts worth around 20 billion yuan ($3.2 billion)  with Chinese firms securing more than half of the biggest prize in the global telecoms industry this year and foreign firms winning about a third  industry sources said.,topStory
FB,Facebook Inc,20130823,UPDATE 3-Rebels smuggling Syria chemical weapons strike evidence to U.N. experts ,* Chain of custody problem threatens integrity of samples   (Adds details  quotes),topStory
HIBB,Hibbett Sports Inc,20130823,Hibbett joins list of retailers flagging weak spending ,Aug 23 Sports-goods retailer Hibbett Sports Inc  slashed its full-year earnings forecast  joining a growing chorus of retailers blaming weakening consumer spending.,topStory
INTC,Intel Corporation,20130823,Intel Media opens offices in LA  New York in TV push ,SAN FRANCISCO Intel Corp's media arm is opening offices in New York and Los Angeles as the company pushes ahead with an Internet television service that it plans to launch later this year  an Intel spokesman said on Friday.,topStory
INTC,Intel Corporation,20130823,Intel Media opens offices in LA  New York in TV push ,SAN FRANCISCO  Aug 23 Intel Corp's  media arm is opening offices in New York and Los Angeles as the company pushes ahead with an Internet television service that it plans to launch later this year  an Intel spokesman said on Friday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
FLAT,iPath US Treasury Flattener ETN,20130823,Bradley thrilled at Liberty National course record ,JERSEY CITY  New Jersey Keegan Bradley was on his way to turning a winless year into a great season after catching fire on Friday for a course-record 63 at Liberty National in the second round of The Barclays.,topStory
FLAT,iPath US Treasury Flattener ETN,20130823,Simpson storms into clubhouse lead at The Barclays ,JERSEY CITY  New Jersey Former U.S. Open winner Webb Simpson ran off six birdies in eight holes after making the second-round turn on Friday to grab a two-shot clubhouse lead at the weather-hit Barclays at Liberty National.,normal
FLAT,iPath US Treasury Flattener ETN,20130823,Kenya's Barclays signs $13 mln deal to finance oil explorer's rig ,NAIROBI  Aug 23 Barclays Bank Kenya has signed a $13 million financing deal with a unit of British oil explorer Marriot Drilling for a rig for work in Kenya  which has attracted attention after oil discoveries last year.,normal
