AMZN,Amazoncom Inc,20130916,RPT-REUTERS SUMMIT-Retailers must work harder to merge e-commerce  stores ,(Repeats Sept. 15 story for wider readership (For other news from the Reuters Global Consumer and Retail Summit  click on http://www.reuters.com/summit/Retail13),topStory
AAPL,Apple Inc,20130916,US STOCKS SNAPSHOT-Wall St mostly up as Summers withdraws  Apple down ,NEW YORK  Sept 16 U.S. stocks rose on Monday after former Treasury Secretary Lawrence Summers withdrew as a candidate for Federal Reserve chairman  removing market uncertainty about what was shaping up to be a contentious confirmation process.,topStory
AAPL,Apple Inc,20130916,MARKET PULSE- Apple  L&L Energy  Blyth  Boise  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Potash producers ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
AAPL,Apple Inc,20130916,GLOBAL MARKETS-Stocks  bonds jump after Summers drops Fed bid ,* U.S. dollar falls as Summers withdraw from Fed consideration     * Summers was seen as more hawkish than Yellen     * View that monetary policy to stay easy for longer drives moves     * U.S. stocks advance; Apple limits Nasdaq's rally       By Ryan Vlastelica     NEW YORK  Sept 16 Stocks and bonds on major markets rallied on Monday after former U.S. Treasury Secretary Lawrence Summers withdrew from consideration to be the next chairman of the Federal Reserve  leading investors to ,normal
AAPL,Apple Inc,20130916,GLOBAL MARKETS-Stocks  bonds rally after Summers drops Fed bid ,* U.S. dollar falls as Summers drops out of running for Fed chair     * Summers was seen as more hawkish than Yellen     * Shares  bonds rally on view monetary policy to stay easy for longer     * U.S. stocks advance  though Apple limits Nasdaq's rally       By Ryan Vlastelica     NEW YORK  Sept 16 Stocks and bonds on major markets rallied on Monday after former U.S. Treasury Secretary Lawrence Summers withdrew from consideration to be the next chairman of the Federal Reserve  leadin,normal
AAPL,Apple Inc,20130916,MARKET PULSE- Apple  Blyth  Micron  Boise  Pluristem  Omeros ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130916,Barclays called reckless over $511 million payments to Qatar investors ,LONDON Barclays  has been branded reckless by a British watchdog for failing to disclose payments of 322 million pounds ($511 million) in advisory fees to Qatari investors who helped bail it out during the financial crisis.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130916,UPDATE 3-Barclays called reckless over $511 mln payments to Qatar investors ,* UK regulator plans to fine bank 50 mln stg for disclosure failings,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130916,Barclays faces 50 mln stg fine for "reckless" Qatar fundraising ,LONDON  Sept 16 Britain's financial watchdog said Barclays Plc had "acted recklessly" over its failure to adequately disclose details of a 2008 fundraising with investors in Qatar and plans to fine the bank 50 million pounds ($79 million)  Barclays said.,normal
