AMZN,Amazoncom Inc,20130927,Panic button-equipped Amazon Kindles join gadget battle ,SEATTLE Amazon.com Inc has begun selling faster and lighter versions of its Kindle tablet with a unique video helpdesk feature aimed at giving it a leg-up over Apple Inc and Google Inc during the holiday season.,topStory
AAPL,Apple Inc,20130927,Martha Stewart to Apple: come fix my iPad now ,SAN FRANCISCO  Sept 27 Martha Stewart broke her beloved iPad. Can someone from Apple rush over and fix it? She's waiting.,topStory
AAPL,Apple Inc,20130927,Panic button-equipped Amazon Kindles join gadget battle ,SEATTLE Amazon.com Inc has begun selling faster and lighter versions of its Kindle tablet with a unique video helpdesk feature aimed at giving it a leg-up over Apple Inc and Google Inc during the holiday season.,normal
ARQL,ArQule Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,topStory
ARQL,ArQule Inc,20130927,MARKET PULSE-J.C. Penney  United Continental  Arqule  Yahoo ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49sfor  the Morning News Call newsletter http://link.reuters.com/nex49s) U.S. stocks fell at the open on Friday  with the S&P 500 and Dow poised to drop for the first week in four  as concerns grew over a lack of compromise in debt and budget negotiations by congressional lawmakers in Washington. The Dow Jones industrial average was down 0.27 percent  the S&P 500 was down 0.,normal
ARQL,ArQule Inc,20130927,ArQule up on hope for lung cancer drug revival ,Sept 27 ArQule Inc shares jumped 19 percent on hopes that additional data from a discontinued trial could revive its experimental drug  tivantinib  as a treatment for lung cancer.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130927,UPDATE 1-I'm buying more Barclays shares  says ousted boss Diamond ,LONDON  Sept 27 Bob Diamond  who was ousted last year as the boss of British bank Barclays Plc  said it has grown stronger since he left and he plans to buy shares in its 6 billion-pound ($9.6 billion) rights issue.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130927,Ousted boss Diamond says to buy more Barclays shares ,LONDON  Sept 27 Bob Diamond  who was ousted last year as the boss of British bank Barclays Plc  said the bank has grown stronger  since he left and he plans to buy shares in its 6 billion pound ($9.6 billion) rights issue.,normal
CZR,Caesars Entertainment Corporation,20130927,Caesars hopes to hit jackpot with Boston casino bid ,BOSTON Caesars Entertainment Corp's  proposed casino in Boston would draw elite international gamblers in the same way Las Vegas does  and marks one of the U.S. gaming industry's best cash-making opportunities  CEO Gary Loveman said on Friday.,topStory
CZR,Caesars Entertainment Corporation,20130927,Caesars hopes to hit jackpot with Boston casino bid ,BOSTON  Sept 27 Caesars Entertainment Corp's  proposed casino in Boston would draw elite international gamblers in the same way Las Vegas does  and marks one of the U.S. gaming industry's best cash-making opportunities  CEO Gary Loveman said on Friday.,normal
EBAY,eBay Inc,20130927,eBay must face Justice Department suit over recruiting: ruling ,SAN FRANCISCO A U.S. judge on Friday refused eBay's attempt to dismiss a U.S. Department of Justice civil lawsuit over its alleged agreement with Intuit to refrain from recruiting each other's employees.,topStory
