AEGN,Aegion Corp,20131105,CORRECTED-BRIEF-Franchise Services of North America subsidiary Simply Wheelz to file for bankruptcy ,(Corrects headline to say Simply Wheelz to file for bankruptcy  not files),topStory
AMZN,Amazoncom Inc,20131105,Jeff Bezos's wife and Amazon slam new book about company ,Amazon founder Jeff Bezos's wife MacKenzie on Monday used the online retail giant's own website to criticize a new high-profile book about her husband as a "lopsided and misleading portrait of the people and culture at Amazon.",topStory
AMZN,Amazoncom Inc,20131105,CORRECTED-Jeff Bezos's wife and Amazon slam new book about company ,(Corrects fifth paragraph to say Bezos  not Amazon  did not cooperate on fact-checking),normal
AMCX,AMC Networks Inc,20131105,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Nov 07 please click on          ** For events after Nov 08 please click on            - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 07 Nov    AMC    Q3 2013 AAON Inc                              0.26     2     0.16 07 Nov    BMO    Q3 2013 Atla,topStory
AAPL,Apple Inc,20131105,US STOCKS-Wall St drifts after two-day climb  data supports ,NEW YORK  Nov 5 U.S. stocks were little changed on Tuesday following two days of gains on Wall Street as investors weighed the implications of strong economic data on the path of monetary policy over the next several months.,topStory
AAPL,Apple Inc,20131105,Investors eye Samsung's cash pile at rare strategy briefing ,SEOUL  Nov 6 Investors are likely to press Samsung Electronics Co on dividends and plans to sustain growth as the world's biggest smartphone maker holds its first analysts' briefing in eight years on Wednesday.,normal
AAPL,Apple Inc,20131105,US STOCKS-Wall St declines on profit taking after two-day climb ,* Indexes off: Dow 0.56 pct  S&P 0.52 pct  Nasdaq 0.45 pct,normal
AAPL,Apple Inc,20131105,HTC expects revenue to drop in Q4 ,TAIPEI  Nov 5 Taiwan's HTC Corp  expects revenue to drop in the fourth quarter compared to the previous three months as the smartphone maker loses more ground in a market dominated by Apple Inc and Samsung Electronics.,normal
AAPL,Apple Inc,20131105,Apple to open manufacturing plant in Arizona ,Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.,normal
AAPL,Apple Inc,20131105,Apple to open manufacturing plant in Arizona ,Nov 4 Apple Inc will open a manufacturing facility in Arizona in partnership with mineral crystal specialist GT Advanced Technologies Inc to make sapphire materials for Apple's popular electronics devices.,normal
CHTR,Charter Communications Inc,20131105,Charter CFO says company in 'unique position' for a M&A deal ,Charter Communications Inc finance chief Chris Winfrey said on Tuesday he and Chief Executive Tom Rutledge have talked about potential mergers and acquisitions that would take advantage of the "unique position" the cable operator has because of its tax assets.,topStory
CHTR,Charter Communications Inc,20131105,Charter CFO says company in 'unique position' for a M&A deal ,Nov 5 Charter Communications Inc finance chief Chris Winfrey said on Tuesday he and Chief Executive Tom Rutledge have talked about potential mergers and acquisitions that would take advantage of the "unique position" the cable operator has because of its tax assets.,normal
CME,CME Group Inc,20131105,CFTC anti-speculation plan may not be so tough  data shows ,CHICAGO/WASHINGTON A new plan to curb commodity speculation could prove to be far less rigorous than feared by markets  data provided by the world's largest futures exchange the CME Group Inc showed.,topStory
CTSH,Cognizant Technology Solutions Corporation,20131105,Cognizant beats estimates as Obamacare boosts revenue ,IT services firm Cognizant Technology Solutions Corp  reported a better-than-expected 22 percent rise in revenue  helped by contracts from insurers setting up online exchanges as part of President Barack Obama's healthcare reforms.,topStory
CTSH,Cognizant Technology Solutions Corporation,20131105,UPDATE 2-Cognizant beats estimates as Obamacare boosts revenue ,* Sees 2013 earnings of at least $4.01/share vs prev forecast $3.96,normal
ENDP,Endo International plc,20131105,RPT-UPDATE 2-Endo buys Canada's Paladin to counter sliding sales ,Nov 5 U.S.-based specialty pharmaceutical company Endo Health Solutions Inc will buy Canadian peer Paladin Labs Inc to expand its presence in Canada and emerging markets  as generic competition for its top drugs squeeze sales.,topStory
ENDP,Endo International plc,20131105,Endo buys Canada's Paladin to counter sliding sales ,U.S.-based specialty pharmaceutical company Endo Health Solutions Inc will buy Canadian peer Paladin Labs Inc to expand its presence in Canada and emerging markets  as generic competition for its top drugs squeeze sales.,normal
ENDP,Endo International plc,20131105,UPDATE 2-Endo buys Canada's Paladin to counter sliding sales ,Nov 5 U.S.-based specialty pharmaceutical company Endo Health Solutions Inc will buy Canadian peer Paladin Labs Inc to expand its presence in Canada and emerging markets  as generic competition for its top drugs squeeze sales.,normal
GRFS,Grifols SA,20131105,Spain's Grifols posts 35 pct rise in 9-mth profit ,Nov 5 Spanish pharmaceutical company Grifols   the world's third-largest blood products maker  posted on Tuesday a 35 percent rise in nine-month net profit from a year earlier  boosted by overseas sales  especially in the United States.,topStory
IMGN,ImmunoGen Inc,20131105,Immunogen halts trial of lung cancer drug; shares drop ,Immunogen Inc said it would discontinue a mid-stage trial of its experimental small-cell lung cancer drug following the death of a patient  sending its shares down 17 percent.,topStory
KERX,Keryx Biopharmaceuticals Inc,20131105,Keryx says kidney drug effective; shares hit seven-year high ,Keryx Biopharmaceuticals Inc's kidney drug proved effective in treating chronic kidney disease patients not on dialysis  sending the company's shares to a seven-year high on hopes the drug could achieve blockbuster status.,topStory
KERX,Keryx Biopharmaceuticals Inc,20131105,UPDATE 2-Keryx says kidney drug effective; shares hit 7-year high ,(Adds details from conference call  analyst comments  background; updates share movement),normal
KERX,Keryx Biopharmaceuticals Inc,20131105,Keryx's kidney drug meets main goals of mid-stage study ,Nov 5 Keryx Biopharmaceuticals Inc said its kidney drug met the main goals of a mid-stage study in patients with chronic kidney disease who were not on dialysis.,normal
MKTX,MarketAxess Holdings Inc,20131105,MOVES- MarketAxess Holdings  BNY Mellon  Northern Trust ,Nov 5 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
MKTX,MarketAxess Holdings Inc,20131105,MOVES- MarketAxess Holdings  AXA ART Americas  Quantum Advisory ,Nov 5 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
MSFT,Microsoft Corporation,20131105,Microsoft rushes out fix to prevent attacks on Office PCs ,Microsoft Corp released an emergency software fix on Tuesday after it learned that hackers had exploited a previously undiscovered security flaw in its widely used Office software to infect the PCs of its customers with tainted Word documents.,topStory
NWS,News Corporation,20131105,Fox earnings miss forecasts after cable investments ,LOS ANGELES Rupert Murdoch's 21st Century Fox Inc  TV and film company reported quarterly earnings on Tuesday that missed Wall Street expectations  hurt by investments in new cable channels and a weaker performance from its movie releases.,topStory
NWSA,News Corporation,20131105,Fox earnings miss forecasts after cable investments ,LOS ANGELES Rupert Murdoch's 21st Century Fox Inc  TV and film company reported quarterly earnings on Tuesday that missed Wall Street expectations  hurt by investments in new cable channels and a weaker performance from its movie releases.,topStory
