AMGN,Amgen Inc,20131115,U.S. FDA says new cholesterol drugs may not need outcome studies ,Nov 14 Members of an experimental class of cholesterol-lowering drugs could get U.S. regulatory approval based on their ability to  lower "bad" cholesterol  and may not need to show that they reduce the risk of heart attack and stroke  the Food and Drug Administration said on Thursday.,normal
AAPL,Apple Inc,20131115,UPDATE 1-Apple marketing executive says Samsung hurt iPhone  iPad demand ,SAN JOSE  Calif.  Nov 15 A top Apple Inc  executive testified on Friday that Samsung Electronics Co Ltd undermined his company's marketing efforts  reputation and business by selling devices that copied the iPhone and iPad.,topStory
AAPL,Apple Inc,20131115,Apple marketing executive says Samsung hurt iPhone  iPad demand ,SAN JOSE  Calif.  Nov 15 A top Apple Inc  executive testified on Friday that Samsung Electronics Co Ltd undermined his company's marketing efforts  reputation and business by selling devices that copied the iPhone and iPad.,normal
AAPL,Apple Inc,20131115,Column: Inside the Apple and Google smartphone war ,This is an excerpt from DOGFIGHT: How Apple and Google Went to War and Started a Revolution by Fred Vogelstein  published in October 2013 by Sarah Crichton Books  an imprint of Farrar  Straus and Giroux  LLC.,normal
AAPL,Apple Inc,20131115,Column: Inside the Apple and Google smartphone war ,This is an excerpt from DOGFIGHT: How Apple and Google Went to War and Started a Revolution by Fred Vogelstein  published in October 2013 by Sarah Crichton Books  an imprint of Farrar  Straus and Giroux  LLC.,normal
AAPL,Apple Inc,20131115,Icahn owned 3.9 million shares of Apple as of September 30: filing ,NEW YORK Activist investor Carl Icahn disclosed Thursday that he owned about 3.88 million shares of technology giant Apple Inc.  at the end of September  a regulatory filing showed.,normal
AAPL,Apple Inc,20131115,CORRECTED-Icahn owned 3.9 million shares of Apple as of Sept. 30 -filing ,(Corrects seventh paragraph to say Icahn Enterprises L.P. shares up more than 158 percent),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131115,Barclays Europe retail aims for 500 million pounds profit after revamp ,LONDON Barclays  retail operations in Italy  Spain  France and Portugal will return to profit in two years and could deliver 500 million pounds ($805 million) of annual earnings once a turnaround of the business takes hold.,topStory
BMRN,BioMarin Pharmaceutical Inc,20131115,BioMarin's Morquio A drug confers 'modest' benefit: FDA review ,An experimental drug to treat a rare genetic disorder that causes skeletal malformation and a host of related lung  eye  ear and heart problems confers "modest" benefit  according to an initial review by the U.S. Food and Drug Administration.,topStory
BMRN,BioMarin Pharmaceutical Inc,20131115,UPDATE 2-BioMarin's Morquio A drug confers "modest" benefit - FDA review ,Nov 15 An experimental drug to treat a rare genetic disorder that causes skeletal malformation and a host of related lung  eye  ear and heart problems confers "modest" benefit  according to an initial review by the U.S. Food and Drug Administration.,normal
BMRN,BioMarin Pharmaceutical Inc,20131115,BioMarin's Morquio A drug confers "modest" benefit -FDA review ,Nov 15 An experimental drug to treat a rare genetic disorder that causes skeletal malformation and a host of related lung  eye ear and heart problems confers "modest" benefit  according to an initial review by the U.S. Food and Drug Administration.,normal
CSCO,Cisco Systems Inc,20131115,Spy scandal weighs on U.S. tech firms in China  Cisco takes hit ,SINGAPORE U.S. technology companies including Cisco Systems Inc  International Business Machines Corp and Microsoft Corp may face new challenges selling their goods and services in China as fallout from the U.S. spying scandal starts to take a toll.,topStory
CMCSA,Comcast Corporation,20131115,Comcast to sell digital movies through cable boxes  website ,LOS ANGELES Comcast Corp plans to start selling movies for download and streaming through the cable operator's set-top boxes and its Xfinity TV website  according to people with knowledge of the plan.,topStory
CMCSA,Comcast Corporation,20131115,UPDATE 2-Comcast to sell digital movies through cable boxes  website ,(New throughout  adds details on new service  digital sales),normal
CVTI,Covenant Transportation Group Inc,20131115,Update-Moody's: Covenant headroom at BW Group improves on loan repayment ,For the full text of this story please click the following link:,topStory
CTIC,CTI BioPharma Corp,20131115,Cell Therapeutics soars 24 percent after drug deal with Baxter ,Cell Therapeutics Inc's  shares rose as much as 24 percent after Baxter International Inc  threw its financial and marketing heft behind the smaller company's bone marrow disorder drug.,topStory
CTIC,CTI BioPharma Corp,20131115,UPDATE 1-Cell Therapeutics soars 24 pct after drug deal with Baxter ,(Adds details  CEO comments from conference call  analyst comments; adds share movement),normal
CTIC,CTI BioPharma Corp,20131115,Cell Therapeutics shares soar 30 pct after deal with Baxter ,Nov 15 Baxter International Inc agreed to develop and market Cell Therapeutics Inc's bone marrow disorder drug for payments that could total up to $362 million  sending Cell Therapeutics' shares up more than 30 percent before the bell.,normal
FB,Facebook Inc,20131115,UPDATE 3-Sotheby's  BofA  J.C. Penney attract hedge fund buyers ,NEW YORK/BOSTON  Nov 14 Top U.S. hedge fund managers in the third quarter zoned in on the consumer sector  with investment plays ranging from Sotheby's  a high-end auction house that caters to millionaires  to J.C. Penney Co   the struggling department store chain.,normal
IEP,Icahn Enterprises LP,20131115,Icahn owned 3.9 million shares of Apple as of September 30: filing ,NEW YORK Activist investor Carl Icahn disclosed Thursday that he owned about 3.88 million shares of technology giant Apple Inc.  at the end of September  a regulatory filing showed.,topStory
IEP,Icahn Enterprises LP,20131115,CORRECTED-Icahn owned 3.9 million shares of Apple as of Sept. 30 -filing ,(Corrects seventh paragraph to say Icahn Enterprises L.P. shares up more than 158 percent),normal
MAR,Marriott International,20131115,Mexico's Fibra Hotel joins Marriott to build 20 new hotels ,MEXICO CITY  Nov 14 Mexican real estate investment trust Fibra Hotel said on Thursday it had signed a deal with U.S. hotel chain Marriott International Inc  to build and operate 20 new hotels in Mexico by 2016.,topStory
MSFT,Microsoft Corporation,20131115,Bill Gates wants Norway's $800 billion fund to spend more in Africa  Asia ,OSLO Philanthropist and Microsoft co-founder Bill Gates called on Norway's $800 billion oil fund  one of the biggest investors in the world  to spend more in the poorest countries  gaining the prime minister's support with his proposal.,topStory
