AAPL,Apple Inc,20131210,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance. | Video ,topStory
CHTR,Charter Communications Inc,20131210,Time Warner Cable  Charter execs see benefits of deals but in no rush ,Time Warner Cable's incoming chief executive Rob Marcus said on Monday he is in no hurry to sell the company  while Charter's CEO Tom Rutledge  a potential suitor  said the smaller company sees benefits in growing through acquisitions.,topStory
CHTR,Charter Communications Inc,20131210,CORRECTED-UPDATE 1-Time Warner Cable  Charter execs see benefits of deals but in no rush ,(Corrects attribution of quote in paragraph three to Marcus  not Rutledge),normal
CMCSA,Comcast Corporation,20131210,CORRECTED-UPDATE 1-Time Warner Cable  Charter execs see benefits of deals but in no rush ,(Corrects attribution of quote in paragraph three to Marcus  not Rutledge),normal
DISCA,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks: report ,Shares of Scripps Networks Interactive soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications is considering a bid for the sought-after cable company.,topStory
DISCA,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks-report ,Dec 10 Shares of Scripps Networks Interactive  soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications  is considering a bid for the sought-after cable company.,normal
DISCB,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks: report ,Shares of Scripps Networks Interactive soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications is considering a bid for the sought-after cable company.,topStory
DISCB,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks-report ,Dec 10 Shares of Scripps Networks Interactive  soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications  is considering a bid for the sought-after cable company.,normal
DISCK,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks: report ,Shares of Scripps Networks Interactive soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications is considering a bid for the sought-after cable company.,topStory
DISCK,Discovery Communications Inc,20131210,Discovery considering bid for Scripps Networks-report ,Dec 10 Shares of Scripps Networks Interactive  soared more than 11 percent after the market closed on Tuesday on a news report that Discovery Communications  is considering a bid for the sought-after cable company.,normal
FB,Facebook Inc,20131210,U.S. tech companies call for more controls on surveillance ,LONDON Eight major U.S. web companies  including Apple  Google and Facebook  made a joint call on Monday for tighter controls on how governments collect personal data  intensifying the furor over online surveillance. | Video ,topStory
FEYE,FireEye Inc,20131210,Chinese hackers spied on Europeans before G20 meeting: researcher ,BOSTON Chinese hackers eavesdropped on the computers of five European foreign ministries before last September's G20 Summit  which was dominated by the Syrian crisis  according to research by computer security firm FireEye Inc,topStory
FEYE,FireEye Inc,20131210,UPDATE 1-Chinese hackers spied on Europeans before G20 meeting-researcher ,BOSTON  Dec 9 Chinese hackers eavesdropped on the computers of five European foreign ministries before last September's G20 Summit  which was dominated by the Syrian crisis  according to research by computer security firm FireEye Inc,normal
GILD,Gilead Sciences Inc,20131210,BRIEF-Gilead Sciences shares hit session low  down 6.5 pct in heavy volume ,NEW YORK  Dec 10 Gilead Sciences Inc :  * Shares hit session low  down 6.5 percent in heavy volume,topStory
LULU,lululemon athletica inc,20131210,Lululemon aims to move past gaffes with new CEO  chairman ,TORONTO Lululemon Athletica Inc  named a new chief executive on Tuesday and said founder Chip Wilson will step down as chairman  as the upscale yogawear retailer tries to expand globally and put a series of embarrassing quality issues and other gaffes behind it.,topStory
LULU,lululemon athletica inc,20131210,Lululemon's newly named CEO says to focus on product quality ,TORONTO Lululemon Athletica Inc's  newly named chief executive said in an interview on Tuesday that product quality will be a priority when he takes the helm at the high-end yogawear maker.,normal
LULU,lululemon athletica inc,20131210,UPDATE 4-Lululemon aims to move past gaffes with new CEO  chairman ,TORONTO  Dec 10 Lululemon Athletica Inc  named a new chief executive on Tuesday and said founder Chip Wilson will step down as chairman  as the upscale yogawear retailer tries to expand globally and put a series of embarrassing quality issues and other gaffes behind it.,normal
LULU,lululemon athletica inc,20131210,US STOCKS-Wall St slightly lower  S&P retreats from record close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
LULU,lululemon athletica inc,20131210,US STOCKS-Wall St retreats from record S&P 500 close ,* Lululemon falls as retailer names new CEO  founder steps down,normal
LULU,lululemon athletica inc,20131210,BRIEF-Lululemon's new CEO aims to grow Lulu into global brand ,Dec 10 Lululemon Athletica Inc :  * New CEO says will leverage company's qualities to turn it into global,normal
LULU,lululemon athletica inc,20131210,US STOCKS-Wall St set for lower open after record close; GM in focus ,* Lululemon names new CEO  founder Chip Wilson to step down; shares up,normal
LULU,lululemon athletica inc,20131210,US STOCKS-S&P 500 futures lower; market set to pause after record close ,* Lululemon names new CEO  founder Chip Wilson to step down; shares up,normal
