AMZN,Amazoncom Inc,20131218,Italy revises "Google tax" to exclude goods purchased online ,ROME  Dec 18 Italian lawmakers have revised proposed legislation that would raise revenue from online companies including Google and Amazon  but its passage is still uncertain as the leader of the main ruling party said it should be scrapped.,topStory
AMCX,AMC Networks Inc,20131218,Creator of hit TV series 'The Walking Dead' sues AMC ,The creator behind the hit TV series "The Walking Dead" is suing the cable network AMC claiming that he was cheated out of profits.,topStory
AMCX,AMC Networks Inc,20131218,UPDATE 1-Creator of hit TV series 'The Walking Dead' sues AMC ,Dec 17 The creator behind the hit TV series "The Walking Dead" is suing the cable network AMC claiming that he was cheated out of profits.,normal
AMCX,AMC Networks Inc,20131218,Creator of hit TV series 'The Walking Dead' sues AMC ,Dec 17 The creator behind the hit TV series "The Walking Dead" is suing the cable network AMC claiming that he was cheated out of profits.,normal
AAPL,Apple Inc,20131218,UPDATE 2-Beyonce album sets iTunes sales record  tops Billboard chart ,LOS ANGELES  Dec 18 R&B star Beyonce's latest self-titled album surpassed 1 million copies sold worldwide in six days on Wednesday and set a record for iTunes  Apple Inc  and Columbia Records said.,topStory
AAPL,Apple Inc,20131218,UPDATE 1-Beyonce album sets iTunes sales record  tops Billboard chart ,LOS ANGELES  Dec 18 R&B star Beyonce's latest self-titled album surpassed 1 million copies sold worldwide in six days on Wednesday and set a record for iTunes  Apple Inc.  and Columbia Records said.,normal
AAPL,Apple Inc,20131218,China Mobile chairman says still in talks with Apple on iPhone deal ,TAIPEI China Mobile Ltd said it's still in talks with Apple Inc to sell iPhones amid mounting industry speculation that the pair are about to announce a deal to net the technology giant hundreds of millions of potential new customers.,normal
AAPL,Apple Inc,20131218,China Mobile chairman says still in talks with Apple on iPhone deal ,TAIPEI  Dec 18 China Mobile Ltd said it's still in talks with Apple Inc to sell iPhones amid mounting industry speculation that the pair are about to announce a deal to net the technology giant hundreds of millions of potential new customers.,normal
DISH,DISH Network Corporation,20131218,Exclusive: Dish eyes 2014 bid for T-Mobile - sources ,Dish  is considering making a bid for T-Mobile  next year  according to people close to the matter  in what would be the satellite TV provider's second attempt in as many years at acquiring a major wireless operator and potentially setting the stage for a new bidding war with Softbank .,topStory
DISH,DISH Network Corporation,20131218,Centerbridge abandons deal to buy LightSquared - WSJ ,Dec 18 Private equity firm Centerbridge Partners LP backed out of its deal to buy LightSquared Inc  amid uncertainty over when federal regulators would clear the way for the company to build out its wireless network  the Wall Street Journal reported.,normal
DISH,DISH Network Corporation,20131218,PRESS DIGEST - Wall Street Journal - Dec 18 ,Dec 18 The following are the top stories in the Wall Street Journal. Reuters has not verified these stories and does not vouch for their accuracy.,normal
ERIC,Ericsson,20131218,UPDATE 3-NORDIC STOCKS - Factors to watch on Dec 18 ,OSLO  Dec 18 The following stocks may be affected by newspaper reports and other factors on Wednesday:,topStory
ERIC,Ericsson,20131218,BRIEF-Japan's KDDI selects Ericsson as one of its LTE vendors ,STOCKHOLM  Dec 18 ERICSSON :  * Japan's KDDI selects Ericsson for LTE,normal
FB,Facebook Inc,20131218,UPDATE 3-Facebook  Zuckerberg  banks must face IPO lawsuit -judge ,NEW YORK  Dec 18 Facebook Inc  Chief Executive Mark Zuckerberg and dozens of banks must face a lawsuit accusing the social media company of misleading investors about its health before its $16 billion initial public offering  a federal judge said.,topStory
FB,Facebook Inc,20131218,Facebook  Zuckerberg  banks must face lawsuit over IPO ,NEW YORK  Dec 18 A federal judge said Facebook Inc  Chief Executive Mark Zuckerberg and dozens of banks must face a lawsuit accusing the social media company of misleading investors about its financial condition before its $16 billion initial public offering last year.,normal
FB,Facebook Inc,20131218,BRIEF-Facebook  CEO  banks must face investor lawsuit over Facebook IPO ,Dec 18 Facebook Inc :  * CEO Mark Zuckerberg  banks fail to win dismissal of investor lawsuit over,normal
FB,Facebook Inc,20131218,Swedish payments firm Klarna expands in Europe with German deal ,STOCKHOLM  Dec 18 Swedish online payments firm Klarna is buying German peer SOFORT  giving it a 10 percent share of the e-commerce payments market in the 14 European countries in which the two firms operate and building up its challenge to larger rival PayPal.,normal
FTR,Frontier Communications Corporation,20131218,Fitch Downgrades Frontier Communications' IDR to 'BB'; Outlook Revised to Stable ,(The following statement was released by the rating agency) CHICAGO  December 18 (Fitch) Fitch Ratings has downgraded the Issuer Default  Rating (IDR) and long-term debt ratings of Frontier Communications Corporation  (Frontier) (NYSE: FTR) as follows:  --IDR to 'BB' from 'BB+'; --Senior unsecured $750 million revolving credit facility due 2016 to 'BB' from  'BB+';  --Senior unsecured notes and debentures to 'BB' from 'BB+'.  The Rating Outlook is revised to Stable from Negative. In addition  Fi,topStory
FTRPR,Frontier Communications Corporation,20131218,Fitch Downgrades Frontier Communications' IDR to 'BB'; Outlook Revised to Stable ,(The following statement was released by the rating agency) CHICAGO  December 18 (Fitch) Fitch Ratings has downgraded the Issuer Default  Rating (IDR) and long-term debt ratings of Frontier Communications Corporation  (Frontier) (NYSE: FTR) as follows:  --IDR to 'BB' from 'BB+'; --Senior unsecured $750 million revolving credit facility due 2016 to 'BB' from  'BB+';  --Senior unsecured notes and debentures to 'BB' from 'BB+'.  The Rating Outlook is revised to Stable from Negative. In addition  Fi,topStory
GILD,Gilead Sciences Inc,20131218,Stellar hepatitis C data puts Gilead farther ahead of pack ,Gilead Sciences Inc released impressive late-stage data Wednesday for its once-daily combination pill to treat hepatitis C  advancing its lead in the race to develop new  all-oral treatments for the liver disease  and pushed up its timeline for seeking U.S. approval.,topStory
GILD,Gilead Sciences Inc,20131218,UPDATE 3-Stellar hepatitis C data puts Gilead farther ahead of pack ,Dec 18 Gilead Sciences Inc released impressive late-stage data Wednesday for its once-daily combination pill to treat hepatitis C  advancing its lead in the race to develop new  all-oral treatments for the liver disease  and pushed up its timeline for seeking U.S. approval.,normal
GILD,Gilead Sciences Inc,20131218,Stellar hepatitis C data puts Gilead farther ahead of pack ,Gilead Sciences Inc released impressive late-stage data for its once-daily combination pill to treat hepatitis C  advancing its lead in the race to develop new  all-oral treatments for the liver disease  and pushed up its timeline for seeking U.S. approval.,normal
GILD,Gilead Sciences Inc,20131218,Gilead to seek okay for combo hepatitis C pill in Q1 ,Dec 18 Gilead Sciences Inc  based on favorable new clinical trial data  said it will seek U.S. approval in the first quarter of 2014 for a once-daily tablet containing two new treatments for hepatitis C.,normal
GILD,Gilead Sciences Inc,20131218,BRIEF-Gilead to submit new drug application for Sofosbuvir and Ledipasvir in Q1 2014 ,Dec 18 Gilead Sciences Inc :  * Announces SVR12 rates from three phase 3 studies evaluating a once-daily,normal
NDAQ,Nasdaq Inc,20131218,UPDATE 3-Facebook  Zuckerberg  banks must face IPO lawsuit -judge ,NEW YORK  Dec 18 Facebook Inc  Chief Executive Mark Zuckerberg and dozens of banks must face a lawsuit accusing the social media company of misleading investors about its health before its $16 billion initial public offering  a federal judge said.,normal
NDAQ,Nasdaq Inc,20131218,Facebook  Zuckerberg  banks must face lawsuit over IPO ,NEW YORK  Dec 18 A federal judge said Facebook Inc  Chief Executive Mark Zuckerberg and dozens of banks must face a lawsuit accusing the social media company of misleading investors about its financial condition before its $16 billion initial public offering last year.,normal
PAYX,Paychex Inc,20131218,BRIEF-Paychex up in extended trading after results ,NEW YORK  Dec 18 Paychex Inc :  * Shares up 1.2 percent in extended trading after results,topStory
TSLA,Tesla Inc ,20131218,Exclusive: Tesla Model S charging system may have started garage fire - California fire dept ,A fire department in Southern California said a garage fire may have been caused by an overheated charging system in a Tesla Model S sedan  in the latest link between the top selling electric car and the potential for fire.,topStory
CG,The Carlyle Group LP,20131218,Carlyle taps Credit Suisse to explore $3 billion sale of PQ: sources ,NEW YORK Carlyle Group LP  has hired Credit Suisse Group AG  to explore a sale of specialty chemical company PQ Corp  which it is hoping to sell for as much as $3 billion  according to three people familiar with the matter.,topStory
CG,The Carlyle Group LP,20131218,Carlyle taps Credit Suisse to explore $3 bln sale of PQ -sources ,NEW YORK  Dec 18 Carlyle Group LP has hired Credit Suisse Group AG to explore a sale of specialty chemical company PQ Corp  which it is hoping to sell for as much as $3 billion  according to three people familiar with the matter.,normal
TCGP,The Carlyle Group LP,20131218,Carlyle taps Credit Suisse to explore $3 billion sale of PQ: sources ,NEW YORK Carlyle Group LP  has hired Credit Suisse Group AG  to explore a sale of specialty chemical company PQ Corp  which it is hoping to sell for as much as $3 billion  according to three people familiar with the matter.,topStory
TCGP,The Carlyle Group LP,20131218,Carlyle taps Credit Suisse to explore $3 bln sale of PQ -sources ,NEW YORK  Dec 18 Carlyle Group LP has hired Credit Suisse Group AG to explore a sale of specialty chemical company PQ Corp  which it is hoping to sell for as much as $3 billion  according to three people familiar with the matter.,normal
WPCS,WPCS International Incorporated,20131218,BRIEF-WPCS shares down 9 pct in premarket trading ,NEW YORK  Dec 18 WPCS International Inc :  * Shares down 9 percent in premarket trading,topStory
ABBV,AbbVie Inc,20131218,UPDATE 3-Stellar hepatitis C data puts Gilead farther ahead of pack ,Dec 18 Gilead Sciences Inc released impressive late-stage data Wednesday for its once-daily combination pill to treat hepatitis C  advancing its lead in the race to develop new  all-oral treatments for the liver disease  and pushed up its timeline for seeking U.S. approval.,normal
AKS,AK Steel Holding Corporation,20131218,BRIEF-AK Steel up in extended trading after outlook ,NEW YORK  Dec 18 AK Steel Holding Corp :  * Shares rise 5.2 percent in extended trading after outlook,topStory
ALL,Allstate Corporation (The),20131218,Fitch Affirms Allstate's Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO/NEW YORK  December 18 (Fitch) Fitch Ratings has assigned a 'BB+' rating  to Allstate's issuance of preferred stock. At the same time  Fitch affirmed the  'A-' Issuer Default Rating (IDR) of The Allstate Corporation (Allstate) as well  as the 'A+' Insurer Financial Strength (IFS) ratings of Allstate Insurance Co.  and its property/casualty subsidiaries  and the 'A-' IFS ratings of Allstate  Life Insurance Co. and the other life s,topStory
ADM,Archer-Daniels-Midland Company,20131218,InVivo says studying operational ties with ADM ,PARIS  Dec 18 French cooperative group InVivo and U.S.-based Archer Daniels Midland Co are considering developing operational ties in grain trading to build on their current relationship as fellow shareholders in Toepfer  InVivo's CEO said on Wednesday.,topStory
