CAR,Avis Budget Group Inc,20131230,Hertz adopts shareholder rights plan ,Dec 30 Hertz Global Holdings Inc  the No. 2 U.S. car rental company  said it adopted a shareholder rights plan as it had observed "unusual and substantial activity" in its shares.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131230,BONDNEWS LATAM-Barclays says OGX creditors should make DIP loan ,Owners of the $3.8 billion in bonds sold by Brazilian tycoon Eike Batista's Oleo e Gas Participações SA  formerly known as OGX Petroleo e Gas Participações SA  should take part in their share of a planned $215-million  debtor-in-posession (DIP) loan for the bankrupt company  Barclays said in a report on Monday.,topStory
BIOL,Biolase Inc,20131230,BRIEF-BIOLASE up 19.2 percent premarket; granted Canadian license for soft tissue diode laser ,NEW YORK  Dec 30 BIOLASE Inc :  * Up 19.2 percent to $3.10 in premarket; granted Canadian license for soft tissue diode laser,topStory
CBRL,Cracker Barrel Old Country Store Inc,20131230,Cracker Barrel rejects top shareholder Biglari's call for sale ,Dec 30 Restaurant chain Cracker Barrel Old Country Store Inc has rejected activist investor and top shareholder Sardar Biglari's demand to sell itself.,topStory
CROX,Crocs Inc,20131230,US STOCKS-Wall St closes mostly flat  but Dow hits record ,* Rise in November pending home sales weaker than expected,topStory
CROX,Crocs Inc,20131230,US STOCKS-Wall St trades flat; housing data falls short ,* Rise in November pending home sales weaker than expected,normal
CROX,Crocs Inc,20131230,US STOCKS-Wall St flat  housing data falls short ,* Rise in Nov.'s pending home contracts weaker than expected,normal
CROX,Crocs Inc,20131230,US STOCKS-Wall St set for flat open; home sales data due ,* Futures: Dow up 8 pts  S&P up 0.5 pt  Nasdaq off 2.5 pts,normal
CROX,Crocs Inc,20131230,US STOCKS-Futures little changed; home sales data on tap ,* Futures: Dow up 13 pts  S&P up 1.2 pts  Nasdaq off 0.5 pt,normal
CROX,Crocs Inc,20131230,US STOCKS-Futures little changed ahead of home sales data ,NEW YORK  Dec 30 U.S. stock index futures were little changed on Monday  in the wake of the best two-week advance for the S&P 500 in five months  and ahead of data on the housing market.,normal
CROX,Crocs Inc,20131230,BRIEF-Crocs up 13.1 percent premarket after investment deal with Blackstone Group ,NEW YORK  Dec 30 Crocs Inc :  * Up 13.1 percent to $15.07 in premarket after investment deal with Blackstone Group,normal
CROX,Crocs Inc,20131230,Crocs to receive $200 million from Blackstone  CEO to retire ,NEW YORK Crocs Inc  said Blackstone Group LP  is making a $200 million investment that will give the private equity firm a 13 percent stake in the shoe company.,normal
CROX,Crocs Inc,20131230,UPDATE 1-Crocs to receive $200 mln from Blackstone  CEO to retire ,NEW YORK  Dec 29 Crocs Inc said Blackstone Group LP is making a $200 million investment that will give the private equity firm a 13 percent stake in the shoe company.,normal
CROX,Crocs Inc,20131230,Blackstone to invest $200 million in Crocs-WSJ ,NEW YORK  Dec 29 Blackstone Group LP is making a $200 million investment in Crocs Inc that will give the private equity firm a 13 percent stake in the shoe company  Crocs' chief financial officer told the Wall Street Journal on Sunday.,normal
KNDI,Kandi Technologies Group Inc,20131230,BRIEF-Kandi Technologies up 8.8 percent premarket ,NEW YORK  Dec 30 Kandi Technologies Group Inc  :  * Up 8.8 percent to $11.25 in premarket trade,topStory
MRVL,Marvell Technology Group Ltd,20131230,KKR reports stake in chipmaker Marvell ,Private equity firm KKR & Co LLP has reported a 6.8 percent stake in chipmaker Marvell Technology Group Ltd  according to a regulatory filing.,topStory
MRVL,Marvell Technology Group Ltd,20131230,KKR reports stake in chipmaker Marvell ,Dec 30 Private equity firm KKR & Co LLP  has reported a 6.8 percent stake in chipmaker Marvell Technology Group Ltd  according to a regulatory filing.,normal
MSFT,Microsoft Corporation,20131230,Nokia Solutions chairman to step down after Microsoft deal ,HELSINKI Nokia said the chairman of its networking equipment unit  Nokia Solutions and Networks (NSN)  will step down following the sale of the Finnish company's mobile phone business to Microsoft.,topStory
MSFT,Microsoft Corporation,20131230,Nokia Solutions chairman to step down after Microsoft deal ,HELSINKI  Dec 30 Nokia said the chairman of its networking equipment unit  Nokia Solutions and Networks (NSN)  will step down following the sale of the Finnish company's mobile phone business to Microsoft.,normal
MDLZ,Mondelez International Inc,20131230,Mondelez sells SnackWell's business to joint venture ,Packaged foods company Mondelez International Inc  has sold its SnackWell's cookies and snacks business to its joint venture with Brynwood Partners VI LP  the private equity firm said on Monday.,topStory
MDLZ,Mondelez International Inc,20131230,UPDATE 1-Mondelez sells SnackWell's business to joint venture ,Dec 30 Packaged foods company Mondelez International Inc has sold its SnackWell's cookies and snacks business to its joint venture with Brynwood Partners VI LP  the private equity firm said on Monday.,normal
MDLZ,Mondelez International Inc,20131230,Mondelez to sell controlling stake in SnackWell's business - WSJ ,Dec 30 Packaged food company Mondelez International Inc has agreed to sell a controlling interest in its SnackWell's cookie and cracker business to private equity firm Brynwood Partners  the Wall Street Journal reported.,normal
AEUA,Anadarko Petroleum Corporation,20131230,UPDATE 1-Vanguard Natural to buy oil and gas assets for $581 mln ,* Vanguard buys from a unit of oil and gas producer Anadarko,topStory
APC,Anadarko Petroleum Corporation,20131230,UPDATE 1-Vanguard Natural to buy oil and gas assets for $581 mln ,* Vanguard buys from a unit of oil and gas producer Anadarko,topStory
AZN,Astrazeneca PLC,20131230,UPDATE 1-Pension funds hive off record amount of old-age risk ,LONDON  Dec 30 The market that final salary pension funds are banking on to insure against the cost of longer lifespans has chalked up a record 8.9 billion pounds ($14.7 billion) in deals in 2013.,topStory
AZN,Astrazeneca PLC,20131230,CORRECTED-Pension funds hive off record amount of long-life risk ,(Clarifies definition of buy-out and buy-in in paragraphs 17 and 18),normal
BAC,Bank of America Corporation,20131230,Detroit mediators ask judge to approve swaps deal ,DETROIT  Dec 30 The mediators who oversaw negotiations between Detroit and two banks to strike a deal to end a costly interest-rate swap agreement recommended on Monday that the judge in charge of Detroit's bankruptcy approve the agreement  arguing the deal is a critical first step toward resolving the historic case.,normal
BCS,Barclays PLC,20131230,BONDNEWS LATAM-Barclays says OGX creditors should make DIP loan ,Owners of the $3.8 billion in bonds sold by Brazilian tycoon Eike Batista's Oleo e Gas Participações SA  formerly known as OGX Petroleo e Gas Participações SA  should take part in their share of a planned $215-million  debtor-in-posession (DIP) loan for the bankrupt company  Barclays said in a report on Monday.,topStory
