AAL,American Airlines Group Inc,20140513,Smoke at Chicago-area radar center cancels hundreds of flights ,CHICAGO Smoke at an Illinois flight control center halted air traffic at Chicago airports for about three hours on Tuesday and forced hundreds of flights to be canceled  officials said.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DLBL,Barclays PLC,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DLBL,Barclays PLC,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DTYL,Barclays PLC,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DTYL,Barclays PLC,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
CETV,Central European Media Enterprises Ltd,20140513,Broadcaster CME sees growth  no talks on sale -paper ,PRAGUE  May 13 Broadcaster Central European Media Enterprises  (CME) will continue growing on the basis of 2014 results  its co-chief executive was quoted as saying on Tuesday.,topStory
CSCO,Cisco Systems Inc,20140513,Dow  S&P 500 end at record highs again ,NEW YORK The Dow and the S&P 500 eked out record closing highs again on Tuesday  while the Nasdaq resumed its recent slide  dragged down by shares of Cisco . | Video ,topStory
CSCO,Cisco Systems Inc,20140513,US STOCKS-Dow  S&P 500 end at record highs again; Nasdaq slips ,* Homebuilders rally; Keurig up on Coke's plan to raise stake,normal
CSCO,Cisco Systems Inc,20140513,US STOCKS SNAPSHOT-Dow  S&P 500 eke out gains to end at records ,NEW YORK  May 13 The Dow and the S&P 500 closed at record highs again on Tuesday  while the Nasdaq slipped  weighed down by Cisco and Comcast.,normal
CSCO,Cisco Systems Inc,20140513,US STOCKS-S&P 500 briefly rises above 1 900; Nasdaq pulls back ,* Homebuilders rally; Keurig up on Coke's plan to raise stake,normal
CMCSA,Comcast Corporation,20140513,US STOCKS SNAPSHOT-Dow  S&P 500 eke out gains to end at records ,NEW YORK  May 13 The Dow and the S&P 500 closed at record highs again on Tuesday  while the Nasdaq slipped  weighed down by Cisco and Comcast.,topStory
DISH,DISH Network Corporation,20140513,UPDATE 4-AT&T in talks to buy DirecTV for nearly $50 bln -sources ,NEW YORK/LOS ANGELES  May 12 AT&T Inc is in active talks to buy satellite TV provider DirecTV and may complete a deal in the next few weeks that could be worth close to $50 billion  two people familiar with the matter said on Monday.,normal
ESLT,Elbit Systems Ltd,20140513,UPDATE 1-Elbit Systems rising backlog points to future revenue growth ,* To pay dividend of $0.32 for Q1 vs $0.30 for Q4   (Adds comments from CEO  share reaction  background),topStory
ESLT,Elbit Systems Ltd,20140513,Israel's Elbit Systems Q1 profit tops estimates ,TEL AVIV  May 13 Israeli defence electronics firm Elbit Systems reported flat quarterly profit that beat analysts' estimates  as the company won contracts in Asia-Pacific and Latin America  the company said on Tuesday.,normal
ESLT,Elbit Systems Ltd,20140513,BRIEF-Israel's Elbit Systems Q1 results ,* Q1 revenue view $697.2 million  EPS ex-items view $1.07 -Thomson Reuters I/B/E/S,normal
ERIC,Ericsson,20140513,BRIEF-Ericsson appoints Weidman-Grunewald to leadership team ,STOCKHOLM  May 13 ERICSSON :  * Ericsson strengthens commitment to sustainability and corporate,topStory
ERIC,Ericsson,20140513,BRIEF-Telefônica Vivo selects Ericsson for Brazilian digital city project ,STOCKHOLM  May 13 ERICSSON :  * Telefônica Vivo selects Ericsson for Brazilian digital city project Link to statement: http://r.reuters.com/kuk39v,normal
FB,Facebook Inc,20140513,UPDATE 1-Facebook says it may open sales office in China ,May 12 Facebook Inc said it may consider opening a sales office in China to provide more support to local advertisers who use the website to reach customers overseas.,topStory
FB,Facebook Inc,20140513,Facebook to open sales office in China -Bloomberg ,May 12 Facebook Inc plans to open a sales office in China to work with local advertisers  Bloomberg reported  citing people familiar with the matter.,normal
FOSL,Fossil Group Inc,20140513,Fossil quarterly profit down as operating expense rises ,May 13 Fashion accessory maker and retailer Fossil Group Inc reported an 8 percent fall in quarterly profit  as operating costs shot up.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
FLAT,iPath US Treasury Flattener ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
FLAT,iPath US Treasury Flattener ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
FLAT,iPath US Treasury Flattener ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20140513,Barclays names new heads for equity sales and trading in Asia Pacific ,HONG KONG  May 13 Barclays Plc has appointed John Chang and Vikesh Kotecha to lead its equities sales and trading business in Asia Pacific  a spokesman for the bank said on Tuesday.,normal
STPP,iPath US Treasury Steepener ETN,20140513,Morgan Stanley hires senior Barclays executive - NYT ,May 13 Morgan Stanley has hired a senior Barclays Plc executive  the New York Times reported  citing an internal memo from the U.S. bank.,topStory
STPP,iPath US Treasury Steepener ETN,20140513,MOVES-Barclays  BNP Paribas  Citigroup ,May 13 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
