ADBE,Adobe Systems Incorporated,20140516,Adobe Creative Cloud up after outage  may compensate customers ,May 16 Adobe Systems Inc said on Friday that access to its Creative Cloud was restored following an outage that disrupted the Web-based  subscription service to top-selling software programs including Photoshop  Illustrator and Flash for about a day.,topStory
GOOG,Alphabet Inc,20140516,Apple  Google settle smartphone patent litigation ,SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,topStory
GOOG,Alphabet Inc,20140516,UPDATE 1-Apple  Google settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,normal
GOOG,Alphabet Inc,20140516,Apple  Google agree to settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple and Google's Motorola Mobility unit have agreed to dismiss high profile U.S. patent litigation against each other over smartphone technology  according to a court filing on Friday.,normal
GOOGL,Alphabet Inc,20140516,Apple  Google settle smartphone patent litigation ,SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,topStory
GOOGL,Alphabet Inc,20140516,UPDATE 1-Apple  Google settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,normal
GOOGL,Alphabet Inc,20140516,Apple  Google agree to settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple and Google's Motorola Mobility unit have agreed to dismiss high profile U.S. patent litigation against each other over smartphone technology  according to a court filing on Friday.,normal
AAPL,Apple Inc,20140516,Apple  Google settle smartphone patent litigation ,SAN FRANCISCO Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,topStory
AAPL,Apple Inc,20140516,UPDATE 1-Apple  Google settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple Inc and Google Inc's Motorola Mobility unit have agreed to settle all patent litigation between them over smartphone technology  ending one of the highest profile lawsuits in technology.,normal
AAPL,Apple Inc,20140516,Apple  Google agree to settle smartphone patent litigation ,SAN FRANCISCO  May 16 Apple and Google's Motorola Mobility unit have agreed to dismiss high profile U.S. patent litigation against each other over smartphone technology  according to a court filing on Friday.,normal
BIDU,Baidu Inc,20140516,Baidu hires former Google artificial intelligence chief ,SAN FRANCISCO  May 16 China's top search engine Baidu Inc has hired Google Inc's former artificial intelligence (AI) chief Andrew Ng to spearhead research in a field that promises to show Internet companies how to maximize use of their vast data trove.,topStory
CSIQ,Canadian Solar Inc,20140516,Canadian Solar posts profit as solar module shipments rise ,May 16 Canadian Solar Inc posted its third straight quarterly profit as the company shipped more solar modules.,topStory
CSCO,Cisco Systems Inc,20140516,CORRECTED-UPDATE 3-Cisco's strong U.S. sales  popular Nexus product raise revenue ,(Corrects May 14 story to read "book-to-bill" instead of "book-to-build" in paragraph 10),topStory
CMCSA,Comcast Corporation,20140516,WWE shares slammed as NBC Universal TV deal fails to impress ,World Wrestling Entertainment Inc  lost almost half its market value on Friday as its new cable deal with Comcast Corp's  NBCUniversal failed to convince investors it had achieved its desired revenue increase from TV deals.,topStory
INTU,Intuit Inc,20140516,Judge approves Disney  Intuit settlement of hiring lawsuit ,SAN FRANCISCO A U.S. judge granted final approval on Friday to a $20 million settlement involving Intuit and Walt Disney Co's Lucasfilm and Pixar units in a widely watched lawsuit over hiring in Silicon Valley.,topStory
INTU,Intuit Inc,20140516,Judge approves Disney  Intuit settlement of hiring lawsuit ,SAN FRANCISCO  May 16 A U.S. judge granted final approval on Friday to a $20 million settlement involving Intuit and Walt Disney Co's Lucasfilm and Pixar units in a widely watched lawsuit over hiring in Silicon Valley.,normal
KMDA,Kamada Ltd,20140516,Kamada's lead drug in development fails key trial ,Israel-based drugmaker Kamada Ltd said its experimental drug failed in a key trial to treat an inherited condition that raises the risk of lung and liver disease.,topStory
KMDA,Kamada Ltd,20140516,UPDATE 1-Kamada's lead drug in development fails key trial ,May 16 Israel-based drugmaker Kamada Ltd   said its experimental drug failed in a key trial to treat an inherited condition that raises the risk of lung and liver disease.,normal
LBTYA,Liberty Global plc,20140516,EU mergers and takeovers (May 16) ,BRUSSELS  May 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYA,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
LBTYA,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS  May 16 European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
LBTYB,Liberty Global plc,20140516,EU mergers and takeovers (May 16) ,BRUSSELS  May 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYB,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
LBTYB,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS  May 16 European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
LBTYK,Liberty Global plc,20140516,EU mergers and takeovers (May 16) ,BRUSSELS  May 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
LBTYK,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
LBTYK,Liberty Global plc,20140516,EU regulators extend Liberty Global  Ziggo deadline to Oct 17 ,BRUSSELS  May 16 European Union antitrust regulators will decide by Oct. 17  whether to clear Liberty Global's bid for Dutch peer Ziggo after the U.S. cable company asked for the deadline to be extended to allow for a more thorough review.,normal
MSFT,Microsoft Corporation,20140516,UPDATE 2-TrueCar.com shares rise about 11 pct in debut ,* Raises about $70 mln from offering   (Adds closing IPO price  expansion talk),normal
MSFT,Microsoft Corporation,20140516,TrueCar.com owner's shares rise about 20 percent in debut ,Shares of TrueCar Inc   owner of car comparison website TrueCar.com  rose about 20 percent in their market debut  valuing the company at about $764 million.,normal
MDLZ,Mondelez International Inc,20140516,RLPC-Loan market set to profit from Master Blenders' jumbo deal ,LONDON  May 16 Dutch coffee and tea company DE Master Blenders' 7.5 billion euro ($10.29 billion) loan to refinance a hugely successful deal in 2013 and raise new money to back its merger with the coffee business of Mondelez International will soak up a lot of excess liquidity in the market  banking sources said.,topStory
TECD,Tech Data Corporation,20140516,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  May 16 2014 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,topStory
TRUE,TrueCar Inc,20140516,TrueCar.com shares rise about 11 percent in debut ,U.S. online car shopping service TrueCar Inc   whose shares closed up 11 pct in their debut on the Nasdaq on Friday  has plans for expanding so consumers can compare prices on big-ticket items other than automobiles.,topStory
TRUE,TrueCar Inc,20140516,UPDATE 2-TrueCar.com shares rise about 11 pct in debut ,* Raises about $70 mln from offering   (Adds closing IPO price  expansion talk),normal
