AAPL,Apple Inc,20140520,CORRECTED-UPDATE 3-Microsoft's new Surface tablet takes aim at Apple's MacBook ,(Corrects 5th paragraph; starting price of MacBook Air is $899  not $629),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DLBL,Barclays PLC,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DLBL,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DLBL,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DLBL,Barclays PLC,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
DTYL,Barclays PLC,20140520,Former Barclays banker Maarten de Jong joins Moelis & Co ,May 20 Maarten de Jong  a former Barclays  investment banker  will join Moelis & Co in August as a managing director based in New York  the investment bank said on Tuesday.,topStory
DTYL,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank: sources ,LONDON Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTYL,Barclays PLC,20140520,Barclays head of spot gold trading leaves bank -sources ,LONDON  May 20 Barclays' head of spot gold trading is leaving as part of the bank's restructuring and its exit from the commodity business  sources familiar with the situation told Reuters on Tuesday.,normal
DTYL,Barclays PLC,20140520,Regulator backs ADIB purchase of Barclays UAE unit: CEO ,ABU DHABI Abu Dhabi Islamic Bank  has received regulatory approval from the United Arab Emirates central bank for its purchase of Barclays'  retail operations in the country  its chief executive said on Tuesday.,normal
CHSCL,CHS Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
CHSCL,CHS Inc,20140520,UPDATE 2-U.S. approves deal that makes biggest flour miller even bigger ,(Adds comment from a critic of the approval  details on flour market  paragraphs 9-11),normal
CHSCM,CHS Inc,20140520,U.S. approves deal that makes biggest flour miller even bigger ,WASHINGTON ConAgra Foods Inc   Cargill Inc  and CHS Inc  won U.S. antitrust approval on Tuesday to merge their North American flour mill operations after agreeing to sell four mills to a Japanese company.,topStory
