AMZN,Amazoncom Inc,20140609,Amazon expands middleman role in latest online payments push ,SAN FRANCISCO Amazon.com Inc will start managing subscription payments for start-ups and other companies - the latest in a series of quiet moves the e-commerce giant has made into PayPal's turf over the past year.,topStory
AAL,American Airlines Group Inc,20140609,Flight attendants at American take step toward combining unions ,Unions representing flight attendants at American Airlines Group filed a petition with a federal labor agency on Monday seeking to have a single union named to represent the company's 24 000 flight attendants following the merger of AMR Corp and US Airways last year.,topStory
AAL,American Airlines Group Inc,20140609,Flight attendants at American take step toward combining unions ,June 9 Unions representing flight attendants at American Airlines Group filed a petition with a federal labor agency on Monday seeking to have a single union named to represent the company's 24 000 flight attendants following the merger of AMR Corp and US Airways last year.,normal
AMGN,Amgen Inc,20140609,Amgen names former 3M CFO Meline as finance chief ,June 9 Amgen Inc  the world's largest biotechnology company  on Monday named manufacturing and auto industry veteran David Meline as chief financial officer.,topStory
ADI,Analog Devices Inc,20140609,US STOCKS-Dow  S&P 500 extend string of record closes; VIX up ,* International Game Technology shares fly after Reuters report,topStory
ADI,Analog Devices Inc,20140609,US STOCKS-Wall St near flat after hitting new highs; VIX gains ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
ADI,Analog Devices Inc,20140609,US STOCKS-Wall St slightly extends gains  lifted by deals ,* CBOE Volatility Index up  day after hitting lowest since Feb '07,normal
ADI,Analog Devices Inc,20140609,UPDATE 3-Analog to buy Hittite to boost radio frequency chips business ,June 9 Analog Devices Inc said it would buy Hittite Microwave Corp in a deal valued at $2 billion to strengthen its radio frequency (RF) and signal conversion chip offerings.,normal
ADI,Analog Devices Inc,20140609,Analog to buy Hittite to boost radio frequency chips business ,Analog Devices Inc said it would buy Hittite Microwave Corp in a deal valued at $2 billion to strengthen its radio frequency (RF) and signal conversion chip offerings.,normal
ADI,Analog Devices Inc,20140609,US STOCKS-Wall St edges up  lifted by mergers  acquisitions ,* Dow  S&P 500 and Nasdaq all up 0.1 pct   (Updates to open),normal
ADI,Analog Devices Inc,20140609,US STOCKS-Futures point to dip at the open despite deals ,* Futures down: Dow 10 pts  S&P 2.4 pts  Nasdaq 4 pts   (Adds Family Dollar news),normal
ADI,Analog Devices Inc,20140609,CORRECTED- Chipmaker Analog Devices to buy Hittite Microwave in $2 bln deal ,June 9 Chipmaker Analog Devices Inc said it would buy Hittite Microwave Corp in a deal valued at $2 billion.,normal
AAPL,Apple Inc,20140609,US STOCKS-Futures point to dip at the open despite deals ,* Futures down: Dow 10 pts  S&P 2.4 pts  Nasdaq 4 pts   (Adds Family Dollar news),topStory
AAPL,Apple Inc,20140609,China's ZTE bets on high-end phones to lift 2015 shipments by a third ,HONG KONG/SHANGHAI China's ZTE Corp is banking on high-end smartphones to help raise global shipments by a third next year and establish a brand to rival Samsung Electronics Co Ltd and Apple Inc at home. | Video ,normal
AAPL,Apple Inc,20140609,US STOCKS-Futures flat with indexes at records ,NEW YORK  June 9 U.S. stock index futures were little changed on Monday  as investors sought fresh incentives to keep buying following a rally that has taken major indexes to repeated record highs.,normal
AAPL,Apple Inc,20140609,UPDATE 2-China's ZTE bets on high-end phones to lift 2015 shipments by a third ,* Aims to ship 80 mln smartphones in 2015 vs 60 mln in 2014,normal
AMAT,Applied Materials Inc,20140609,BRIEF-Taiwan's TSMC orders equipment worth T$1.7 bln from KLA-Tencor  Lam Research  Applied Materials ,June 9 Taiwan Semiconductor Manufacturing Co Ltd,topStory
EBAY,eBay Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO David Marcus  who has led eBay Inc's fast-growing payments unit PayPal for the past two years  will step down this month to run Facebook Inc's messaging products  the companies announced on Monday.,topStory
EBAY,eBay Inc,20140609,UPDATE 1-Head of eBay's PayPal unit steps down to join Facebook ,(Adds executive comment  background on PayPal and Facebook messaging apps),normal
EBAY,eBay Inc,20140609,E-tailers growth ensnared in India's logistics jungle ,MUMBAI Online retailers jostling for a chunk of India's $13 billion e-commerce trade are so desperate to avoid snarled roads and inefficient railways that they fly their packages in the passenger cabin of costly commercial flights. The cargo  however  often gets bumped off.,normal
EBAY,eBay Inc,20140609,E-tailers growth ensnared in India's logistics jungle ,MUMBAI  June 10 Online retailers jostling for a chunk of India's $13 billion e-commerce trade are so desperate to avoid snarled roads and inefficient railways that they fly their packages in the passenger cabin of costly commercial flights. The cargo  however  often gets bumped off.,normal
EBAY,eBay Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO  June 9 David Marcus  who has led eBay Inc's fast-growing payments unit PayPal  will step down from the e-commerce company on June 27 to run Facebook Inc's messaging products  eBay said on Monday.,normal
EBAYL,eBay Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO David Marcus  who has led eBay Inc's fast-growing payments unit PayPal for the past two years  will step down this month to run Facebook Inc's messaging products  the companies announced on Monday.,topStory
EBAYL,eBay Inc,20140609,UPDATE 1-Head of eBay's PayPal unit steps down to join Facebook ,(Adds executive comment  background on PayPal and Facebook messaging apps),normal
EBAYL,eBay Inc,20140609,E-tailers growth ensnared in India's logistics jungle ,MUMBAI Online retailers jostling for a chunk of India's $13 billion e-commerce trade are so desperate to avoid snarled roads and inefficient railways that they fly their packages in the passenger cabin of costly commercial flights. The cargo  however  often gets bumped off.,normal
EBAYL,eBay Inc,20140609,E-tailers growth ensnared in India's logistics jungle ,MUMBAI  June 10 Online retailers jostling for a chunk of India's $13 billion e-commerce trade are so desperate to avoid snarled roads and inefficient railways that they fly their packages in the passenger cabin of costly commercial flights. The cargo  however  often gets bumped off.,normal
EBAYL,eBay Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO  June 9 David Marcus  who has led eBay Inc's fast-growing payments unit PayPal  will step down from the e-commerce company on June 27 to run Facebook Inc's messaging products  eBay said on Monday.,normal
FB,Facebook Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO David Marcus  who has led eBay Inc's fast-growing payments unit PayPal for the past two years  will step down this month to run Facebook Inc's messaging products  the companies announced on Monday.,topStory
FB,Facebook Inc,20140609,Zuckerberg  other Facebook directors are sued over pay plan ,Mark Zuckerberg and other members of Facebook Inc's board have been sued by a shareholder who claimed a policy letting them annually award directors more than $150 million of stock each if they choose is unreasonably generous.,normal
FB,Facebook Inc,20140609,Head of eBay's PayPal unit steps down to join Facebook ,SAN FRANCISCO  June 9 David Marcus  who has led eBay Inc's fast-growing payments unit PayPal  will step down from the e-commerce company on June 27 to run Facebook Inc's messaging products  eBay said on Monday.,normal
FB,Facebook Inc,20140609,Zuckerberg  other Facebook directors are sued over pay plan ,June 9 Mark Zuckerberg and other members of Facebook Inc's board have been sued by a shareholder who claimed a policy letting them annually award directors more than $150 million of stock each if they choose is unreasonably generous.,normal
FB,Facebook Inc,20140609,Facebook's Instagram to expand ads beyond U.S ,SAN FRANCISCO Instagram  the mobile photo service owned by Facebook Inc  is expanding its nascent advertising business beyond the United States and will begin showing ads to users in Britain  Canada and Australia  the company said on Monday.,normal
