AGRX,Agile Therapeutics Inc,20140623,BUZZ-U.S. Stocks on the Move-American Apparel  Willdan  Agile Therapeutics ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
GOOG,Alphabet Inc,20140623,Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act. | Video ,topStory
GOOG,Alphabet Inc,20140623,Google considering investment in new subsea cable: WSJ ,Google Inc is considering an investment in a new cable across the Pacific Ocean  the Wall Street Journal reported citing people familiar with the matter.,normal
GOOG,Alphabet Inc,20140623,INSIGHT-RPT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
GOOG,Alphabet Inc,20140623,INSIGHT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
GOOGL,Alphabet Inc,20140623,Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act. | Video ,topStory
GOOGL,Alphabet Inc,20140623,Google considering investment in new subsea cable: WSJ ,Google Inc is considering an investment in a new cable across the Pacific Ocean  the Wall Street Journal reported citing people familiar with the matter.,normal
GOOGL,Alphabet Inc,20140623,INSIGHT-RPT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
GOOGL,Alphabet Inc,20140623,INSIGHT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
AAPL,Apple Inc,20140623,Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act. | Video ,topStory
AAPL,Apple Inc,20140623,INSIGHT-RPT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
AAPL,Apple Inc,20140623,INSIGHT-Apple  Google  Samsung vie to bring health apps to wearables ,SAN FRANCISCO  June 23 For decades  medical technology firms have searched for ways to let diabetics check blood sugar easily  with scant success. Now  the world's largest mobile technology firms are getting in on the act.,normal
AAPL,Apple Inc,20140623,Hon Hai  Pegatron on China hiring spree for new iPhone - media ,TAIPEI  June 23 Hon Hai Precision Industry  will recruit over 100 000 people in mainland China to produce the newest iPhone from Apple Inc  Taiwan's Economic Daily News said  in what the report called the firm's largest single hiring spree in China.,normal
ARTX,Arotech Corporation,20140623,BUZZ-U.S. Stocks on the Move-Arotech  Rockwell  Meritor ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
