ALKS,Alkermes plc,20140624,Even with Irish address  Alkermes prefers independence ,SAN DIEGO Dublin  Ireland-based Alkermes Plc has the low-tax domicile currently in vogue among multinational pharmaceutical companies but is not interested in being bought out as it nears the launch of new drugs  its chief executive said on Monday.,topStory
GOOG,Alphabet Inc,20140624,U.S. watchdog says Google's Skybox deal raises commodity trade concern ,NEW YORK  June 24 Consumer watchdog Public Citizen has called on U.S. regulators to conduct a review of Google Inc's recent acquisition of aerospace startup Skybox Imaging  concerned that Skybox's satellite technology may aid manipulation of commodity markets.,topStory
GOOG,Alphabet Inc,20140624,Google's Nest opens doors to third-party apps ,SAN FRANCISCO Nest  the Google Inc-owned maker of smart thermostats and other home automation products  will allow other companies to create apps that communicate with its devices.,normal
GOOG,Alphabet Inc,20140624,Google's Nest opens doors to third-party apps ,SAN FRANCISCO  June 23 Nest  the Google Inc-owned maker of smart thermostats and other home automation products  will allow other companies to create apps that communicate with its devices.,normal
GOOGL,Alphabet Inc,20140624,U.S. watchdog says Google's Skybox deal raises commodity trade concern ,NEW YORK  June 24 Consumer watchdog Public Citizen has called on U.S. regulators to conduct a review of Google Inc's recent acquisition of aerospace startup Skybox Imaging  concerned that Skybox's satellite technology may aid manipulation of commodity markets.,topStory
GOOGL,Alphabet Inc,20140624,Google's Nest opens doors to third-party apps ,SAN FRANCISCO Nest  the Google Inc-owned maker of smart thermostats and other home automation products  will allow other companies to create apps that communicate with its devices.,normal
GOOGL,Alphabet Inc,20140624,Google's Nest opens doors to third-party apps ,SAN FRANCISCO  June 23 Nest  the Google Inc-owned maker of smart thermostats and other home automation products  will allow other companies to create apps that communicate with its devices.,normal
AMZN,Amazoncom Inc,20140624,Amazon close to resolving pricing dispute with Warner Bros: WSJ ,Amazon.com Inc has resumed preorders of movie discs from Time Warner Inc's Warner Bros Studio as the companies are close to resolving a pricing dispute  the Wall Street Journal reported citing people familiar with the matter.,topStory
AMZN,Amazoncom Inc,20140624,Hachette nears deal to buy Perseus Books - NY Times ,June 24 Hachette Book Group is close to buying Perseus Books Group  the sixth-largest U.S. publisher  the New York Times reported on Tuesday  citing people familiar with the matter.,normal
AMZN,Amazoncom Inc,20140624,Amazon close to resolving pricing dispute with Warner Bros -WSJ ,June 23 Amazon.com Inc has resumed preorders of movie discs from Time Warner Inc's Warner Bros Studio as the companies are close to resolving a pricing dispute  the Wall Street Journal reported citing people familiar with the matter.,normal
AAPL,Apple Inc,20140624,Japan Display's reliance on iPhone orders rises in 2013-14 ,TOKYO Japan Display Inc  the world's biggest smartphone LCD maker  got a third of its revenue from Apple Inc in the year to March  growing more reliant on the iPhone even as it seeks to bump up orders from fast-growing Chinese smartphone makers.,topStory
AAPL,Apple Inc,20140624,US STOCKS-Futures edge lower  consumer data awaited ,NEW YORK  June 24 U.S. stock index futures fell on Tuesday  suggesting investors continued to search for direction following a sharp rally that took indexes to records last week.,normal
AAPL,Apple Inc,20140624,Japan Display's reliance on iPhone orders rises in 2013/14 ,TOKYO  June 24 Japan Display Inc  the world's biggest smartphone LCD maker  got a third of its revenue from Apple Inc in the year to March  growing more reliant on the iPhone even as it seeks to bump up orders from fast-growing Chinese smartphone makers.,normal
AAPL,Apple Inc,20140624,Strong licensing boosts Imagination Tech ,LONDON  June 24 Britain's Imagination Tech   a supplier of graphics and video technology to Apple   beat expectations for full-year operating profit on Tuesday  reflecting stronger demand to license its processor blueprints.,normal
AAPL,Apple Inc,20140624,Apple suppliers to start making larger iPhones next month -Bloomberg ,Apple Inc's suppliers will begin producing larger versions of the iPhone in China next month  Bloomberg reported citing sources.,normal
AAPL,Apple Inc,20140624,Apple suppliers to start making larger iPhones next month -Bloomberg ,June 23 Apple Inc's suppliers will begin producing larger versions of the iPhone in China next month  Bloomberg reported citing sources.,normal
BIOL,Biolase Inc,20140624,Deals of the day- Mergers and acquisitions ,(Adds Opera Software  GDF Suez  Endo International; updates KKR  San Miguel Corp),topStory
BIOL,Biolase Inc,20140624,UPDATE 1-Endo to buy DAVA Pharma to boost generics business ,June 24 Drugmaker Endo International Plc  said it would buy privately owned DAVA Pharmaceuticals Inc for $575 million in cash to bolster its generics portfolio.,normal
BIOL,Biolase Inc,20140624,Endo to buy DAVA Pharma for $575 million ,June 24 Drugmaker Endo International Plc  said it would buy privately owned DAVA Pharmaceuticals Inc for $575 million in cash.,normal
CMCSA,Comcast Corporation,20140624,UPDATE 3-AT&T tells lawmakers DirecTV deal won't guarantee lower prices ,(Adds comments on reduction of prices  Comcast/Time Warner competition  rewrites throughout),topStory
EBAY,eBay Inc,20140624,Ebay hires ex-IBM exec to head enterprise division ,SAN FRANCISCO Ebay Inc has hired 15-year IBM Corp veteran Craig Hayman to steer its enterprise business  which helps clients with shipping  marketing and customer management.,topStory
EBAY,eBay Inc,20140624,Ebay hires ex-IBM exec to head enterprise division ,SAN FRANCISCO  June 24 Ebay Inc has hired 15-year IBM Corp veteran Craig Hayman to steer its enterprise business  which helps clients with shipping  marketing and customer management.,normal
EBAYL,eBay Inc,20140624,Ebay hires ex-IBM exec to head enterprise division ,SAN FRANCISCO Ebay Inc has hired 15-year IBM Corp veteran Craig Hayman to steer its enterprise business  which helps clients with shipping  marketing and customer management.,topStory
EBAYL,eBay Inc,20140624,Ebay hires ex-IBM exec to head enterprise division ,SAN FRANCISCO  June 24 Ebay Inc has hired 15-year IBM Corp veteran Craig Hayman to steer its enterprise business  which helps clients with shipping  marketing and customer management.,normal
INTC,Intel Corporation,20140624,Jury in trial of Rajaratnam's brother hears of insider's tips ,NEW YORK A former Intel Corp  executive on Tuesday  testifying in the insider trading trial of Rengan Rajaratnam  told jurors how he leaked details of a major deal to the former Galleon Group portfolio manager's brother  Raj Rajaratnam.,topStory
