AAL,American Airlines Group Inc,20140714,Lufthansa says to cut Venezuela flights amid forex dispute ,CARACAS German airline Lufthansa  said on Monday it will reduce service to Venezuela by 40 percent starting next month amid an ongoing dispute about repatriation of revenue from ticket sales.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DLBL,Barclays PLC,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DLBL,Barclays PLC,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DLBL,Barclays PLC,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DLBL,Barclays PLC,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DLBL,Barclays PLC,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
DTYL,Barclays PLC,20140714,MOVES- Deutsche Asset & Wealth Management  Barclays  Credit Suisse ,July 14 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DTYL,Barclays PLC,20140714,Volume in Barclays' "dark pool" plunged after lawsuit  data show ,NEW YORK  July 14 Volume in Barclays PLC's  private U.S. trading venue  also known as a "dark pool " fell by more than a third after New York's attorney general filed a lawsuit accusing the British bank of giving an unfair edge to high-speed traders  according to data released on Monday.,normal
DTYL,Barclays PLC,20140714,Barclays names new investment bank and sales heads in Asia Pacific ,HONG KONG Barclays PLC has named Patrick Kwan and Reid Marsh as co-heads of Asia Pacific investment banking  according to an internal memo  taking over a unit hit by a string of senior departures earlier this year as the British lender scales back its global investment banking operations.,normal
DTYL,Barclays PLC,20140714,UPDATE 2-Barclays names new investment bank and sales heads in Asia Pacific ,(Adds additional appointments  updates with spokesman confirmation),normal
DTYL,Barclays PLC,20140714,Barclays names Kwan co-head of investment banking Asia-Pacific -memo ,HONG KONG  July 14 Barclays Plc has named Patrick Kwan and Reid Marsh as co-heads of investment banking in the Asia-Pacific region  according to an internal memo seen by Reuters on Monday.,normal
BIOL,Biolase Inc,20140714,UPDATE 1-Breakaway bull gores three men in closing Pamplona run ,(Updates number of gored runners  adds details on nationalities),topStory
