ADXS,Advaxis Inc,20140722,AstraZeneca widens cancer immunotherapy net with Advaxis trial ,LONDON  July 22 AstraZeneca is casting its net wider in the hot cancer immunotherapy field through a clinical trial collaboration with U.S. biotech firm Advaxis  that will test drugs from both companies in combination.,topStory
GOOG,Alphabet Inc,20140722,EU antitrust regulators likely to step up Google probes: WSJ ,SAN FRANCISCO/FRANKFURT European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,topStory
GOOG,Alphabet Inc,20140722,UPDATE 2-EU antitrust regulators likely to step up Google probes -WSJ ,SAN FRANCISCO/FRANKFURT  July 22 European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,normal
GOOG,Alphabet Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,A federal judge rejected Google Inc's bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
GOOG,Alphabet Inc,20140722,Google must face class action over kids' in-apps purchases ,WASHINGTON Google Inc must face a class action lawsuit filed by a U.S. woman whose son had bought online videogame items without her consent  a federal judge ruled late on Monday as he turned down the company's request to dismiss the action.,normal
GOOG,Alphabet Inc,20140722,Google must face class action over kids' in-apps purchases ,WASHINGTON  July 22 Google Inc must face a class action lawsuit filed by a U.S. woman whose son had bought online videogame items without her consent  a federal judge ruled late on Monday as he turned down the company's request to dismiss the action.,normal
GOOG,Alphabet Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,July 22 A federal judge rejected Google Inc's  bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
GOOGL,Alphabet Inc,20140722,EU antitrust regulators likely to step up Google probes: WSJ ,SAN FRANCISCO/FRANKFURT European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,topStory
GOOGL,Alphabet Inc,20140722,UPDATE 2-EU antitrust regulators likely to step up Google probes -WSJ ,SAN FRANCISCO/FRANKFURT  July 22 European Union antitrust regulators are preparing to step up investigations of Google Inc's practices on several fronts and are likely to revise certain terms of a settlement involving its search engine that was proposed earlier this year  the Wall Street Journal reported on Tuesday.,normal
GOOGL,Alphabet Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,A federal judge rejected Google Inc's bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
GOOGL,Alphabet Inc,20140722,Google must face class action over kids' in-apps purchases ,WASHINGTON Google Inc must face a class action lawsuit filed by a U.S. woman whose son had bought online videogame items without her consent  a federal judge ruled late on Monday as he turned down the company's request to dismiss the action.,normal
GOOGL,Alphabet Inc,20140722,Google must face class action over kids' in-apps purchases ,WASHINGTON  July 22 Google Inc must face a class action lawsuit filed by a U.S. woman whose son had bought online videogame items without her consent  a federal judge ruled late on Monday as he turned down the company's request to dismiss the action.,normal
GOOGL,Alphabet Inc,20140722,Google must face U.S. privacy lawsuit over commingled user data ,July 22 A federal judge rejected Google Inc's  bid to dismiss a privacy lawsuit claiming it commingled user data across different products and disclosed that data to advertisers without permission.,normal
AMZN,Amazoncom Inc,20140722,PetSmart hires bank to study buyback  deal options: sources ,NEW YORK PetSmart Inc has hired investment bank JPMorgan Chase & Co to evaluate a range of alternatives  including a leveraged share buyback and a potential deal with private equity  according to people familiar with the matter.,topStory
AAL,American Airlines Group Inc,20140722,U.S.  European airlines halt flights to Israel due to instability ,Air carriers in the United States and Europe on Tuesday halted flights to Tel Aviv after warnings from governmental agencies in an effort to ensure passenger safety as turmoil in Israel and the region intensified.,topStory
AAL,American Airlines Group Inc,20140722,Delta  US Airways halt flights to Israel due to instability ,July 22 U.S. air carriers Delta Air Lines  and US Airways  a unit of American Airlines Group   on Tuesday said they have halted flights to Israel to ensure passenger safety.,normal
AAPL,Apple Inc,20140722,Apple revenue lags Street's view despite strong China growth ,SAN FRANCISCO Apple Inc posted a smaller-than-expected 6 percent rise in quarterly revenue on Tuesday  but revenue surged 28 percent in greater China despite stiff competition in its third-largest market. | Video ,topStory
AAPL,Apple Inc,20140722,UPDATE 3-Apple revenue lags Street's view despite strong China growth ,(Adds executives' comments  net income  background; updates share price),normal
AAPL,Apple Inc,20140722,Apple revenue lags Street forecasts ,SAN FRANCISCO  July 22 Apple Inc posted a worse-than-expected 6 percent rise in quarterly revenue on Tuesday  after selling 35.2 million iPhones into an increasingly competitive smartphone market.,normal
AAPL,Apple Inc,20140722,Fund managers unconvinced by Apple rebound ,NEW YORK/SAN FRANCISCO Apple  once a can't-miss stock  is finding it tough to persuade portfolio managers to come back into the fold. | Video ,normal
AAPL,Apple Inc,20140722,Apple asks suppliers to produce up to 80 million large-screen iPhones: WSJ ,Apple Inc has asked suppliers to manufacture between 70 million and 80 million of its two forthcoming large-screen iPhones by the end of the year  its largest initial production run of iPhones  the Wall Street Journal reported  citing people familiar with the matter. | Video ,normal
AAPL,Apple Inc,20140722,UPDATE 2-China's Xiaomi hopes Mi 4 smartphone can take on Apple ,* CEO compares new phone to Apple's iPhone   (Adds analyst comment),normal
AAPL,Apple Inc,20140722,RPT-UPDATE 1-Fund managers unconvinced by Apple rebound as firm readies results ,(Repeats  without changes  to widen readership)  (Adds fund manager comment),normal
AAPL,Apple Inc,20140722,UPDATE 1-Apple asks suppliers to produce up to 80 mln large-screen iPhones -WSJ ,July 21 Apple Inc has asked suppliers to manufacture between 70 million and 80 million of its two forthcoming large-screen iPhones by the end of the year  its largest initial production run of iPhones  the Wall Street Journal reported  citing people familiar with the matter.,normal
AAPL,Apple Inc,20140722,CORRECTED-Apple asks suppliers to produce up to 80 million large-screen iPhones -WSJ ,(Corrects to remove paragraph 3 reference to the report not naming the suppliers),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DLBL,Barclays PLC,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DLBL,Barclays PLC,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
DTYL,Barclays PLC,20140722,U.S. panel says Barclays  Deutsche Bank helped funds avoid taxes ,WASHINGTON The head of a powerful U.S. Senate panel has accused Deutsche Bank and Barclays of helping hedge funds avoid taxes  calling for tougher action from the authorities.,topStory
DTYL,Barclays PLC,20140722,UPDATE 3-Credit Suisse posts big loss after U.S. tax settlement ,* Shares down 1.3 pct at 1155 GMT   (Adds CEO  CFO comments  updates share price),normal
CELG,Celgene Corporation,20140722,Celgene drug can drive HIV out of hiding: study ,LONDON An anti-cancer drug made by the U.S. biotech firm Celgene can re-activate hidden HIV in patients so that it can be detected  bringing researchers closer to being able to treat it  Danish scientists said on Tuesday.,topStory
CELG,Celgene Corporation,20140722,Celgene drug can drive HIV out of hiding -study ,* Scientists say finding is significant step in AIDS fight,normal
CMCSA,Comcast Corporation,20140722,Comcast profit boosted by internet subscriber growth  NBC ,Comcast Corp's quarterly profit beat estimates as its high-speed Internet business added the most number of customers in six years and profitability improved at NBC Universal.,topStory
CMCSA,Comcast Corporation,20140722,UPDATE 3-Comcast profit boosted by internet subscriber growth  NBC ,* Shares rise as much as 2.6 pct   (Adds conference call comment  analyst comment; updates shares),normal
