VNET,21Vianet Group Inc,20140911,BUZZ-U.S. Stocks on the Move-RadioShack  Lululemon  21Vianet  Crocs ,(For faster updates on individual market-movers  Eikon users please use search string "STXBZ US"; for more market insights  including options activity  ; for the Day Ahead newsletter  http://link.reuters.com/mex49s; for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
AKRX,Akorn Inc,20140911,Deals of the day- Mergers and acquisitions ,(Updates EMC; Adds Akorn  Comcast  Grupos Salinas  Lucchini  Dentsu Aegis  Slovenske Elektrarne  Enel  BauMax  Verizon  Wind  BSkyB  Allergan  Hapag-Lloyd  Douglas  Eastman Chemical and Vodafone),topStory
AKRX,Akorn Inc,20140911,Exclusive: Akorn eyes $2 billion UCB unit in potential tax inversion - sources ,NEW YORK U.S. specialty drugmaker Akorn Inc  is exploring a bid for Belgian drugmaker UCB SA's  U.S. subsidiary  a deal that would allow the company to move its tax domicile overseas in a practice known as inversion  according to people familiar with the matter.,normal
AAL,American Airlines Group Inc,20140911,American Airlines scraps paper manuals for tablets to cut fuel costs ,American Airlines has won regulatory approval to swap flight attendants' paper manuals for lighter Samsung tablets in a change that will save nearly $1 million a year  the company said on Wednesday.,topStory
AAL,American Airlines Group Inc,20140911,American Airlines scraps paper manuals for tablets to cut fuel costs ,Sept 10 American Airlines has won regulatory approval to swap flight attendants' paper manuals for lighter Samsung tablets in a change that will save nearly $1 million a year  the company said on Wednesday.,normal
AAPL,Apple Inc,20140911,Health developers  doctors want to see more from Apple's watch ,SAN FRANCISCO Technology pundits were quick to predict the demise of most fitness wristbands and smartwatches when Apple Inc launched its Apple Watch. But healthcare professionals and fitness junkies were left wanting to see more.,topStory
AAPL,Apple Inc,20140911,Health developers  doctors want to see more from Apple's watch ,SAN FRANCISCO  Sept 11 Technology pundits were quick to predict the demise of most fitness wristbands and smartwatches when Apple Inc launched its Apple Watch. But healthcare professionals and fitness junkies were left wanting to see more.,normal
AAPL,Apple Inc,20140911,Fitch: iPhone Takes a Bite of the Mobile Card Payment Apple ,(The following statement was released by the rating agency) NEW YORK  September 11 (Fitch) Tuesday's unveiling of Apple Pay is widely  expected to further bolster growth of the evolving mobile payments landscape.  Apple may be better positioned to succeed where other institutions have had  limited success given the company's financial resources and history of strong  new product adoption  according to Fitch Ratings.   We believe that the impact of any success on the payments industry remains  un,normal
AAPL,Apple Inc,20140911,US STOCKS-Wall St edges down; energy shares extend decline ,NEW YORK  Sept 11 U.S. stocks were lower at midday on Thursday as energy shares extended their decline and shares of Apple dipped.,normal
AAPL,Apple Inc,20140911,REFILE-U.S. hearing aid sales dip in August ,(Corrects name to Industries from Industry in paragraph one),normal
AAPL,Apple Inc,20140911,RPT-In search of the missing 'i' in Apple's Watch ,SAN FRANCISCO/NEW YORK  Sept 11 Apple Inc's  Tuesday launch was a marketing extravaganza stuffed full of gadgets  corporate hyperbole and celebrities of every stripe. One thing was missing: the "i" in front of the Watch.,normal
