GOOG,Alphabet Inc,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,* Firm has invested around $1 billion in scores of start-ups,normal
GOOGL,Alphabet Inc,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,* Firm has invested around $1 billion in scores of start-ups,normal
AMZN,Amazoncom Inc,20141001,RPT-Pepsi to launch naturally sweetened soda on Amazon  bypassing stores ,NEW YORK  Oct 1 PepsiCo Inc for the first time is introducing a product exclusively through Amazon.com Inc as the snack and soft drink maker aims to expand its footprint in e-commerce.,topStory
AMZN,Amazoncom Inc,20141001,Pepsi to launch naturally sweetened soda on Amazon  bypassing stores ,NEW YORK PepsiCo Inc for the first time is introducing a product exclusively through Amazon.com Inc as the snack and soft drink maker aims to expand its footprint in e-commerce.,normal
AMZN,Amazoncom Inc,20141001,Pepsi to launch naturally sweetened soda on Amazon  bypassing stores ,NEW YORK  Oct 1 PepsiCo Inc for the first time is introducing a product exclusively through Amazon.com Inc as the snack and soft drink maker aims to expand its footprint in e-commerce.,normal
AMZN,Amazoncom Inc,20141001,Amazon  Disney appear close to settling dispute over movies: WSJ ,Amazon.com Inc  appears to be close to settling a nearly two-month dispute with Walt Disney Co during which Amazon stopped offering Disney DVDs for preorder  the Wall Street Journal reported on Tuesday.,normal
AMZN,Amazoncom Inc,20141001,Amazon  Disney appear close to settling dispute over movies -WSJ ,Sept 30 Amazon.com Inc appears to be close to settling a nearly two-month dispute with Walt Disney Co  during which Amazon stopped offering Disney DVDs for preorder  the Wall Street Journal reported on Tuesday.,normal
AAPL,Apple Inc,20141001,WiLan says loses LTE patent case against Apple ,TORONTO Canadian patent licensing company WiLan Inc  on Wednesday said a U.S. judge had ruled in favor of Apple Inc  in a litigation case against it.,topStory
AAPL,Apple Inc,20141001,WiLan says loses LTE patent case against Apple ,TORONTO  Oct 1 Canadian patent licensing company WiLan Inc on Wednesday said a U.S. judge had ruled in favour of Apple Inc in a litigation case against it.,normal
AAPL,Apple Inc,20141001,Apple's iOS 8 causing Bluetooth connectivity issues: MacRumors ,Apple Inc's new mobile operating system iOS8 is causing significant issues for some users who connect their phones to cars via Bluetooth  reports Apple news blog MacRumors  citing reports on Apple's Support forums and its own user forums.,normal
AAPL,Apple Inc,20141001,Apple's iOS 8 causing Bluetooth connectivity issues - MacRumors ,Oct 1 Apple Inc's new mobile operating system iOS8 is causing significant issues for some users who connect their phones to cars via Bluetooth  reports Apple news blog MacRumors  citing reports on Apple's Support forums and its own user forums.,normal
ARDX,Ardelyx Inc,20141001,Ardelyx bowel drug succeeds in mid-stage trial ,Ardelyx Inc said its experimental drug to treat constipation-related irritable bowel syndrome achieved the main goal of increasing bowel movement compared with a placebo in a mid-stage study involving 371 patients.,topStory
ARDX,Ardelyx Inc,20141001,Ardelyx irritable bowel syndrome drug succeeds in mid-stage trial ,Oct 1 Ardelyx Inc said its experimental drug to treat constipation-related irritable bowel syndrome achieved the main goal of increasing bowel movement compared to a placebo in a mid-stage study involving 371 patients.,normal
ADP,Automatic Data Processing Inc,20141001,U.S. private sector creates 213 000 jobs in September: ADP ,NEW YORK U.S. private employers added 213 000 jobs in September  just above economists' expectations  a report by a payrolls processor showed on Wednesday.,topStory
ADP,Automatic Data Processing Inc,20141001,UPDATE 1-U.S. private sector creates 213 000 jobs in September -ADP ,NEW YORK  Oct 1 U.S. private employers added 213 000 jobs in September  just above economists' expectations  a report by a payrolls processor showed on Wednesday.,normal
CLLS,Cellectis SA,20141001,BRIEF-Cellectis H1 net loss falls to 5 mln euros ,* Reported on Tuesday H1 operating revenue of 13.8 million euros  as compared to 6.9 million euros for the first six months of 2013,topStory
CME,CME Group Inc,20141001,CME Group's Nymex must face U.S. regulator's lawsuit over employee leaks ,NEW YORK CME Group Inc’s New York Mercantile Exchange (Nymex) must face a lawsuit brought by regulators seeking to hold it liable for the actions of two former employees accused of leaking trade details  a U.S. judge ruled on Tuesday.,topStory
CYBR,CyberArk Software Ltd,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,JERUSALEM Within sight of Jerusalem's Old City stands a modernist building housing one of Israel's most successful venture capital firms  the backer of scores of start-ups over the past 20 years that have generated nearly $18 billion for investors.,topStory
CYBR,CyberArk Software Ltd,20141001,Cyberark listing puts Israeli venture capital fund in the spotlight ,* Firm has invested around $1 billion in scores of start-ups,normal
DISH,DISH Network Corporation,20141001,Large U.S. wireless carriers  Dish to bid in airwaves auction ,WASHINGTON Three of the four largest U.S. wireless carriers and satellite provider Dish Network Corp plan to bid in the Federal Communications Commission's November auction of airwaves  according to initial applications released on Wednesday.,topStory
DISH,DISH Network Corporation,20141001,Large U.S. wireless carriers  Dish to bid in airwaves auction ,WASHINGTON  Oct 1 Three of the four largest U.S. wireless carriers and satellite provider Dish Network Corp  plan to bid in the Federal Communications Commission's November auction of airwaves  according to initial applications released on Wednesday.,normal
EBAY,eBay Inc,20141001,PayPal spawn have advanced where PayPal stood still ,SAN FRANCISCO PayPal's biggest threat as it prepares to split from eBay  next year may come from former employees who back a crop of new businesses serving shoppers who increasingly prefer to pay with mobile phones rather than personal computers.,topStory
EBAY,eBay Inc,20141001,Former e-commerce executive gets 15 months prison in eBay insider trading case ,A former executive at GSI Commerce Inc was sentenced on Wednesday to 15 months in prison for insider trading related to the 2011 takeover of the e-commerce company by online retailer eBay Inc.,normal
EBAY,eBay Inc,20141001,Former e-commerce exec gets 15 months prison in eBay insider trading case ,Oct 1 A former executive at GSI Commerce Inc was sentenced on Wednesday to 15 months in prison for insider trading related to the 2011 takeover of the e-commerce company by online retailer eBay Inc.,normal
EBAYL,eBay Inc,20141001,PayPal spawn have advanced where PayPal stood still ,SAN FRANCISCO PayPal's biggest threat as it prepares to split from eBay  next year may come from former employees who back a crop of new businesses serving shoppers who increasingly prefer to pay with mobile phones rather than personal computers.,topStory
EBAYL,eBay Inc,20141001,Former e-commerce executive gets 15 months prison in eBay insider trading case ,A former executive at GSI Commerce Inc was sentenced on Wednesday to 15 months in prison for insider trading related to the 2011 takeover of the e-commerce company by online retailer eBay Inc.,normal
EBAYL,eBay Inc,20141001,Former e-commerce exec gets 15 months prison in eBay insider trading case ,Oct 1 A former executive at GSI Commerce Inc was sentenced on Wednesday to 15 months in prison for insider trading related to the 2011 takeover of the e-commerce company by online retailer eBay Inc.,normal
ERIC,Ericsson,20141001,BRIEF-Ericsson completes acquisition of Ambient ,* Ericsson completes acquisition of smart grid communications provider Ambient  Source text for Eikon:  Further company coverage:,topStory
ESPR,Esperion Therapeutics Inc,20141001,UPDATE 1-Esperion drug succeeds in lowering LDL cholesterol -study ,Oct 1 An experimental cholesterol-fighting drug being developed by Esperion Therapeutics Inc lowered LDL levels significantly more than Merck & Co Inc's  Zetia in a midstage clinical trial  Esperion said on Wednesday.,topStory
ESPR,Esperion Therapeutics Inc,20141001,BRIEF-Esperion Therapeutics announces positive top line phase 2b results for ETC-1002 ,* Esperion Therapeutics Announces Positive Top Line phase 2b results for ETC-1002,normal
ESPR,Esperion Therapeutics Inc,20141001,Esperion drug succeeds in lowering LDL cholesterol -study ,Oct 1 A new type of experimental cholesterol fighter being developed by Esperion Therapeutics Inc  lowered LDL levels significantly more than Merck & Co Inc's Zetia in a midstage clinical trial  the company said on Wednesday.,normal
EXPE,Expedia Inc,20141001,Australia clears Expedia's $610 million Wotif.com takeover ,SYDNEY Australia's antitrust regulator on Thursday cleared online travel giant Expedia Inc to buy local rival Wotif.com Holdings Ltd  saying it did not expect the A$699 million ($610 million) deal to substantially lessen competition.,topStory
EXPE,Expedia Inc,20141001,UPDATE 1-Australia clears Expedia's $610 mln Wotif.com takeover ,SYDNEY  Oct 2 Australia's antitrust regulator on Thursday cleared online travel giant Expedia Inc to buy local rival Wotif.com Holdings Ltd  saying it did not expect the A$699 million ($610 million) deal to substantially lessen competition.,normal
EXPE,Expedia Inc,20141001,Australia clears Expedia's $610 mln Wotif.com takeover ,SYDNEY  Oct 2 Australia's antitrust regulator on Thursday cleared online travel giant Expedia Inc to buy smaller local rival Wotif.com Holdings Ltd for A$699 million ($610 million).,normal
ESRX,Express Scripts Holding Company,20141001,Walgreen to sell drugs under Express Scripts 2015 Medicare plans ,Express Scripts Holding Co  the largest U.S. pharmacy benefit manager  said Walgreen Co would sell prescription drugs under its two Medicare Part D plans for 2015.,topStory
ESRX,Express Scripts Holding Company,20141001,UPDATE 2-Walgreen to sell drugs under Express Scripts 2015 Medicare plans ,Oct 1 Express Scripts Holding Co  the largest U.S. pharmacy benefit manager  said Walgreen Co  would sell prescription drugs under its two Medicare Part D plans for 2015.,normal
ESRX,Express Scripts Holding Company,20141001,Express Scripts 2015 Medicare drug plans to be available at Walgreen ,Oct 1 Express Scripts Holding Co  the largest U.S. pharmacy benefit manager  said its two Medicare Part D prescription drug plans would be available at Walgreen Co  as part of Express Scripts' preferred pharmacy network.,normal
INTC,Intel Corporation,20141001,HP sees low-power servers making inroads in niche data centers ,SAN JOSE California Hewlett-Packard Co's vice president of server engineering expects new lower-power servers made with technology from ARM Holdings to make inroads in niche data centers over the next year in a market dominated by Intel Corp.,topStory
INTC,Intel Corporation,20141001,HP sees low-power servers making inroads in niche data centers ,SAN JOSE  California  Oct 1 Hewlett-Packard Co's  vice president of server engineering expects new lower-power servers made with technology from ARM Holdings  to make inroads in niche data centers over the next year in a market dominated by Intel Corp.,normal
JBLU,JetBlue Airways Corporation,20141001,U.S. airlines in contact with government about Ebola concerns ,Oct 1 U.S. airlines and their trade group Airlines for America are in close contact with the Centers for Disease Control and Prevention on actions the U.S. government is taking to address Ebola health concerns  according to a spokesperson for JetBlue.,topStory
LAKE,Lakeland Industries Inc,20141001,US STOCKS-Ebola concerns lift Lakeland and Alpha in heavy trading ,NEW YORK  Oct 1 Shares of Lakeland Industries  and Alpha Pro Tech rallied on Wednesday in heavy trading  following news a day earlier of the first diagnosis of a patient in the United States with Ebola.,topStory
