ADBE,Adobe Systems Incorporated,20141103,Former Adobe exec's start-up seeks to improve the mammogram experience ,SAN FRANCISCO Former Adobe Chief Marketing Officer Melissa Dyrdahl hopes to bring a spa-like feel to the experience of breast cancer screenings.,topStory
AMZN,Amazoncom Inc,20141103,With big album on sale  Taylor Swift pulls music from Spotify ,LOS ANGELES  Nov 3 Singer Taylor Swift  whose new album is likely to have the biggest opening week of sales in a dozen years  on Monday pulled her entire catalog from online music streaming service Spotify.,normal
AMZN,Amazoncom Inc,20141103,Elementary  my dear Watson: U.S. court rejects Sherlock Holmes dispute ,WASHINGTON The case of the disputed Sherlock Holmes copyright is hereby closed after the U.S. Supreme Court on Monday left intact a ruling that said 50 works featuring the famed fictional detective are in the public domain.,normal
AMZN,Amazoncom Inc,20141103,Elementary  my dear Watson: U.S. court rejects Sherlock Holmes dispute ,WASHINGTON  Nov 3The case of the disputed Sherlock Holmes copyright is hereby closed after the U.S. Supreme Court on Monday left intact a ruling that said 50 works featuring the famed fictional detective are in the public domain.,normal
AAPL,Apple Inc,20141103,Original Apple computer could fetch $600 000 at December auction ,NEW YORK A fully operational Apple computer that company co-founder Steve Jobs sold out of his parents' garage in 1976 for $600 will hit the auction block in December  where it is expected to fetch more than half a million dollars  Christie's said on Monday.,topStory
AAPL,Apple Inc,20141103,With big album on sale  Taylor Swift pulls music from Spotify ,LOS ANGELES  Nov 3 Singer Taylor Swift  whose new album is likely to have the biggest opening week of sales in a dozen years  on Monday pulled her entire catalog from online music streaming service Spotify.,normal
AAPL,Apple Inc,20141103,October world factory activity expands slowly  stimulus still needed ,LONDON/SYDNEY/NEW YORK Global manufacturing activity increased last month at the same modest pace as in September  suggesting the need for continued economic policy stimulus  especially in Europe.JPMorgan's Global Manufacturing Purchasing Managers' Index  produced with Markit  held steady at 52.2 in October. But it was one of the lowest readings this year  suggesting factory activity is expanding slowly.,normal
AAPL,Apple Inc,20141103,Russian memorial to Apple founder dismantled after CEO comes out ,MOSCOW A memorial to Apple Inc founder Steve Jobs has been dismantled in the Russian city of St Petersburg after the man who succeeded him at the helm of the company  Tim Cook  came out as gay.,normal
AAPL,Apple Inc,20141103,Russian memorial to Apple founder dismantled after CEO comes out ,MOSCOW  Nov 3 A memorial to Apple Inc  founder Steve Jobs has been dismantled in the Russian city of St Petersburg after the man who succeeded him at the helm of the company  Tim Cook  came out as gay.,normal
AAPL,Apple Inc,20141103,Russian memorial to Apple founder dismantled after CEO comes out ,MOSCOW  Nov 3 A memorial to Apple Inc  founder Steve Jobs has been dismantled in the Russian city of St Petersburg after the man who succeeded him at the helm of the company  Tim Cook  came out as gay.,normal
AAPL,Apple Inc,20141103,Original Apple computer could fetch $600 000 at December auction ,NEW YORK  Nov 3 A fully operational Apple computer that company co-founder Steve Jobs sold out of his parents' garage in 1976 for $600 will hit the auction block in December  where it is expected to fetch more than half a million dollars  Christie's said on Monday.,normal
