AMD,Advanced Micro Devices Inc,20150202,Fitch Affirms AMD's IDR at 'B-'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  February 02 (Fitch) Fitch Ratings has affirmed the long-term Issuer  Default Rating (IDR) for Advanced Micro Devices Inc. (NYSE: AMD) at 'B-'. The  Rating Outlook is Stable.  Fitch's actions affect approximately $2.6 billion of total debt  including the  undrawn portion of the company's revolving credit facility (RCF). A full list of  ratings follows the end of this commentary. The ratings and Outlook reflect Fitch's expectatio,topStory
GOOG,Alphabet Inc,20150202,Google preparing to launch ride-hailing service: Bloomberg ,Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,topStory
GOOG,Alphabet Inc,20150202,Google preparing to launch ride-hailing service: Bloomberg ,Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,normal
GOOG,Alphabet Inc,20150202,Google preparing to launch ride-hailing service - Bloomberg ,Feb 2 Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,normal
GOOG,Alphabet Inc,20150202,Urge to merge grips French mutual insurers as price war breaks out ,PARIS  Feb 2 Tight health budgets  regulatory revolutions and the threat of Google have unleashed a surge of competition among France's mutual insurers  triggering a wave of mergers in the usually staid corner of the financial sector.,normal
GOOGL,Alphabet Inc,20150202,Google preparing to launch ride-hailing service: Bloomberg ,Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,topStory
GOOGL,Alphabet Inc,20150202,Google preparing to launch ride-hailing service: Bloomberg ,Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,normal
GOOGL,Alphabet Inc,20150202,Google preparing to launch ride-hailing service - Bloomberg ,Feb 2 Google is preparing to offer its own ride-hailing service  putting it in direct competition with Uber  Bloomberg News reported  citing a person close to Uber's board.,normal
GOOGL,Alphabet Inc,20150202,Urge to merge grips French mutual insurers as price war breaks out ,PARIS  Feb 2 Tight health budgets  regulatory revolutions and the threat of Google have unleashed a surge of competition among France's mutual insurers  triggering a wave of mergers in the usually staid corner of the financial sector.,normal
AAPL,Apple Inc,20150202,Apple to invest $2 billion to convert sapphire plant to data center ,Apple Inc said it plans to invest $2 billion to convert a failed sapphire glass plant in Arizona into a data center.,topStory
AAPL,Apple Inc,20150202,UPDATE 1-Apple to invest $2 bln to convert sapphire plant to data center ,Feb 2 Apple Inc said it plans to invest $2 billion to convert a failed sapphire glass plant in Arizona into a data center.,normal
AAPL,Apple Inc,20150202,Apple to invest $2 bln to convert sapphire plant to data center ,Feb 2 Apple Inc said it plans to invest $2 billion to convert a failed sapphire glass plant in Arizona into a data command center.,normal
ARDX,Ardelyx Inc,20150202,UPDATE 2-Ardelyx kidney drug leads to increased diarrhea rates; shares fall ,Feb 2 Ardelyx Inc said chronic kidney disease patients treated with its kidney drug experienced higher-than-expected levels of diarrhea in a mid-stage study.,topStory
ARDX,Ardelyx Inc,20150202,Ardelyx kidney drug meets main goal in mid-stage study ,Feb 2 Ardelyx Inc said its experimental drug significantly decreased phosphate levels in chronic kidney disease patients who were on dialysis.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150202,Barclays to add Malaysian sukuk to flagship bond index ,Feb 2 Barclays Plc's index business will include Islamic bonds issued by the Malaysian government in its global fixed income index  doubling the market value of ringgit-denominated components in the benchmark.,topStory
BLUE,bluebird bio Inc,20150202,BlueBird's rare blood disorder drug gets breakthrough therapy status ,The U.S. Food and Drug Administration has designated BlueBird Bio Inc's blood disorder drug a breakthrough therapy  speeding up the treatment's development process.,topStory
BLUE,bluebird bio Inc,20150202,BlueBird's rare blood disorder drug gets breakthrough therapy status ,Feb 2 The U.S. Food and Drug Administration has designated BlueBird Bio Inc's blood disorder drug a breakthrough therapy  speeding up the treatment's development process.,normal
CZR,Caesars Entertainment Corporation,20150202,Caesars backs independent bankruptcy examiner to probe transfers ,Caesars Entertainment Corp supports demands by creditors for an independent examiner to review recent deals by the casino company's bankrupt operating unit  it said in court documents.,topStory
CZR,Caesars Entertainment Corporation,20150202,Caesars backs independent bankruptcy examiner to probe transfers ,Feb 2 Caesars Entertainment Corp  supports demands by creditors for an independent examiner to review recent deals by the casino company's bankrupt operating unit  it said in court documents.,normal
CLLS,Cellectis SA,20150202,BRIEF-Cellectis issues 1 550 480 new shares - Euronext ,* 1 468 357 new ordinary shares issued by Cellectis  will be listed on Alternext Paris as of Feb. 5 as a result of the exercise of non listed stock warrants,topStory
DISH,DISH Network Corporation,20150202,FCC member seeks investigation of Dish auction discount ,A member of the U.S. Federal Communications Commission on Monday called for an investigation of a $3 billion discount granted to partners of Dish Network Corp in the government's recent auction of wireless licenses.,topStory
DISH,DISH Network Corporation,20150202,UPDATE 1-FCC member seeks investigation of Dish auction discount ,Feb 2 A member of the U.S. Federal Communications Commission on Monday called for an investigation of a $3 billion discount granted to partners of Dish Network Corp in the government's recent auction of wireless licenses.,normal
DISH,DISH Network Corporation,20150202,FCC member objects to Dish's wireless deal - WSJ ,Feb 2 A member of the Federal Communications Commission (FCC) is objecting to Dish Network Corp's  claim on more than $3 billion in discounts aimed at small business in the government's auction of wireless licenses  the Wall Street Journal reported.,normal
INTC,Intel Corporation,20150202,Intel buys former Infineon "Internet of Things" chip unit Lantiq ,FRANKFURT Intel has agreed to buy German network chipmaker Lantiq for an undisclosed amount to expand its range of chips used in Internet-connected gadgets  the companies said on Monday.,topStory
INTC,Intel Corporation,20150202,Intel buys former Infineon 'Internet of Things' chip unit Lantiq ,FRANKFURT Intel has agreed to buy German network chipmaker Lantiq for an undisclosed amount to expand its range of chips used in Internet-connected gadgets  the companies said on Monday.,normal
INTC,Intel Corporation,20150202,Intel buys former Infineon "Internet of Things" chip unit Lantiq ,FRANKFURT  Feb 2 Intel has agreed to buy German network chipmaker Lantiq for an undisclosed amount to expand its range of chips used in Internet-connected gadgets  the companies said on Monday.,normal
LE,Lands&#39; End Inc,20150202,Retailer Lands' End names Dolce & Gabbana U.S. chief as CEO ,Feb 2 Casual clothing retailer Lands' End Inc  said Chief Executive Edgar Huber would step down in two weeks and be succeeded by Federica Marchionni  the U.S. head of luxury goods retailer Dolce & Gabbana.,topStory
LULU,lululemon athletica inc,20150202,Lululemon founder to leave board  keep stake in yogawear chain ,Lululemon Athletica Inc  founder Chip Wilson said on Monday he is quitting the board of directors of the yogawear retailer  hit nearly two years ago by a major recall  because the company was back on track with a strong management team. | Video ,topStory
