AMZN,Amazoncom Inc,20150212,Exclusive - Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late during the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
AAPL,Apple Inc,20150212,China's Xiaomi to start small in U.S.  with earphones and bands ,SAN FRANCISCO Xiaomi [XTC.UL]  China's largest smartphone company  will begin selling headphones  smart wristbands and other accessories online in the United States in coming months  taking its first tentative step onto Apple Inc's home turf without its signature Mi mobile devices.,topStory
AAPL,Apple Inc,20150212,China's Xiaomi to start small in U.S.  with earphones and bands ,SAN FRANCISCO  Feb 12 Xiaomi  China's largest smartphone company  will begin selling headphones  smart wristbands and other accessories online in the United States in coming months  taking its first tentative step onto Apple Inc's  home turf without its signature Mi mobile devices.,normal
AAPL,Apple Inc,20150212,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK How far does electric car maker Tesla Motors Inc  have to go to reach its goal of matching Apple Inc's  current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars. | Video ,normal
AAPL,Apple Inc,20150212,Tesla years away from its goal of reaching Apple's market cap ,NEW YORK  Feb 12 How far does electric car maker Tesla Motors Inc have to go to reach its goal of matching Apple Inc's current market value? It would take 26 years  based on rough calculations by Reuters  unless it starts selling a lot more cars.,normal
AAPL,Apple Inc,20150212,Apple's inability to monitor standards lets Pegatron pay low wages  NGO says ,TAIPEI A labor rights group said Apple Inc is unable to effectively monitor standards along some of its supply chain  allowing companies such as Taiwanese assembler Pegatron Corp to keep base wages below local living expenses.,normal
AAPL,Apple Inc,20150212,Apple's inability to monitor standards lets Pegatron pay low wages  NGO says ,* Suppliers 92 pct complaint with 60-hour workweek in 2014 - Apple,normal
AAPL,Apple Inc,20150212,Japan Display profit jumps on screen sales to Apple  China smartphone makers ,TOKYO Screen supplier Japan Display reported a stronger-than-expected rise in quarterly profit amid higher demand from Apple Inc and Chinese smartphone makers  in stark contrast with peer Sharp Corp's shrinking panel business.,normal
AAPL,Apple Inc,20150212,UPDATE 1-Japan Display profit jumps on screen sales to Apple  China smartphone makers ,TOKYO  Feb 12 Screen supplier Japan Display  reported a stronger-than-expected rise in quarterly profit amid higher demand from Apple Inc and Chinese smartphone makers  in stark contrast with peer Sharp Corp's  shrinking panel business.,normal
AAPL,Apple Inc,20150212,Apple deal  tax change could spark corporate solar stampede ,Apple Inc's deal to buy nearly $1 billion of power from a massive First Solar Inc plant could be the first of a stampede of contracts driven by the looming change in a solar tax incentive that makes such projects particularly attractive.,normal
AAPL,Apple Inc,20150212,UPDATE 2-Tesla CEO Musk says market value could rival Apple by 2025 ,DETROIT  Feb 11 Tesla Motors Inc missed fourth-quarter sales targets and analysts' profit expectations  but Chief Executive Officer Elon Musk on Wednesday said by 2025 Tesla's growth trajectory could take its market value to $700 billion  matching that of Apple Inc.,normal
AAWW,Atlas Air Worldwide Holdings,20150212,BRIEF-Panalpina and Atlas Air renew partnership ,* Panalpina and Atlas Air renew partnership with network expansion in mind,topStory
BIDU,Baidu Inc,20150212,China's Baidu pays price of mobile shift  fourth-quarter revenue disappoints ,BEIJING/BENGALURU Baidu Inc's shift to smartphones has come at a cost: the Chinese internet firm forecast lower-than-expected revenue growth for the first quarter as its share from less profitable mobile browsing grows at the expense of PC searches.,topStory
BIDU,Baidu Inc,20150212,UPDATE 2-China's Baidu pays price of mobile shift  Q4 revenue disappoints ,* Q4 mobile revenue was 42 pct of total revenue  from 36 pct in Q3,normal
BIDU,Baidu Inc,20150212,Baidu online video service more than doubled revenue growth in Q4  FY 2014 ,BEIJING  Feb 12 Baidu Inc  owner of China's dominant search engine  said revenue growth for its online video service iQiyi more than doubled in the fourth quarter and for the whole of 2014.,normal
CSCO,Cisco Systems Inc,20150212,Wall St. ends sharply higher on tech  Ukraine deal ,NEW YORK U.S. stocks ended sharply higher on Thursday  with a rally in technology stocks leading the Nasdaq to a 15-year high  while a ceasefire agreement between Russia and Ukraine also eased tensions.,topStory
CSCO,Cisco Systems Inc,20150212,US STOCKS-Wall St ends sharply higher on tech  Ukraine deal ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to close),normal
CSCO,Cisco Systems Inc,20150212,US STOCKS-Tech rally  Ukraine deal boost Wall Street ,* Indexes up: Dow 0.5 pct  S&P 0.8 pct  Nasdaq 0.9 pct   (Updates to afternoon trading),normal
CSCO,Cisco Systems Inc,20150212,US STOCKS-Wall St climbs on Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.24 pct  S&P 0.55 pct  Nasdaq 0.68 pct   (Updates to late morning),normal
CSCO,Cisco Systems Inc,20150212,US STOCKS-Wall St rises after Ukraine deal  Swedish stimulus ,* Indexes up: Dow 0.21 pct  S&P 0.46 pct  Nasdaq 0.65 pct   (Updates to market open  adds data),normal
CSCO,Cisco Systems Inc,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
CSCO,Cisco Systems Inc,20150212,CORRECTED-US STOCKS-Wall St to open up after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stocks were poised to open higher on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank  although soft economic data may keep gains in check.,normal
CSCO,Cisco Systems Inc,20150212,US STOCKS SNAPSHOT-Wall St opens up on Ukraine  Sweden; Cisco rallies ,NEW YORK  Feb 12 U.S. stocks opened higher on Thursday  following a ceasefire agreement between Russia and Ukraine and stimulus measures by Sweden's central bank that took markets by surprise.,normal
CSCO,Cisco Systems Inc,20150212,US STOCKS-Futures gain after Ukraine deal  Swedish stimulus ,NEW YORK  Feb 12 U.S. stock index futures advanced on Thursday  following a ceasefire agreement between Russia and Ukraine and surprising stimulus measures by Sweden's central bank.,normal
