ALGT,Allegiant Travel Company,20150223,BRIEF-Philippines' Cebu Pacific to sell 6 Airbus A319 to budget carrier Allegiant Travel ,* Says to sell 6 Airbus A319 aircraft to budget airline operator Allegiant Travel Co   Source text for Eikon: (http://bit.ly/1weAaf3) Further company coverage:    (Reporting by Neil Jerome Morales),topStory
GOOG,Alphabet Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO Google Inc has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,topStory
GOOG,Alphabet Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO  Feb 23 Google Inc   has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,normal
GOOGL,Alphabet Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO Google Inc has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,topStory
GOOGL,Alphabet Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO  Feb 23 Google Inc   has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,normal
AMZN,Amazoncom Inc,20150223,UPDATE 1-Target halves order size for free shipping to $25 ,Feb 23 Target Corp halved the size of online orders eligible for free shipping to $25  undercutting Amazon.com Inc and traditional rival Wal-Mart Stores Inc as it focuses on its online business.,topStory
AAL,American Airlines Group Inc,20150223,American and Delta not interested in Skymark Airlines tie-up ,American Airlines Group Inc and Delta Air Lines Inc have no plans to rescue Japan's bankrupt Skymark Airlines Inc  the two companies said separately on Monday following a media report on their alleged interest in the budget carrier.,topStory
AAL,American Airlines Group Inc,20150223,UPDATE 1-American and Delta not interested in Skymark Airlines tie-up ,Feb 23 American Airlines Group Inc and Delta Air Lines Inc have no plans to rescue Japan's bankrupt Skymark Airlines Inc  the two companies said separately on Monday following a media report on their alleged interest in the budget carrier.,normal
AAL,American Airlines Group Inc,20150223,American Airlines says won't participate in Skymark Airlines restructuring now ,Feb 23 American Airlines Group Inc has decided not to participate in the restructuring of Japan's bankrupt Skymark Airlines Inc at this time  a spokesman said following a media report that said it was considering a tie-up with Skymark.,normal
AAPL,Apple Inc,20150223,US STOCKS-Nasdaq ends up 9th session; S&P 500  Dow dip with energy ,* Dow down 0.1 pct  S&P down 0.03 pct  Nasdaq up 0.1 pct   (Updates to close),topStory
AAPL,Apple Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO Google Inc has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,normal
AAPL,Apple Inc,20150223,Google partners with wireless carriers to push Wallet service ,SAN FRANCISCO  Feb 23 Google Inc   has partnered with several large U.S. wireless carriers to pre-install its electronic payment service on phones  as the companies seek to counter Apple Inc's recent entry into the nascent market for mobile payments.,normal
AAPL,Apple Inc,20150223,Apple to spend $1.9 billion on new European data centers ,Apple Inc said it would spend 1.7 billion euros ($1.9 billion) to build two data centers in Europe that would be  entirely powered by renewable energy and create hundreds of jobs.,normal
AAPL,Apple Inc,20150223,UPDATE 1-Apple to spend 1.7 billion euros on new European data centres ,Feb 23 Apple Inc said it would spend 1.7 billion euros ($1.9 billion) to build two data centres in Europe that would be  entirely powered by renewable energy and create hundreds of jobs.,normal
AAPL,Apple Inc,20150223,Apple to spend 1.7 billion euros on new European data centers ,Feb 23 Apple Inc said it would spend 1.7 billion euros ($1.9 billion) to build two data centers in Europe that would be  entirely powered by renewable energy.,normal
AAPL,Apple Inc,20150223,PRESS DIGEST- British Business - Feb 23 ,The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BMRN,BioMarin Pharmaceutical Inc,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
BMRN,BioMarin Pharmaceutical Inc,20150223,Exclusive: Rare disease drugmaker PTC Therapeutics explores sale - sources ,Rare disease drugmaker PTC Therapeutics Inc  is exploring a potential sale amid takeover interest from several pharmaceutical companies  including Shire Plc  and BioMarin Pharmaceutical Inc   according to people familiar with the matter.,normal
CMCSA,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 billion racial bias lawsuit ,Comcast Corp and Time Warner Cable Inc have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,topStory
CMCSA,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 bln racial bias lawsuit ,Comcast Corp and Time Warner Cable Inc  have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,normal
CMCSA,Comcast Corporation,20150223,Comcast  Time Warner Cable hit with $20 bln racial bias lawsuit ,Feb 23 Comcast Corp and Time Warner Cable Inc have been sued for $20 billion for allegedly discriminating against African American-owned media and employing advocates such as the NAACP and the Rev. Al Sharpton to advance their bias.,normal
DISCA,Discovery Communications Inc,20150223,BRIEF-Twenty-First Century Fox spokesman says no truth in report company held takeover talks with Discovery Communications ,* Spokesman says no truth in report company held takeover talks with discovery communications    Further company coverage:,topStory
DISCB,Discovery Communications Inc,20150223,BRIEF-Twenty-First Century Fox spokesman says no truth in report company held takeover talks with Discovery Communications ,* Spokesman says no truth in report company held takeover talks with discovery communications    Further company coverage:,topStory
DISCK,Discovery Communications Inc,20150223,BRIEF-Twenty-First Century Fox spokesman says no truth in report company held takeover talks with Discovery Communications ,* Spokesman says no truth in report company held takeover talks with discovery communications    Further company coverage:,topStory
DISH,DISH Network Corporation,20150223,Ergen to reclaim Dish CEO title as Clayton retires ,Co-founder and Chairman Charlie Ergen will return to the helm of Dish Network Corp  which is struggling to stanch subscriber losses  when the incumbent chief executive steps down next month. | Video ,topStory
DISH,DISH Network Corporation,20150223,UPDATE 3-Ergen to reclaim Dish CEO title as Clayton retires ,Feb 23 Co-founder and Chairman Charlie Ergen will return to the helm of Dish Network Corp  which is struggling to stanch subscriber losses  when the incumbent chief executive steps down next month.,normal
DISH,DISH Network Corporation,20150223,Dish Network CEO Joe Clayton to retire ,Feb 23 Dish Network Corp said Chief Executive Joe Clayton would retire effective March 31 and be replaced by founder Charlie Ergen.,normal
EML,Eastern Company (The),20150223,Activist Barington nominates its CEO as director at Eastern Co ,BOSTON Activist hedge fund Barington Capital Group on Monday nominated its own chief executive and another candidate as independent directors for The Eastern Co  hoping to boost the value of its 5.2 percent stake in the manufacturing and industrial company.,topStory
EML,Eastern Company (The),20150223,UPDATE 1-Activist Barington nominates its CEO as director at Eastern Co ,BOSTON  Feb 23 Activist hedge fund Barington Capital Group on Monday nominated its own chief executive and another candidate as independent directors for The Eastern Co   hoping to boost the value of its 5.2 percent stake in the manufacturing and industrial company.,normal
ERIC,Ericsson,20150223,BRIEF-Ericsson wins order for Device Connectivity Platform ,* Ericsson deploys the Device Connection Platform as a single platform to manage Internet of Things across the Bridge Alliance's mobile operators  covering 36 countries,topStory
GSM,Ferroglobe PLC,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
GSM,Ferroglobe PLC,20150223,Silicon producers Globe Specialty  FerroAtlántica to merge ,Silicon-metal producers Globe Specialty Metals Inc  and Spain's Grupo FerroAtlántica SA will merge to form a company controlled by FerroAtlántica shareholders  betting on growing demand from carmakers to solar energy companies.,normal
GSM,Ferroglobe PLC,20150223,UPDATE 2-Silicon producers Globe Specialty  FerroAtlántica to merge ,* Deal to close in fourth quarter   (Adds details  analyst comment  share movement),normal
GSM,Ferroglobe PLC,20150223,Metal producers Globe Specialty  Grupo FerroAtlántica to merge ,Feb 23 Silicon alloy producer Globe Specialty Metals Inc and Spain's Grupo FerroAtlántica said on Monday they would merge to form a company with a combined enterprise value of $3.1 billion.,normal
FSLR,First Solar Inc,20150223,UPDATE 1-First Solar  SunPower in talks for solar power plants JV ,Feb 23 First Solar Inc and SunPower Corp said they were in advanced talks to form a joint venture  which will hold some of their solar power-generating assets.,topStory
FSLR,First Solar Inc,20150223,First Solar  SunPower in talks to form JV for power-generating assets ,Feb 23 First Solar Inc and SunPower Corp said they were in advanced talks to form a joint venture  which will hold some of their power-generating assets.,normal
HBAN,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit: sources ,Huntington Bancshares Inc  has agreed to acquire Macquarie Group Ltd's  equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,topStory
HBAN,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit - sources ,Feb 23 Huntington Bancshares Inc has agreed to acquire Macquarie Group Ltd's equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,normal
HBANN,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit: sources ,Huntington Bancshares Inc  has agreed to acquire Macquarie Group Ltd's  equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,topStory
HBANN,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit - sources ,Feb 23 Huntington Bancshares Inc has agreed to acquire Macquarie Group Ltd's equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,normal
HBANO,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit: sources ,Huntington Bancshares Inc  has agreed to acquire Macquarie Group Ltd's  equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,topStory
HBANO,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit - sources ,Feb 23 Huntington Bancshares Inc has agreed to acquire Macquarie Group Ltd's equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,normal
HBANP,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit: sources ,Huntington Bancshares Inc  has agreed to acquire Macquarie Group Ltd's  equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,topStory
HBANP,Huntington Bancshares Incorporated,20150223,Huntington Bancshares to buy Macquarie unit - sources ,Feb 23 Huntington Bancshares Inc has agreed to acquire Macquarie Group Ltd's equipment finance unit for around $380 million to bolster its equipment leasing business  two people familiar with the matter said on Monday.,normal
MDLZ,Mondelez International Inc,20150223,UPDATE 1-Mondelez  DE Master Blenders propose Carte Noir sale ,BRUSSELS/MILAN  Feb 23 Mondelez International  and DE Master Blenders 1753 proposed on Monday selling the Carte Noir coffee brand instead of two smaller marques to soothe European competition concerns about their merger.,topStory
MDLZ,Mondelez International Inc,20150223,EU mergers and takeovers (Feb 23) ,BRUSSELS  Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
NTRS,Northern Trust Corporation,20150223,Northern Trust to pay $60 million over securities lending program ,Northern Trust Corp has agreed to pay $60 million to settle lawsuits over claims that the financial services institution imprudently managed its securities lending program  resulting in losses to retirement plans and pension funds.,topStory
NTRSP,Northern Trust Corporation,20150223,Northern Trust to pay $60 million over securities lending program ,Northern Trust Corp has agreed to pay $60 million to settle lawsuits over claims that the financial services institution imprudently managed its securities lending program  resulting in losses to retirement plans and pension funds.,topStory
PTCT,PTC Therapeutics Inc,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
PTCT,PTC Therapeutics Inc,20150223,Exclusive: Rare disease drugmaker PTC Therapeutics explores sale - sources ,Rare disease drugmaker PTC Therapeutics Inc  is exploring a potential sale amid takeover interest from several pharmaceutical companies  including Shire Plc  and BioMarin Pharmaceutical Inc   according to people familiar with the matter.,normal
RIGL,Rigel Pharmaceuticals Inc,20150223,UPDATE 1-Bristol-Myers to buy private cancer drugmaker for up to $1.25 bln ,Feb 23 Bristol-Myers Squibb Co said it would buy privately held drugmaker Flexus Biosciences Inc for up to $1.25 billion to add an emerging class of cancer-fighting drugs to its pipeline.,topStory
SHPG,Shire plc,20150223,Deals of the day- Mergers and acquisitions ,Feb 23 The following bids  mergers  acquisitions and disposals were reported by 2115 GMT on Monday:,topStory
SHPG,Shire plc,20150223,Exclusive: Rare disease drugmaker PTC Therapeutics explores sale - sources ,Rare disease drugmaker PTC Therapeutics Inc  is exploring a potential sale amid takeover interest from several pharmaceutical companies  including Shire Plc  and BioMarin Pharmaceutical Inc   according to people familiar with the matter.,normal
SPWR,SunPower Corporation,20150223,UPDATE 1-First Solar  SunPower in talks for solar power plants JV ,Feb 23 First Solar Inc and SunPower Corp said they were in advanced talks to form a joint venture  which will hold some of their solar power-generating assets.,topStory
SPWR,SunPower Corporation,20150223,First Solar  SunPower in talks to form JV for power-generating assets ,Feb 23 First Solar Inc and SunPower Corp said they were in advanced talks to form a joint venture  which will hold some of their power-generating assets.,normal
MIDD,The Middleby Corporation,20150223,BRIEF-Marel sells UK High Speed Slicing business to Middleby Corporation ,* Divests its High Speed Slicing business in the United Kingdom,topStory
TIG,TiGenix,20150223,BRIEF-TiGenix's late-stage trial design for Cx601 endorsed by ECCO President-Elect ,* Tigenix's phase III trial design for Cx601 endorsed by president-elect of ECCO  Source text for Eikon:  Further company coverage:,topStory
TSEM,Tower Semiconductor Ltd,20150223,UPDATE 1-TowerJazz 4th-quarter profit doubles  tops estimates ,* Shares up 7 pct in Tel Aviv   (Adds quotes from CEO  details  share price),topStory
