ALKS,Alkermes plc,20150224,CORRECTED-BRIEF-Alkermes says will not pursue further development of ALKS 7106 ,(Corrects headline to say company will not pursue further development of its drug. The previous headline incorrectly stated that the drug reached main goal) Feb 24 Alkermes Plc :  * Says topline results from a phase 1 clinical study of alks 7106  * Data from the study showed that alks 7106 did not meet the company's pre-specified criteria for advancing into phase 2 clinical trials  * Says will not pursue further development of alks 7106  * Will continue its efforts in developing comp,topStory
GOOG,Alphabet Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday. | Video ,topStory
GOOG,Alphabet Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
GOOG,Alphabet Inc,20150224,UPDATE 2-Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
GOOG,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week: sources ,BRUSSELS Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOG,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week - sources ,BRUSSELS Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOG,Alphabet Inc,20150224,Google's Schmidt to meet EU antitrust chief next week - sources ,BRUSSELS  Feb 24 Google executive chairman Eric Schmidt will meet Europe's antitrust chief next week  two sources with knowledge of the matter said on Tuesday  a move likely to help regulators decide the next step in a four year-old investigation into the Internet company.,normal
GOOG,Alphabet Inc,20150224,Silicon Valley gender discrimination case heads to trial ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  will defend itself in court on Tuesday in a closely watched gender discrimination case that could lay open the inner workings of venture capital.,normal
GOOGL,Alphabet Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday. | Video ,topStory
GOOGL,Alphabet Inc,20150224,Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
GOOGL,Alphabet Inc,20150224,UPDATE 2-Kleiner firm was not level playing field for women  jury told ,SAN FRANCISCO  Feb 24 Kleiner Perkins Caufield & Byers  the investment firm that has backed tech companies from Google to Amazon  fired a woman junior partner after she complained of gender discrimination  her lawyer said at trial on Tuesday.,normal
