ACTG,Acacia Research Corporation,20150302,BRIEF-LifeWatch: suit brought against LifeWatch Services  Inc. by Acacia subsidiary dismissed ,* Says suit brought against LifeWatch Services  Inc. by Acacia subsidiary dismissed,topStory
GOOG,Alphabet Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,topStory
GOOG,Alphabet Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOG,Alphabet Inc,20150302,UPDATE 1-Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO  March 2 A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc   Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOG,Alphabet Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,normal
GOOG,Alphabet Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,normal
GOOG,Alphabet Inc,20150302,Deals of the day- Mergers and acquisitions ,March 2 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Monday:,normal
GOOG,Alphabet Inc,20150302,Former HP chairman to testify in venture firm sexism trial ,SAN FRANCISCO  March 2 Onetime highflying tech executive Ray Lane is expected to testify Monday in a discrimination and retaliation trial involving his former employer  Kleiner Perkins Caufield & Byers  the investment firm that has backed companies from Google Inc to Amazon.com Inc.,normal
GOOG,Alphabet Inc,20150302,Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOG,Alphabet Inc,20150302,UPDATE 1-Fidelity cuts Google stake by nearly a third amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly a third over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOG,Alphabet Inc,20150302,Large Google investor cuts stake amid shift to cheaper searches ,March 2 One of Google Inc's largest investors has cut its exposure to the company by nearly 29 percent over the past several months amid worries about a shift to cheaper searches on mobile phones.,normal
GOOGL,Alphabet Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,topStory
GOOGL,Alphabet Inc,20150302,Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc  Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOGL,Alphabet Inc,20150302,UPDATE 1-Apple  Google poaching settlement appears headed for approval ,SAN FRANCISCO  March 2 A U.S. judge on Monday seemed satisfied with a proposed $415 million settlement that would end a lawsuit in which tech workers accused Apple Inc   Google Inc and two other Silicon Valley companies of conspiring to hold down salaries.,normal
GOOGL,Alphabet Inc,20150302,Former HP chairman admits 'mistake' in venture firm sexism trial ,SAN FRANCISCO Onetime highflying tech executive Ray Lane testified on Monday during a sex discrimination trial involving his former employer  Kleiner Perkins Caufield & Byers  that he made a mistake in judgment involving the harassment of a female venture capitalist at the firm.,normal
